年度,月份,市場別,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
2023,03,國內上市,1101,台泥,水泥工業,11730367,7306069,9971650,60.55647708774719,17.63717138086475,26361657,22945614,14.887564133171594,-
2023,03,國內上市,1102,亞泥,水泥工業,8152982,6241236,8160414,30.63088785618746,-0.0910738107159759,19208712,19681816,-2.403761929285387,-
2023,03,國內上市,1103,嘉泥,水泥工業,249135,211050,220463,18.045486851457,13.00535690796188,651402,512577,27.0837357119028,-
2023,03,國內上市,1104,環泥,水泥工業,739446,591525,591593,25.00671991885381,24.99235116034165,1835349,1532253,19.781067486896745,-
2023,03,國內上市,1108,幸福,水泥工業,436030,361748,345612,20.534184017603412,26.161707348124487,1092679,880911,24.039658943979585,-
2023,03,國內上市,1109,信大,水泥工業,625197,410951,490643,52.13419604770399,27.42401297888689,1334158,1239184,7.6642371108729614,-
2023,03,國內上市,1110,東泥,水泥工業,216150,174115,178972,24.142089997989835,20.773081822854973,528138,443221,19.159065116499445,-
2023,03,國內上市,1201,味全,食品工業,1714224,1489920,1589975,15.054768041237113,7.8145253856192705,4789270,4550665,5.243299605662029,-
2023,03,國內上市,1203,味王,食品工業,544406,515621,517118,5.582588761900698,5.276938725784057,1575647,1534896,2.6549681541941603,-
2023,03,國內上市,1210,大成,食品工業,9633956,8240329,8558697,16.912273769651673,12.56334930422236,27065333,26031973,3.96958002376539,-
2023,03,國內上市,1213,大飲,食品工業,26162,30743,30575,-14.900953062485767,-14.43336058871627,88390,100928,-12.422717184527585,-
2023,03,國內上市,1215,卜蜂,食品工業,2599015,2263472,2477639,14.824261135105711,4.898857339588213,7232070,7199414,0.4535924729429367,-
2023,03,國內上市,1216,統一,食品工業,44823352,40664831,42112136,10.226332921437692,6.438087111040865,131403700,124274817,5.736385835917184,-
2023,03,國內上市,1217,愛之味,食品工業,414639,308663,385888,34.33388517574183,7.450607430135169,1171250,1141588,2.598310423725547,-
2023,03,國內上市,1218,泰山,食品工業,839075,834856,927607,0.5053566123978267,-9.544128062854204,2647598,2650681,-0.1163097332345914,-
2023,03,國內上市,1219,福壽,食品工業,1621081,1293812,1651054,25.29494238730202,-1.8153858080959195,4249551,4214902,0.8220594452729861,-
2023,03,國內上市,1220,台榮,食品工業,290668,178573,285720,62.77264760070111,1.7317653646927065,654741,816490,-19.81028549033056,-
2023,03,國內上市,1225,福懋油,食品工業,1334753,1326121,1279502,0.6509209943888982,4.318164410841093,3797333,3505862,8.313818399012852,-
2023,03,國內上市,1227,佳格,食品工業,1981532,1413138,2249275,40.22211560371316,-11.903524468995563,5880499,6730455,-12.628507285168684,-
2023,03,國內上市,1229,聯華,食品工業,1245351,812320,1081223,53.30793283435099,15.179847265550215,2871447,2598567,10.501172376929285,-
