出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"114/02/21","107/7","1240","茂生農經","農業科技","106431","103974","107289","2.363090772693173","-0.7997091966557616","827540","813412","1.7368811869015948","-"
"114/02/21","107/7","1259","安心","觀光餐旅","479534","459408","456288","4.380855361682862","5.09458938214461","3023122","2852917","5.9659990108369785","-"
"114/02/21","107/7","1264","德麥","食品工業","318409","316137","291595","0.7186757639883974","9.195630926456214","2245575","2041968","9.971116099762583","-"
"114/02/21","107/7","1268","漢來美食","觀光餐旅","288047","284500","272988","1.2467486818980669","5.51635969346638","2106107","1978734","6.437095637917982","-"
"114/02/21","107/7","1336","台翰","電子零組件業","266129","257374","206159","3.4016645037960322","29.08919814318075","1538454","1197680","28.452842161512258","-"
"114/02/21","107/7","1565","精華","生技醫療業","558791","558697","586254","0.016824862134573838","-4.684488293470066","3864376","3588835","7.677728287870576","-"
"114/02/21","107/7","1569","濱川","電腦及週邊設備業","275251","314096","314433","-12.367238041872548","-12.461160247175075","1931878","1945993","-0.7253366276240459","-"
"114/02/21","107/7","1570","力肯","電機機械","57789","68855","74658","-16.07145450584562","-22.59503335208551","361731","459492","-21.275887284218225","-"
"114/02/21","107/7","1580","新麥","電機機械","370040","366229","372564","1.0406057412165612","-0.6774674955175487","2378335","2408337","-1.2457558888145637","-"
"114/02/21","107/7","1584","精剛","其他","34345","34268","74763","0.22469942803781953","-54.061501009857814","360448","604351","-40.35783840847454","貿易鋼類需求減緩,調整產品組合"
"114/02/21","107/7","1586","和勤","電機機械","202622","246455","199731","-17.785396928445355","1.4474468159674763","1450790","1197008","21.201362062743105","-"
"114/02/21","107/7","1591","駿吉-KY","電機機械","73379","71155","30910","3.125570936687513","137.39566483338726","430319","265156","62.2889921404758","營收成長係客戶需求增加"
"114/02/21","107/7","1593","祺驊","運動休閒","84451","51240","77944","64.81459797033567","8.348301344555065","416552","436338","-4.534558071953394","-"
"114/02/21","107/7","1595","川寶","電子零組件業","155780","141423","87827","10.151814061362014","77.37142336639074","1080602","695505","55.36940784034622","106年8月起併入子公司寶虹之營收"
"114/02/21","107/7","1599","宏佳騰","電機機械","347272","188226","140144","84.49735955712814","147.79655211782168","1321522","1068063","23.73071625924688","主要系因客戶訂單遞延較集中於本月及拓展業務有成銷售量成長"
"114/02/21","107/7","1742","台蠟","化學工業","50203","28085","39060","78.75378315826954","28.5279057859703","243517","259340","-6.101257037094162","-"
"114/02/21","107/7","1777","生泰","生技醫療業","62648","68760","50601","-8.88888888888889","23.807829884784887","458488","442863","3.5281791434371352","-"
"114/02/21","107/7","1781","合世","生技醫療業","56901","67376","40639","-15.547079078603657","40.01574841900637","362529","295446","22.705672102516196","-"
"114/02/21","107/7","1784","訊聯","生技醫療業","59641","63463","53363","-6.0224067566928765","11.764705882352942","435929","386191","12.87911939946814","-"
