出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"114/04/10","111/2","1240","茂生農經","農業科技","211683","275522","190791","-23.170200564746192","10.950202053555985","487205","410059","18.813390268229693","-"
"114/04/10","111/2","1259","安心","觀光餐旅","414356","449374","426779","-7.792618175506371","-2.9108742463898176","863730","855777","0.929330888771257","-"
"114/04/10","111/2","1264","德麥","食品工業","268668","521490","264437","-48.4806995340275","1.60000302529525","790158","770309","2.5767581580898056","-"
"114/04/10","111/2","1268","漢來美食","觀光餐旅","312197","412375","402666","-24.292937253713248","-22.467504085271663","724572","738817","-1.9280823262052713","-"
"114/04/10","111/2","1294","漢田生技","食品工業","11091","16358","13957","-32.19831275217019","-20.53449881779752","27449","39944","-31.28129381133587","-"
"114/04/10","111/2","1336","台翰","電子零組件業","146316","183588","78341","-20.30198052160272","86.76810354731239","329895","253886","29.938239997479183","東南亞疫情較去年穩定，且去年訂單往後遞延，導致越南廠及菲律賓廠營收較去年同期成長86.77%"
"114/04/10","111/2","1565","精華","生技醫療業","368183","468434","394543","-21.4013073346512","-6.681147555526267","836617","819991","2.027583229572032","-"
"114/04/10","111/2","1569","濱川","電腦及週邊設備業","411289","454201","257655","-9.447799542493302","59.62779686014244","865490","736021","17.590394839277682","因缺料問題獲得緩解及客戶需求強勁，故本月營收較去年同期增加"
"114/04/10","111/2","1570","力肯","電機機械","31335","51559","33806","-39.22496557342074","-7.309353369224398","82894","91690","-9.593194459592103","-"
"114/04/10","111/2","1580","新麥","電機機械","216168","260832","157149","-17.123665807876336","37.55607735333982","478197","474524","0.774038826276437","-"
"114/04/10","111/2","1584","精剛","其他","80038","120456","40069","-33.554160855416086","99.75043050737477","200494","107596","86.33964087884308","主要係因鎳基產品銷售增加所致。"
"114/04/10","111/2","1586","和勤","電機機械","189688","271944","168728","-30.247403877268848","12.422360248447205","461633","422092","9.367862930356415","合併營業收入係將母子公司及各子公司間重複營收部分消除後所得數字"
"114/04/10","111/2","1591","駿吉-KY","電機機械","65006","42012","65456","54.73198133866514","-0.6874847225617209","107018","131120","-18.38163514338011","-"
"114/04/10","111/2","1593","祺驊","運動休閒","55670","67383","69112","-17.382722645177566","-19.449589072809353","123053","177800","-30.791338582677167","-"
"114/04/10","111/2","1595","川寶","電子零組件業","158941","176745","132872","-10.073269399417239","19.6196339334096","335686","285332","17.647512371553137","-"
"114/04/10","111/2","1599","宏佳騰","電機機械","195119","282526","189095","-30.937683611419835","3.1857003093683067","477645","454306","5.137286322434659","-"
"114/04/10","111/2","1742","台蠟","化學工業","26943","44471","44937","-39.41444986620494","-40.042726483743905","71413","62175","14.85806192199437","-"
"114/04/10","111/2","1777","生泰","生技醫療業","63705","68366","63909","-6.8177164087411875","-0.3192038679998122","132071","138566","-4.687297028130999","本公司於111/7/1發行新股取得母公司合成部門，屬集團內組織重組，依解釋函令視為自始合併，故追溯調整納入該部門對外營業收入。"
"114/04/10","111/2","1781","合世","生技醫療業","31490","63078","55898","-50.07768160055804","-43.66524741493434","94568","120174","-21.307437548887446","-"
"114/04/10","111/2","1784","訊聯","生技醫療業","64194","76731","68390","-16.338898228877508","-6.135399912267875","140925","146801","-4.002697529308383","-"
"114/04/10","111/2","1785","光洋科","其他電子業","1853461","2637206","1979598","-29.71876296353034","-6.3718492340364055","4490667","4793252","-6.312728811253821","-"
"114/04/10","111/2","1788","杏昌","生技醫療業","236941","403404","272269","-41.264588353114995","-12.975403002177993","640345","563728","13.591129055147164","-"
"114/04/10","111/2","1796","金穎生技","食品工業","39781","53544","31193","-25.704093829373974","27.531818036097842","93325","71982","29.650468172598707","-"
"114/04/10","111/2","1799","易威","生技醫療業","7647","10719","13748","-28.65938986845788","-44.37736398021531","18367","28599","-35.777474736878915","-"
"114/04/10","111/2","1813","寶利徠","生技醫療業","26415","35707","40910","-26.02290867336937","-35.431434857003175","62122","91817","-32.341505385712885","-"
"114/04/10","111/2","1815","富喬","電子零組件業","357884","431963","353614","-17.14938547977489","1.2075313760201802","789846","777223","1.6241156013139086","-"
"114/04/10","111/2","2035","唐榮公司","鋼鐵工業","1188199","1248066","694512","-4.79678158046129","71.0840129472205","2436265","1758791","38.51930104259119","受惠於國際鎳價持續上漲，市場需求提升，本期銷售單價及銷售數量均較去年同期明顯增加。"
