出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"114/04/12","113/12","1101","台泥","水泥工業","16543379","16502520","9514039","0.24759248890472485","73.88386782942554","154909312","108614697","42.62279072601013","2024/3/6起併入OYAK及Cimpor，以致營收較去年同期增加。"
"114/04/12","113/12","1102","亞泥","水泥工業","7085373","7193978","6313936","-1.5096654451820675","12.218004743792145","76289963","80175007","-4.8457045971944845","-"
"114/04/12","113/12","1103","嘉泥","水泥工業","284185","259190","283279","9.643504764844323","0.31982603722831554","2984963","2911281","2.530913367689344","-"
"114/04/12","113/12","1104","環泥","水泥工業","755359","682994","742480","10.59526145178435","1.7345921775670725","7953734","7802362","1.9400791708972231","-"
"114/04/12","113/12","1108","幸福","水泥工業","503627","410786","449375","22.600818917879383","12.072767732962447","4867123","5094743","-4.46774253382359","-"
"114/04/12","113/12","1109","信大","水泥工業","397254","378299","569161","5.010586863829934","-30.20358035775466","4656291","6259863","-25.616726755841142","-"
"114/04/12","113/12","1110","東泥","水泥工業","260477","290400","211257","-10.304063360881543","23.29863625820683","2872958","2273518","26.36618667633157","-"
"114/04/12","113/12","1201","味全","食品工業","1850209","1831315","1736336","1.0317176455170192","6.558235272435749","23473804","21476354","9.300694149481798","-"
"114/04/12","113/12","1203","味王","食品工業","602521","573608","559442","5.040550340999428","7.700351421595089","6232086","6348426","-1.8325802332735706","-"
"114/04/12","113/12","1210","大成","食品工業","9166173","8968687","9270160","2.201949962129351","-1.1217389991111264","103574151","110787847","-6.511270139584895","-"
"114/04/12","113/12","1213","大飲","食品工業","16829","16519","11777","1.8766269144621346","42.89717245478475","191040","120702","58.274096535268676","112年12月因產能不足,113年產能恢復及積極推展業務,致使12月營收成長"
"114/04/12","113/12","1215","卜蜂","食品工業","2433129","2435339","2407927","-0.09074711980549731","1.046626413508383","27957258","29159749","-4.123804357849583","-"
"114/04/12","113/12","1216","統一","食品工業","51439480","51741861","49174331","-0.5844030233083422","4.606364649882069","657630647","580990603","13.191270840571582","-"
"114/04/12","113/12","1217","愛之味","食品工業","332502","362132","311678","-8.182099344990224","6.68125437149879","5116701","4900651","4.408597959740451","-"
"114/04/12","113/12","1218","泰山","食品工業","728608","841206","753291","-13.385306334001422","-3.2766885572773337","10681240","11211435","-4.729055647203056","-"
"114/04/12","113/12","1219","福壽","食品工業","1268028","1270951","1227767","-0.22998526300384514","3.2792052563719336","14345171","16328221","-12.144923810132163","-"
"114/04/12","113/12","1220","台榮","食品工業","320533","397129","313541","-19.287435568795026","2.2300113860707214","3488761","3295756","5.856167750282484","-"
"114/04/12","113/12","1225","福懋油","食品工業","1187967","1152454","1180913","3.081511279408983","0.5973344353055644","12977345","14543809","-10.770658498059209","-"
"114/04/12","113/12","1227","佳格","食品工業","3346029","2760180","2963904","21.225028802469403","12.892624052600894","28973692","27804118","4.20647761601357","-"
"114/04/12","113/12","1229","聯華","食品工業","1229499","1110299","1934630","10.735846830448375","-36.447847908902475","12946742","13598464","-4.792614812967112","-"
"114/04/12","113/12","1231","聯華食","食品工業","1396819","1016716","1161967","37.38536621829498","20.211589485759923","12201941","10853256","12.426547388175493","-"
"114/04/12","113/12","1232","大統益","食品工業","1950296","1881431","2006424","3.660245844785166","-2.7974147039708455","22066604","23560347","-6.340072155983101","-"
"114/04/12","113/12","1233","天仁","食品工業","211857","193364","208774","9.563827806623777","1.4767164493663003","2217314","2127030","4.244603978317184","-"
"114/04/12","113/12","1234","黑松","食品工業","708329","818973","763053","-13.510091297271094","-7.171716774588397","10253071","10580696","-3.0964409146619465","-"
"114/04/12","113/12","1235","興泰","食品工業","11593","13168","13556","-11.960814094775213","-14.480672764827382","112698","75719","48.83714787569831","-"
"114/04/12","113/12","1236","宏亞","食品工業","265285","158057","218212","67.84134837432066","21.572140853848552","1977776","1929799","2.486113838798756","-"
"114/04/12","113/12","1256","鮮活果汁-KY","食品工業","234226","193180","273921","21.247541153328502","-14.491404456029294","4003256","4629856","-13.533898246511338","-"
"114/04/12","113/12","1301","台塑","塑膠工業","16445283","18146582","15030148","-9.375313764322119","9.41530981597786","200040347","199138777","0.4527345269374633","-"
"114/04/12","113/12","1303","南亞","塑膠工業","23431902","21965473","20334203","6.676063838916649","15.233933683065915","259615305","259755344","-0.053911884099678044","-"
"114/04/12","113/12","1304","台聚","塑膠工業","4172565","4496431","4372440","-7.202734791215522","-4.5712462606691","51014697","52286270","-2.4319443708644735","-"
