季度,代碼,名稱,營業收入,營業損益,業外收入,稅前損益,稅後損益,每股EPS
2017Q1,1101,台泥,"21,179,770",--,--,--,--,--
2017Q1,1102,亞泥,"12,512,700",--,--,--,--,--
2017Q1,1103,嘉泥,"598,480",--,--,--,--,--
2017Q1,1104,環泥,"1,100,660",--,--,--,--,--
2017Q1,1108,幸福,"894,900",--,--,--,--,--
2017Q1,1109,信大,"970,000",--,--,--,--,--
2017Q1,1110,東泥,"352,670","-31,153","69,596","38,443","23,327",0.04
2017Q1,1201,味全,"3,597,800",--,--,--,--,--
2017Q1,1203,味王,"1,544,110","257,544","-26,610","230,934","164,142",0.37
2017Q1,1210,大成,"18,781,080",--,--,--,--,--
2017Q1,1213,大飲,"163,180","6,957",-550,"6,407","5,297",0.09
2017Q1,1215,卜蜂,"4,782,340","498,355","9,398","507,753","420,923",1.53
2017Q1,1216,統一,"96,114,610","5,607,043","2,558,019","8,165,062","6,796,384",0.79
2017Q1,1217,愛之味,"933,730","-8,703","-11,880","-20,583","-22,853",-0.05
2017Q1,1218,泰山,"1,790,170","-16,355","17,705","1,350","1,320",0.00
2017Q1,1219,福壽,"2,835,810",-492,"17,056","16,564","2,862",0.11
2017Q1,1220,台榮,"496,340","17,556","-6,769","10,787","5,883",0.05
2017Q1,1225,福懋油,"2,631,200","121,228",-302,"120,926","99,879",0.37
2017Q1,1227,佳格,"6,491,920",--,--,--,--,--
2017Q1,1229,聯華,"1,152,030","128,112","346,204","474,316","456,238",0.50
2017Q1,1231,聯華食,"1,762,900","93,720","-4,362","89,358","71,134",0.47
2017Q1,1232,大統益,"4,388,700","238,915","-30,353","208,562","173,106",1.06
2017Q1,1233,天仁,"546,590","61,351","-6,679","54,672","45,328",0.50
2017Q1,1234,黑松,"2,209,640","-43,924","153,632","109,708","88,648",0.22
2017Q1,1235,興泰,"10,610","-11,711","52,539","40,828","38,534",0.66
2017Q1,1236,宏亞,"447,770","-2,348","1,432",-916,"-7,191",-0.07
2017Q1,1256,鮮活-KY,"621,420","79,767","-1,257","78,510","43,057",1.59
2017Q1,1262,綠悅-KY,"2,152,910","653,076","6,654","659,730","491,510",3.31
2017Q1,1301,台塑,"47,796,000","5,486,812","5,273,245","10,760,057","9,889,887",1.55
2017Q1,1303,南亞,"72,676,150","8,477,578","4,032,614","12,510,192","10,569,777",1.37
2017Q1,1304,台聚,"13,902,570","1,183,513","-263,398","920,115","717,079",0.29
2017Q1,1305,華夏,"3,691,270","578,559","-69,119","509,440","418,406",0.79
2017Q1,1307,三芳,"2,701,620","493,175","-85,653","407,522","334,166",0.84
2017Q1,1308,亞聚,"1,531,130","174,936","-1,063","173,873","149,403",0.30
2017Q1,1309,台達化,"4,518,600","181,132","-64,767","116,365","91,131",0.28
2017Q1,1310,台苯,"3,518,790","489,158","36,232","525,390","428,217",0.83
2017Q1,1312,國喬,"5,392,770","633,918","295,495","929,413","794,048",0.86
2017Q1,1313,聯成,"10,609,580","438,115","-28,078","410,037","306,200",0.27
2017Q1,1314,中石化,"9,016,750",--,--,--,--,--
2017Q1,1315,達新,"695,280","36,560","-43,841","-7,281","-1,107",0.00
2017Q1,1316,上曜,"158,470","-36,282",271,"-36,011","-36,011",-0.33
2017Q1,1319,東陽,"5,998,650","710,548","-63,366","647,182","527,116",0.86
2017Q1,1321,大洋,"1,059,120","-54,544","-15,008","-69,552","-69,552",-0.32
2017Q1,1323,永裕,"708,730","84,451","-12,433","72,018","56,804",0.51
2017Q1,1324,地球,"286,290",672,"101,697","102,369","76,748",1.02
2017Q1,1325,恆大,"227,750",--,--,--,--,--
2017Q1,1326,台化,"89,259,530","11,751,770","2,538,306","14,290,076","12,721,793",2.00
2017Q1,1337,再生-KY,"969,130","46,598","36,515","83,113","65,613",0.25
2017Q1,1338,廣華-KY,"1,806,650","228,884","14,446","243,330","181,318",2.20
2017Q1,1339,昭輝,"682,470","124,495","-139,498","-15,003","-16,598",-0.22
2017Q1,1340,勝悅-KY,"519,500","108,730","5,868","114,598","93,599",0.81
2017Q1,1402,遠東新,"50,383,420",--,--,--,--,--
2017Q1,1409,新纖,--,--,--,--,--,--
2017Q1,1410,南染,"132,780","27,106","-3,337","23,769","18,549",0.22
