季度,代碼,名稱,營業收入,營業損益,業外收入,稅前損益,稅後損益,每股EPS
2017Q1,1258,其祥-KY,"605,400","52,123","-6,010","46,113","34,326",0.74
2017Q1,1259,安心,"1,157,000","38,699","6,493","45,192","34,294",1.20
2017Q1,1264,德麥,"873,580","169,736","-3,577","166,159","128,386",3.64
2017Q1,1268,漢來美食,"909,730","105,779","-6,992","98,787","80,699",2.40
2017Q1,1333,恩得利,"96,360",--,--,--,--,--
2017Q1,1336,台翰,"482,870","41,476","-29,895","11,581","8,491",0.14
2017Q1,1565,精華,"1,452,550","479,833","-186,189","293,644","243,724",4.83
2017Q1,1566,捷邦,"1,313,100","57,251","-32,112","25,139","20,057",0.15
2017Q1,1569,濱川,"745,230",--,--,--,--,--
2017Q1,1570,力肯,"181,510",--,--,--,--,--
2017Q1,1580,新麥,"834,120","118,318","-12,538","105,780","72,001",1.44
2017Q1,1584,精剛,"272,790",--,--,--,--,--
2017Q1,1586,和勤,"543,220","48,591","-26,683","21,908","5,979",0.09
2017Q1,1591,駿吉-KY,"114,370",567,"5,150","5,717","5,978",0.20
2017Q1,1593,祺驊,"172,240","21,164","-10,529","10,635","9,421",0.31
2017Q1,1595,川寶,"280,070",--,--,--,--,--
2017Q1,1597,直得,"256,070","38,965","-24,165","14,800","12,102",0.21
2017Q1,1599,宏佳騰,"491,970","26,063",-29,"26,034","21,607",0.42
2017Q1,1742,台蠟,"111,430","5,304","-2,329","2,975","2,975",0.04
2017Q1,1752,南光,"351,290","42,916","31,915","74,831","65,127",0.64
2017Q1,1777,生泰,"185,600","25,642","-22,409","3,233","2,679",0.09
2017Q1,1781,合世,"132,270","-18,741","-12,508","-31,249","-26,232",-0.55
2017Q1,1784,訊聯,"168,500","6,085","-1,390","4,695","3,857",-0.03
2017Q1,1785,光洋科,"3,439,510","33,517","-12,326","21,191","4,772",0.00
2017Q1,1787,福盈科,"446,590",--,--,--,--,--
2017Q1,1788,杏昌,"709,400","65,329","6,344","71,673","59,640",1.72
2017Q1,1796,金穎生技,"84,200","7,235","-2,199","5,036","4,166",0.17
2017Q1,1799,易威,"96,420",--,--,--,--,--
2017Q1,1813,寶利徠,"113,760",--,--,--,--,--
2017Q1,1815,富喬,"1,225,270","196,379","-74,229","122,150","104,153",0.25
2017Q1,2035,唐榮,"5,645,920","324,033","3,291","327,324","327,324",0.94
2017Q1,2061,風青,"273,080","6,777","4,962","11,739","14,828",0.24
2017Q1,2063,世鎧,"216,630","37,283","-12,855","24,428","20,227",0.45
2017Q1,2064,晉椿,"540,860","35,713","-62,280","-26,567","-26,567",-0.37
2017Q1,2065,世豐,"299,300","7,094","10,482","17,576","15,527",0.52
2017Q1,2066,世德,"326,320","58,195","-38,730","19,465","16,893",0.46
2017Q1,2067,嘉鋼,"238,120","-36,896","-2,909","-39,805","-32,587",-0.92
2017Q1,2221,大甲,"241,680",--,--,--,--,--
2017Q1,2230,泰茂,"117,830","1,663","-12,869","-11,206","-11,238",-0.30
2017Q1,2235,謚源,"214,700","48,498","-11,520","36,978","30,188",0.95
2017Q1,2596,綠意,"434,200","117,151","1,682","118,833","115,167",0.66
2017Q1,2640,大車隊,"395,340","64,252",263,"64,515","51,775",1.12
2017Q1,2641,正德,"193,040","6,837","-18,541","-11,704","-11,704",-0.07
2017Q1,2643,捷迅,"630,990","17,669",-630,"17,039","12,343",0.47
2017Q1,2718,晶悅,"54,960",-156,716,560,464,0.02
2017Q1,2719,燦星旅,"587,800","-13,386","-4,316","-17,702","-17,644",-0.49
2017Q1,2724,富驛-KY,"170,110",--,--,--,--,--
2017Q1,2726,雅茗-KY,"460,240","48,129","8,896","57,025","37,594",1.28
2017Q1,2729,瓦城,"1,045,710","109,249",59,"109,308","87,609",3.77
2017Q1,2732,六角,"525,980","34,139","-12,909","21,230","16,853",0.47
2017Q1,2734,易飛網,"289,030",--,--,--,--,--
2017Q1,2736,高野,"195,630","29,848","-2,056","27,792","21,165",0.43
2017Q1,2740,天蔥,"152,910","-20,773","-11,300","-32,073","-32,073",-1.90
2017Q1,2916,滿心,"333,120","10,126","7,208","17,334","14,387",0.26
2017Q1,2924,東凌-KY,"227,190","-6,309","-12,239","-18,548","-18,277",-0.54
2017Q1,2926,誠品生活,"1,068,960","125,786","32,467","158,253","130,170",2.75
2017Q1,2928,紅馬-KY,"1,698,420",--,--,--,--,--
2017Q1,2937,集雅社,"338,980","20,830",677,"21,507","17,918",0.60
2017Q1,3064,泰偉,"6,010",--,--,--,--,--
2017Q1,3066,李洲,"108,610",--,--,--,--,--
2017Q1,3067,全域,"57,160",--,--,--,--,--
2017Q1,3068,美磊,"700,990","118,172","-7,079","111,093","90,469",1.08
2017Q1,3071,協禧,"530,000","34,492","2,259","36,751","32,079",0.22
2017Q1,3073,凱柏實業,"15,720","-7,261",-835,"-8,096","-8,096",-0.17
2017Q1,3078,僑威,"1,283,430","196,653","-91,269","105,384","81,946",0.36
2017Q1,3081,聯亞,"376,230","121,385","-16,427","104,958","87,123",0.97
2017Q1,3083,網龍,"84,560","-6,829",979,"-5,850","-5,852",0.00
2017Q1,3085,新零售,"143,720","-72,540","-1,040","-73,580","-73,630",-0.58
2017Q1,3086,華義,"32,250","-28,292","-3,111","-31,403","-31,104",-1.00
2017Q1,3088,艾訊,"1,046,830","73,667","-39,643","34,024","30,257",0.35
2017Q1,3089,元炬,"48,170","-13,773","2,337","-11,436","-11,189",-0.12
2017Q1,3092,鴻碩,"638,610","92,530","2,207","94,737","70,562",1.11
2017Q1,3093,港建,"236,920","11,782","-8,434","3,348","2,739",0.04
2017Q1,3095,及成,"214,350","8,425",-80,"8,345","6,294",0.11
2017Q1,3105,穩懋,"3,282,330","731,517","-139,717","591,800","496,427",1.23
2017Q1,3114,好德,"406,080","18,860","-29,507","-10,647","-14,139",-0.28
2017Q1,3115,寶島極,"164,520","5,698","4,382","10,080","8,719",0.20
2017Q1,3118,進階,"117,770","19,492","1,586","21,078","17,495",0.54
2017Q1,3122,笙泉,"113,440",--,--,--,--,--
2017Q1,3128,昇銳,"161,550","-3,814","-3,651","-7,465","-6,274",-0.14
2017Q1,3131,弘塑,"491,420","134,149","-47,128","87,021","71,544",2.90
2017Q1,3141,晶宏,"258,700","17,000","-13,890","3,110","4,047",0.07
2017Q1,3144,新揚科,"529,900","53,749","-36,182","17,567","16,984",0.17
2017Q1,3152,璟德,"489,100","258,439","-25,657","232,782","193,209",2.80
2017Q1,3162,精確,"128,930","-15,037","-15,102","-30,139","-29,998",-0.53
2017Q1,3163,波若威,"610,760",--,--,--,--,--
2017Q1,3169,亞信,"166,210","25,916","-3,700","22,216","19,466",0.37
2017Q1,3171,新洲,"378,550",--,--,--,--,--
2017Q1,3176,基亞,"104,310",--,--,--,--,--
2017Q1,3188,鑫龍騰,"242,930","32,077","-5,047","27,030","21,620",0.20
2017Q1,3191,和進,"51,710","-11,193","-8,368","-19,561","-19,561",-0.14
2017Q1,3202,樺晟,"546,640","6,341","-16,021","-9,680","-12,544",-0.11
2017Q1,3205,佰研,"135,940","8,279","-31,728","-23,449","-20,185",-0.62
2017Q1,3206,志豐,"476,800","25,786","-1,291","24,495","18,879",0.42
2017Q1,3207,耀勝,"209,890","-17,538","-10,404","-27,942","-27,497",-0.71
2017Q1,3211,順達,"3,541,420","27,180","95,701","122,881","91,134",0.62
2017Q1,3213,茂訊,"556,810","93,139","-2,584","90,555","75,046",1.29
2017Q1,3217,優群,"325,430","49,042","-21,158","27,884","22,920",0.28
2017Q1,3218,大學光,"248,450","23,282","-10,836","12,446","10,330",0.16
2017Q1,3219,倚強股份,"7,270","-7,732",-361,"-8,093","-8,093",-0.35
2017Q1,3221,台嘉碩,"407,420","6,163","-26,712","-20,549","-16,680",-0.18
2017Q1,3224,三顧,"336,950","1,756","-7,688","-5,932","-6,824",-0.16
2017Q1,3226,至寶電,"324,730","57,983","-51,204","6,779","5,561",0.09
2017Q1,3227,原相,"1,103,700","86,389","6,092","92,481","72,592",0.65
2017Q1,3228,金麗科,"58,720","-9,170","-3,011","-12,181","-12,181",-0.19
2017Q1,3230,錦明,"232,580","-8,004","-11,866","-19,870","-18,850",-0.17
2017Q1,3232,昱捷,"142,250","-6,885","-1,661","-8,546","-8,589",-0.21
2017Q1,3234,光環,"637,440","-134,236","-43,656","-177,892","-177,810",-2.24
2017Q1,3236,千如,"507,240","54,819","-14,943","39,876","24,172",0.38
2017Q1,3252,海灣,"45,780",--,--,--,--,--
2017Q1,3259,鑫創,"131,190","-21,613","-3,684","-25,297","-25,297",-0.31
2017Q1,3260,威剛,"8,034,160","826,817","106,196","933,013","777,854",3.62
2017Q1,3264,欣銓,"1,801,390","314,351","-46,119","268,232","228,441",0.49
2017Q1,3265,台星科,"653,570","400,749","-112,416","288,333","239,316",1.76
2017Q1,3268,海德威,"205,420","-14,928","-22,731","-37,659","-37,659",-0.99
2017Q1,3272,東碩,"695,520","24,260","-20,340","3,920","1,229",0.02
2017Q1,3276,宇環,"431,110","8,033","-4,288","3,745","3,745",0.02
2017Q1,3284,太普高,"190,000","2,303","47,609","49,912","48,956",0.87
2017Q1,3285,微端,"304,400","23,278","-22,715",563,-444,0.00
2017Q1,3287,廣寰科,"81,480","-2,557","-7,314","-9,871","-9,032",-0.13
2017Q1,3288,點晶,"51,250",--,--,--,--,--
2017Q1,3289,宜特,"600,210","18,431","1,120","19,551","11,368",0.55
2017Q1,3290,東浦,"637,960","26,771","-5,206","21,565","12,715",0.15
2017Q1,3293,鈊象,"783,390","236,936","-59,297","177,639","158,516",2.27
2017Q1,3294,英濟,"1,076,510",--,--,--,--,--
2017Q1,3297,杭特,"71,760","-20,563","-4,510","-25,073","-24,024",-0.66
2017Q1,3299,帛漢,"598,220","111,208",-893,"110,315","80,735",1.24
2017Q1,3303,岱稜,"534,260","43,856","-40,836","3,020","3,240",0.03
2017Q1,3306,鼎天,"228,250","-14,278","5,566","-8,712","-9,062",-0.18
2017Q1,3310,佳穎,"274,300",--,--,--,--,--
2017Q1,3313,斐成,"297,100","-24,521","-45,770","-70,291","-67,330",-0.74
2017Q1,3317,尼克森,"532,580",--,--,--,--,--
2017Q1,3322,建舜電,"532,270","-6,143","-30,103","-36,246","-38,328",-0.35
2017Q1,3323,加百裕,"1,366,120","30,717","-16,824","13,893","10,770",0.12
2017Q1,3324,雙鴻,"1,348,210","49,349","-39,325","10,024","9,766",0.11
2017Q1,3325,旭品,"292,340","-3,858","-19,034","-22,892","-19,360",-0.26
2017Q1,3332,幸康,"294,430","48,429","1,594","50,023","42,112",0.88
2017Q1,3339,泰谷,"188,120","-19,648","-23,341","-42,989","-42,989",-0.45
2017Q1,3354,律勝,"102,710","-14,673","-25,391","-40,064","-36,484",-0.53
2017Q1,3360,尚立,"3,179,720","34,066","-25,831","8,235","16,590",0.26
2017Q1,3362,先進光,"335,850","35,454","-45,836","-10,382","-10,382",-0.11
2017Q1,3363,上詮,"377,460","24,006","16,740","40,746","35,755",0.50
2017Q1,3372,典範,"350,390","-131,006","-48,798","-179,804","-179,804",-0.44
2017Q1,3373,熱映,"200,610","17,801","-17,126",675,583,0.01
2017Q1,3374,精材,"750,430","-265,833","-9,904","-275,737","-248,164",-0.92
2017Q1,3379,彬台,"92,510","-22,239","-2,569","-24,808","-24,517",-0.64
2017Q1,3388,崇越電,"1,775,750","111,092","-8,374","102,718","79,997",1.22
2017Q1,3390,旭軟,"231,930","15,575","-56,360","-40,785","-34,304",-0.52
2017Q1,3402,漢科,"852,560",--,--,--,--,--
2017Q1,3426,台興,"170,190","31,265",-346,"30,919","20,496",0.93
2017Q1,3428,光燿科,"345,870","49,718","-53,480","-3,762","-15,089",-0.16
2017Q1,3431,長天,"35,680","-39,038","99,623","60,585","60,585",1.71
2017Q1,3434,哲固,"166,410","3,931","-9,595","-5,664","-5,664",-0.25
2017Q1,3438,類比科,"383,460","-7,938","-19,893","-27,831","-23,374",-0.35
2017Q1,3441,聯一光,"114,080","4,420","-16,059","-11,639","-8,858",-0.20
2017Q1,3444,利機,"224,720","13,661","-1,515","12,146","9,693",0.25
2017Q1,3452,益通,"1,041,960",--,--,--,--,--
2017Q1,3455,由田,"403,450","17,575","-121,191","-103,616","-86,797",-1.41
2017Q1,3465,進泰電子,"25,150",--,--,--,--,--
2017Q1,3466,致振,"507,460",--,--,--,--,--
2017Q1,3479,安勤,"1,127,500","58,606","-4,124","54,482","31,570",0.41
2017Q1,3483,力致,"870,330","12,409","-37,587","-25,178","-22,917",-0.47
2017Q1,3484,崧騰,"909,090","72,541","-26,974","45,567","41,383",0.63
2017Q1,3489,森寶,"290,450","19,227","-26,193","-6,966","-10,669",-0.13
2017Q1,3490,單井,"85,960",--,--,--,--,--
2017Q1,3491,昇達科,"396,660",--,--,--,--,--
2017Q1,3492,長盛,"302,030","58,095","-12,667","45,428","31,903",0.90
2017Q1,3498,陽程,"414,850",--,--,--,--,--
2017Q1,3499,環天科,"117,500",144,"-14,020","-13,876","-11,603",-0.21
2017Q1,3508,位速,"174,310","-69,675","-49,966","-119,641","-119,641",-1.03
2017Q1,3511,矽瑪,"202,360","-12,553","-16,040","-28,593","-33,433",-0.71
2017Q1,3512,皇龍,"149,080","-12,435","-6,616","-19,051","-19,051",-0.32
2017Q1,3516,亞帝歐,"187,240","-2,016","8,017","6,001","5,835",0.08
2017Q1,3520,振維,"149,460","-10,949","-4,597","-15,546","-15,386",-0.26
2017Q1,3521,鴻翊,"108,920","-17,718","-2,820","-20,538","-20,538",-0.44
2017Q1,3522,御頂,"291,790","-14,589","-6,529","-21,118","-19,189",-0.30
2017Q1,3523,迎輝,"90,700",--,--,--,--,--
2017Q1,3526,凡甲,"384,950","46,325","-12,539","33,786","28,258",0.43
2017Q1,3527,聚積,"610,150","41,341","-12,153","29,188","23,164",0.85
2017Q1,3529,力旺,"337,250","143,646","27,147","170,793","151,378",2.00
2017Q1,3531,先益,"450,180","44,655","-13,264","31,391","26,057",0.45
2017Q1,3537,堡達,"893,920","42,304","-32,075","10,229","7,674",0.16
2017Q1,3540,曜越,"873,170","57,323","-18,561","38,762","34,843",0.48
2017Q1,3541,西柏,"526,980","86,813","-27,337","59,476","49,214",1.10
2017Q1,3546,宇峻,"253,520","44,147","-13,157","30,990","24,479",0.73
2017Q1,3548,兆利,"1,318,570","143,261","-21,622","121,639","91,223",1.57
2017Q1,3551,世禾,"351,090","36,812","-12,931","23,881","21,667",0.38
2017Q1,3552,同致,"2,049,380","192,846","-99,365","93,481","83,770",0.99
2017Q1,3553,力積,"466,710","-5,489","-17,022","-22,511","-21,886",-0.32
2017Q1,3555,重鵬,"72,220","-2,400","7,325","4,925","4,509",0.13
2017Q1,3556,禾瑞亞,"275,640","66,682","-8,295","58,387","50,248",0.88
