代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,折溢 價％,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖,平均 EPS (元),17Q1 EPS (元),17Q2 EPS (元),17Q3 EPS (元),17Q4 EPS (元),18Q1 EPS (元),18Q2 EPS (元),18Q3 EPS (元),18Q4 EPS (元),19Q1 EPS (元),19Q2 EPS (元),19Q3 EPS (元),19Q4 EPS (元),季度,14Q1 EPS (元),14Q2 EPS (元),14Q3 EPS (元),14Q4 EPS (元),15Q1 EPS (元),15Q2 EPS (元),15Q3 EPS (元),15Q4 EPS (元),16Q1 EPS (元),16Q2 EPS (元),16Q3 EPS (元),16Q4 EPS (元)
1235,興泰,市,04/17,,100.5,0,0,5,0.55,100.5,100.5,105.5,100,5.47,1256,1.16,+16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,宏亞,市,04/17,,20.75,-0.05,-0.24,10,0.22,20.8,20.8,20.8,20.65,0.72,,0.7,-29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,台塑,市,04/17,,35.5,-0.3,-0.84,10208,362,35.8,35.9,36,35.05,2.65,,0.78,-21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,台聚,市,04/17,,10.1,-0.05,-0.49,1149,11.7,10.15,10.15,10.25,10,2.46,,0.52,-47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,華夏,市,04/17,,11.25,0,0,396,4.42,11.25,11.2,11.3,11.05,2.22,,0.75,-25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1308,亞聚,市,04/17,,13,-0.2,-1.52,329,4.27,13.2,13.1,13.15,12.8,2.65,,0.67,-32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,台達化,市,04/17,,11.4,-0.1,-0.87,452,5.15,11.5,11.35,11.5,11.25,2.17,,0.72,-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310,台苯,市,04/17,,8.92,-0.04,-0.45,427,3.79,8.96,8.85,8.96,8.81,1.67,,0.64,-36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312,國喬,市,04/17,,10.7,+0.1,+0.94,3275,34.9,10.6,10.5,10.85,10.45,3.77,,0.36,-63.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,聯成,市,04/17,,8.15,-0.04,-0.49,1007,8.2,8.19,8.18,8.24,8.08,1.95,,0.37,-63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1316,上曜,市,04/17,,15.15,-0.7,-4.42,14083,216,15.85,15.65,15.7,15,4.42,,1.29,+29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,恆大,市,04/17,,23.7,-0.3,-1.25,268,6.38,24,24,24,23.5,2.08,,0.76,-24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337,再生-KY,市,04/17,,5.6,+0.06,+1.08,246,1.36,5.54,5.54,5.68,5.43,4.51,,0.36,-63.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338,廣華-KY,市,04/17,,23.95,-0.05,-0.21,57,1.36,24,23.85,24.3,23.5,3.33,,0.33,-67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,勝悅-KY,市,04/17,,7.31,-0.02,-0.27,35,0.25,7.33,7.26,7.33,7.26,0.95,,0.37,-62.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413,宏洲,市,04/17,,11.6,+0.15,+1.31,25,0.29,11.45,11.45,11.6,11.4,1.75,,1.43,+42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1417,嘉裕,市,04/17,,7.81,+0.05,+0.64,127,0.99,7.76,7.75,7.81,7.72,1.16,,0.64,-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432,大魯閣,市,04/17,,16.25,+0.1,+0.62,83,1.34,16.15,16.05,16.3,15.9,2.48,,1.76,+76.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,折溢 價％,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖,,,,,,,,,,,,,,,,,,,,,,,,,,
1435,中福,市,04/17,,31.5,0,0,1,0.03,31.5,31.5,31.5,31.5,0,,3.8,+280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,三地開發,市,04/17,,41.8,+2.3,+5.82,61,2.51,39.5,40.35,41.8,40,4.56,,1.76,+75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440,南紡,市,04/17,,11.7,-0.15,-1.27,704,8.26,11.85,11.85,11.85,11.7,1.27,,0.67,-33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445,大宇,市,04/17,,14.2,0,0,23,0.32,14.2,14.1,14.35,14.1,1.76,,0.77,-22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,宏遠,市,04/17,,6.8,-0.07,-1.02,307,2.09,6.87,6.85,6.86,6.75,1.6,,0.78,-21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,瑞利,市,04/17,,6.23,0,0,29,0.18,6.23,6.17,6.31,6.15,2.57,,0.94,-6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,川飛,市,04/17,,14.15,-0.35,-2.41,28,0.4,14.5,14.1,14.55,14.1,3.1,,2.76,+176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,利奇,市,04/17,,11.05,0,0,125,1.36,11.05,11.05,11.1,10.75,3.17,,0.68,-31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
