代號,名稱,成交,漲跌 價,漲跌 幅,平均 EPS (元),16Q2 EPS (元),16Q3 EPS (元),16Q4 EPS (元),17Q1 EPS (元),17Q2 EPS (元),17Q3 EPS (元),17Q4 EPS (元),18Q1 EPS (元),18Q2 EPS (元),18Q3 EPS (元),18Q4 EPS (元),19Q1 EPS (元),季度,13Q2 EPS (元),13Q3 EPS (元),13Q4 EPS (元),14Q1 EPS (元),14Q2 EPS (元),14Q3 EPS (元),14Q4 EPS (元),15Q1 EPS (元),15Q2 EPS (元),15Q3 EPS (元),15Q4 EPS (元),16Q1 EPS (元)
1569,濱川,58.6,-5.2,-8.15,0.44,0.38,0.8,0.97,0.74,0.51,0.67,0.71,0.03,0.09,0.06,0.17,0.11,2019Q1,,,,,,,,,,,,
1591,駿吉-KY,41.55,+1.55,+3.88,0.3,0.53,0.43,0.79,0.18,-0.1,0,-0.04,0.01,0.4,0.62,0.41,0.34,2019Q1,,,,,,,,,,,,
1595,川寶,33.35,-1.45,-4.17,1,0.49,0.49,-0.59,0.58,1.22,0.63,4.76,0.34,1.57,1.39,0.87,0.19,2019Q1,,,,,,,,,,,,
1796,金穎生技,47,+0.25,+0.53,0.33,1.39,0.82,0.46,0.17,0.5,0.36,0.11,0.02,0.09,0.05,0.21,-0.17,2019Q1,,,,,,,,,,,,
1799,易威,59,-1.1,-1.83,-0.83,-0.79,-0.91,-1.61,-0.94,-0.78,-0.91,-0.92,-0.54,-0.63,-0.35,-0.93,-0.6,2019Q1,,,,,,,,,,,,
1813,寶利徠,14.35,-0.25,-1.71,0.21,0.45,0.16,0.05,-0.03,0.21,0.07,-0.23,0.18,0.76,0.18,0.25,0.44,2019Q1,,,,,,,,,,,,
2035,唐榮,30.4,-1.45,-4.55,-0.11,0.84,0.35,0.46,0.94,-0.19,0.03,-0.08,-0.47,-0.23,-1.43,-1.99,0.43,2019Q1,,,,,,,,,,,,
2061,風青,18.05,-0.35,-1.9,0.02,-0.18,0.03,0.21,0.24,-0.13,0.21,0.17,0.14,0.08,-0.34,-0.21,0.02,2019Q1,,,,,,,,,,,,
2064,晉椿,13.45,0,0,0.23,0.62,-0.09,0.93,-0.37,0.45,0.21,0.12,0.01,0.7,0.03,0.28,-0.12,2019Q1,,,,,,,,,,,,
2067,嘉鋼,9.45,-0.65,-6.44,-0.08,0.57,-0.77,-0.55,-0.92,-0.61,0.13,0,0.1,0.48,0.44,0.39,-0.2,2019Q1,,,,,,,,,,,,
2736,富野,16,+0.2,+1.27,-0.08,-0.01,-0.17,-0.15,0.43,-0.36,-0.1,-0.18,-0.07,-0.3,-0.33,0.08,0.22,2019Q1,,,,,,,,,,,,
2740,天蔥,26.9,+0.9,+3.46,-1.11,-0.44,-0.45,-1.23,-1.9,-0.89,-0.46,-0.82,-0.32,-0.69,-1.03,-2.3,-2.84,2019Q1,,,,,,,,,,,,
2924,宏太-KY,30.05,0,0,-0.59,0.01,0.02,0.38,-0.54,-0.25,-1.25,-0.81,-0.82,-0.95,-1.22,-0.85,-0.79,2019Q1,,,,,,,,,,,,
3067,全域,19.35,-2.15,-10,-0.19,-0.25,-0.08,0.45,-0.15,-0.08,-0.34,-0.18,-0.53,-0.23,0.11,-0.29,-0.71,2019Q1,,,,,,,,,,,,
