代號,名稱,成交,漲跌 價,漲跌 幅,平均 EPS (元),22Q1 EPS (元),22Q2 EPS (元),22Q3 EPS (元),22Q4 EPS (元),23Q1 EPS (元),23Q2 EPS (元),23Q3 EPS (元),23Q4 EPS (元),24Q1 EPS (元),24Q2 EPS (元),24Q3 EPS (元),24Q4 EPS (元),季度,16Q2 EPS (元),16Q3 EPS (元),16Q4 EPS (元),17Q1 EPS (元),17Q2 EPS (元),17Q3 EPS (元),17Q4 EPS (元),18Q1 EPS (元),18Q2 EPS (元),18Q3 EPS (元),18Q4 EPS (元),19Q1 EPS (元)
1101,台泥,29.5,-0.4,-1.34,0.27,0.18,-0.02,0.22,0.36,0.2,0.45,0.17,0.25,0.26,0.25,0.42,0.52,2019Q1,,,,,,,,,,,,
1102,亞泥,44.05,-0.8,-1.78,0.9,0.76,1.35,1.33,0.18,0.81,1.26,0.82,0.4,0.89,1.27,0.57,1.14,2019Q1,,,,,,,,,,,,
1103,嘉泥,14.65,-0.3,-2.01,0.03,-0.12,-0.62,0.41,0.05,0.03,0,0.18,-0.08,-0.06,0.11,0.74,-0.3,2019Q1,,,,,,,,,,,,
1104,環泥,27.25,-0.4,-1.45,0.7,1.06,0.49,0.61,0.93,0.41,0.62,1.42,0.68,0.37,0.56,0.69,0.55,2019Q1,,,,,,,,,,,,
1108,幸福,13.75,-0.1,-0.72,0.33,0.14,0.29,0.33,0.69,0.31,0.37,0.47,0.14,0.3,0.33,0.27,0.32,2019Q1,,,,,,,,,,,,
1109,信大,16.85,0,0,0.38,0.26,-0.06,0.63,0.34,0.42,0.6,0.34,0.65,0.35,0.55,0.18,0.29,2019Q1,,,,,,,,,,,,
1110,東泥,17.6,-0.55,-3.03,0.1,0.05,-0.1,0.12,0.19,0.06,0.12,0.1,-0.01,0.05,0.1,0.35,0.11,2019Q1,,,,,,,,,,,,
1201,味全,16.3,-0.3,-1.81,0.16,0.19,0.18,0.28,-0.17,0.25,0.07,0.13,0.08,0.26,0.2,0.28,0.13,2019Q1,,,,,,,,,,,,
1203,味王,38.5,-0.55,-1.41,0.57,0.59,0.17,1.5,0.37,0.33,0.38,0.64,0.45,0.64,0.5,0.44,0.78,2019Q1,,,,,,,,,,,,
1210,大成,57.9,0,0,0.97,0.69,0.64,0.62,0.71,0.9,1.27,1.51,1.13,1,0.94,1,1.26,2019Q1,,,,,,,,,,,,
1213,大飲,12.3,-0.4,-3.15,0.41,-0.47,-0.31,-0.3,-0.26,-0.34,-0.72,-0.66,-0.74,-0.43,0,-0.32,9.46,2019Q1,,,,,,,,,,,,
1215,卜蜂,97,-0.3,-0.31,1.65,1.22,1.82,1.28,1.23,1.43,2.04,2.2,2.02,1.25,1.28,1.74,2.28,2019Q1,,,,,,,,,,,,
1216,統一,76.8,+1.2,+1.59,0.82,0.75,0.85,0.97,0.45,0.88,1.09,0.98,0.28,0.97,1.04,1.07,0.55,2019Q1,,,,,,,,,,,,
1217,愛之味,11.35,-0.1,-0.87,0.13,0.1,-0.04,0.52,-0.03,0.13,0.04,0.18,0.05,0.16,0.24,0.23,-0.04,2019Q1,,,,,,,,,,,,
1218,泰山,19.6,0,0,1.13,0.29,0.27,0.32,11.29,-0.14,-0.79,0.36,0.41,0.32,0.42,0.55,0.24,2019Q1,,,,,,,,,,,,
1219,福壽,13.6,-0.15,-1.09,0.21,0.63,0.42,-0.1,0.05,0.19,0.23,0.29,0.24,0.15,0.18,0.04,0.17,2019Q1,,,,,,,,,,,,
1220,台榮,13.55,-0.25,-1.81,0.18,0.19,0.1,-0.08,0.06,-0.04,0.2,0.23,0.37,0.29,0.43,0.34,0.12,2019Q1,,,,,,,,,,,,
1227,佳格,33.5,-0.25,-0.74,0.38,0.36,0.18,0.54,0.26,0.29,0.2,0.55,0.31,0.52,0.32,0.54,0.52,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 EPS (元),22Q1 EPS (元),22Q2 EPS (元),22Q3 EPS (元),22Q4 EPS (元),23Q1 EPS (元),23Q2 EPS (元),23Q3 EPS (元),23Q4 EPS (元),24Q1 EPS (元),24Q2 EPS (元),24Q3 EPS (元),24Q4 EPS (元),2019Q1,,,,,,,,,,,,
1229,聯華,45.2,-0.6,-1.31,0.66,0.91,0.95,0.44,0.41,0.74,0.78,0.68,0.49,0.7,0.79,0.44,0.58,2019Q1,,,,,,,,,,,,
1231,聯華食,129.5,-4,-3,1.03,1.09,0.69,1.04,1.18,1.04,0.39,0.61,1.92,1.18,0.88,0.85,1.51,2019Q1,,,,,,,,,,,,
1232,大統益,150,-1,-0.66,1.95,2.98,2.36,0.78,1.55,2.17,1.62,1.69,2.06,1.76,2.65,1.61,2.21,2019Q1,,,,,,,,,,,,
1233,天仁,34,-0.6,-1.73,0.22,0.19,0.03,0.08,0.26,0.35,0.33,0.22,0.16,0.37,0.23,0.13,0.25,2019Q1,,,,,,,,,,,,
1234,黑松,39.35,-0.25,-0.63,0.58,0.31,0.44,0.97,0.48,0.47,0.51,0.94,0.44,0.44,0.62,0.91,0.39,2019Q1,,,,,,,,,,,,
1256,鮮活果汁-KY,118,-2.5,-2.07,2.74,1.31,2.05,6.57,1.98,1.34,6.09,5.33,-0.36,1.34,2.72,4.15,0.35,2019Q1,,,,,,,,,,,,
1303,南亞,31.15,-0.7,-2.2,0.44,1.9,1.81,0.43,-0.08,0.11,0.12,0.55,0.02,0.16,0.22,0.01,0.04,2019Q1,,,,,,,,,,,,
1307,三芳,35.2,-1.55,-4.22,0.57,0.27,0.4,0.46,0.04,0.4,0.48,0.79,0.25,1.04,0.75,0.97,0.96,2019Q1,,,,,,,,,,,,
1314,中石化,6.98,-0.12,-1.69,-0.01,-0.09,-0.12,0.43,-0.16,-0.27,-0.21,-0.15,0.35,0.06,0.06,-0.15,0.1,2019Q1,,,,,,,,,,,,
1315,達新,64.4,-1.5,-2.28,1.1,0.84,1.16,5.29,0.12,0.33,2.46,1.37,-0.5,0.42,0.62,0.46,0.65,2019Q1,,,,,,,,,,,,
1319,東陽,128,-4,-3.03,1.35,0.51,1.36,1.19,0.58,0.83,1.28,1.65,1.35,1.98,1.76,1.49,2.17,2019Q1,,,,,,,,,,,,
1321,大洋,33.85,-0.3,-0.88,0.12,-0.07,0.02,0.39,-0.52,0.59,0.09,0.22,-0.02,0.53,0.32,-0.11,0.02,2019Q1,,,,,,,,,,,,
1323,永裕,20.4,+0.05,+0.25,0.46,0.64,0.21,0.55,0.66,0.3,0.22,0.19,0.21,0.26,0.29,1.98,0.04,2019Q1,,,,,,,,,,,,
1324,地球,11.4,-0.05,-0.44,0.06,-0.03,-0.02,-0.01,0.12,0.09,0.12,0.24,0.08,0,0.02,-0.03,0.1,2019Q1,,,,,,,,,,,,
1326,台化,25.35,-1.1,-4.16,0.23,1.04,1.08,0.43,-1.28,-0.13,0.29,1.28,0.02,0.26,0.32,-0.33,-0.17,2019Q1,,,,,,,,,,,,
1339,昭輝,52.2,+0.7,+1.36,1.37,1.54,1.9,2.28,-0.2,0.87,1.65,2.03,1.33,1.8,1.23,1.05,0.94,2019Q1,,,,,,,,,,,,
1341,富林-KY,63.8,-0.7,-1.09,1.32,1.49,1.65,1.4,1.41,1.37,1.15,0.95,1.02,1.46,1.2,1.04,1.69,2019Q1,,,,,,,,,,,,
1342,八貫,91.1,+0.2,+0.22,1.78,1.52,1.85,1.91,2.06,1.49,2.01,2.19,1.86,1.75,1.77,1.46,1.45,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 EPS (元),22Q1 EPS (元),22Q2 EPS (元),22Q3 EPS (元),22Q4 EPS (元),23Q1 EPS (元),23Q2 EPS (元),23Q3 EPS (元),23Q4 EPS (元),24Q1 EPS (元),24Q2 EPS (元),24Q3 EPS (元),24Q4 EPS (元),2019Q1,,,,,,,,,,,,
1402,遠東新,32.6,-0.3,-0.91,0.44,0.55,0.62,0.46,0.01,0.29,0.45,0.4,0.5,0.32,0.69,0.4,0.6,2019Q1,,,,,,,,,,,,
1409,新纖,12.3,-0.3,-2.38,0.27,0.54,0.51,0.69,0.01,0.02,0.13,0.26,0.06,0.22,0.27,0.34,0.23,2019Q1,,,,,,,,,,,,
1410,南染,32.25,-0.05,-0.15,0.14,0.13,0.24,0.25,0.27,0.09,0.1,0.12,-0.09,0.22,0.1,0.1,0.15,2019Q1,,,,,,,,,,,,
1414,東和,17.1,-0.05,-0.29,0.08,0.11,0.21,0.19,-0.03,-0.04,0.08,0.07,0.05,0.08,0.08,0.1,0,2019Q1,,,,,,,,,,,,
1416,廣豐,11.85,+0.05,+0.42,0.15,-0.19,0.36,0.38,-0.04,-0.01,0.01,0.64,-0.12,0.15,0.28,0.23,0.14,2019Q1,,,,,,,,,,,,
1418,東華,22.35,-0.3,-1.32,0.13,-0.5,-0.51,-0.48,1.89,-0.42,-0.55,-0.4,2.11,-0.65,-0.45,-0.47,2.03,2019Q1,,,,,,,,,,,,
1419,新紡,40.45,-0.95,-2.29,1,4.77,0.94,0.88,0.33,0.3,0.56,0.97,0.34,0.3,0.71,0.8,1.09,2019Q1,,,,,,,,,,,,
1423,利華,32.4,-0.45,-1.37,0.16,0.19,0.11,0.14,0.1,0.21,-0.01,0.45,-0.09,0.02,0.26,0.32,0.21,2019Q1,,,,,,,,,,,,
1434,福懋,16.5,-0.3,-1.79,0.26,0.33,1.21,0.35,0.13,0.05,0.28,0.03,-0.09,0.11,0.14,0.57,0.06,2019Q1,,,,,,,,,,,,
1436,華友聯,118,-4,-3.28,3.01,-0.49,1,5.06,0.97,-0.4,-0.13,0.26,9.96,-0.36,5.74,12.45,2.11,2019Q1,,,,,,,,,,,,
1437,勤益控,30.55,-0.55,-1.77,0.67,0.41,0.46,0.57,0.56,0.62,0.64,0.99,0.58,0.81,1.07,0.88,0.5,2019Q1,,,,,,,,,,,,
