代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,折溢 價％,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖,平均 EPS (元),17Q1 EPS (元),17Q2 EPS (元),17Q3 EPS (元),17Q4 EPS (元),18Q1 EPS (元),18Q2 EPS (元),18Q3 EPS (元),18Q4 EPS (元),19Q1 EPS (元),19Q2 EPS (元),19Q3 EPS (元),19Q4 EPS (元),季度,14Q1 EPS (元),14Q2 EPS (元),14Q3 EPS (元),14Q4 EPS (元),15Q1 EPS (元),15Q2 EPS (元),15Q3 EPS (元),15Q4 EPS (元),16Q1 EPS (元),16Q2 EPS (元),16Q3 EPS (元),16Q4 EPS (元)
1240,茂生農經,櫃,04/17,,58,+0.3,+0.52,88,5.15,57.7,57.7,59,57.7,2.25,13.4,1.66,+65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,安心,櫃,04/17,,60,-1.2,-1.96,13,0.81,61.2,59.7,60.3,59.7,0.98,29.3,0.78,-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,德麥,櫃,04/17,,299,+0.5,+0.17,8,2.45,298.5,296,299,296,1.01,14.5,3.21,+221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,漢來美食,櫃,04/17,,138.5,+1.5,+1.09,19,2.68,137,137,138.5,137,1.09,13.8,2.58,+158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294,漢田生技,櫃,04/17,,86.9,-0.4,-0.46,22,1.91,87.3,85.5,86.9,85.1,2.06,14.4,2.93,+193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336,台翰,櫃,04/17,,19.7,-0.4,-1.99,472,9.29,20.1,20.25,20.25,19.45,3.98,9.38,0.79,-20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,精華,櫃,04/17,,174.5,+1,+0.58,95,16.5,173.5,173.5,175,172,1.73,11.8,1.34,+34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570,力肯,櫃,04/17,,22.7,+0.1,+0.44,57,1.3,22.6,22.8,22.95,22.3,2.88,10.1,1.14,+14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580,新麥,櫃,04/17,,137.5,0,0,46,6.3,137.5,136.5,138,135.5,1.82,10.1,2.18,+118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584,精剛,櫃,04/17,,30.75,+0.75,+2.5,11941,360,30,30.7,30.8,29.45,4.5,19.6,1.43,+43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586,和勤,櫃,04/17,,26.7,-0.65,-2.38,167,4.47,27.35,27.4,27.4,26.6,2.93,62.1,1.42,+41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593,祺驊,櫃,04/17,,30.8,+0.4,+1.32,1,0.03,30.4,30.8,30.8,30.8,0,18.1,0.92,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,宏佳騰,櫃,04/17,,28.2,0,0,7,0.21,28.2,27.3,28.75,27.3,5.14,23.3,1.03,+2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742,台蠟,櫃,04/17,,16.65,-0.05,-0.3,10,0.17,16.7,16.6,16.9,16.6,1.8,18.7,1.11,+11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,生泰,櫃,04/17,,88.5,+0.4,+0.45,76,6.7,88.1,88,88.7,86.6,2.38,10,1.54,+54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781,合世,櫃,04/17,,12.85,-0.05,-0.39,31,0.4,12.9,12.9,13.1,12.8,2.33,25.2,1.55,+55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784,訊聯,櫃,04/17,,70.6,-0.4,-0.56,225,15.6,71,70.3,70.8,68.5,3.24,42.8,2.69,+169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
