代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億),19Q2 業外 損益 (億),19Q3 業外 損益 (億),19Q4 業外 損益 (億),季度,14Q1 業外 損益 (億),14Q2 業外 損益 (億),14Q3 業外 損益 (億),14Q4 業外 損益 (億),15Q1 業外 損益 (億),15Q2 業外 損益 (億),15Q3 業外 損益 (億),15Q4 業外 損益 (億),16Q1 業外 損益 (億),16Q2 業外 損益 (億),16Q3 業外 損益 (億),16Q4 業外 損益 (億)
1235,興泰,100.5,0,0,0.14,0.28,0.23,1.1,0.37,0.42,-0.7,0.96,0.3,0.46,0.65,0.85,-3.28,,,,,,,,,,,,,,,,,,,,,,,,,
1236,宏亞,20.75,-0.05,-0.24,0.43,4.57,0.01,0.02,0.02,0.02,0.08,0.07,0.05,0.04,0.03,0.09,0.13,,,,,,,,,,,,,,,,,,,,,,,,,
1301,台塑,35.5,-0.3,-0.84,25,63.9,100,56.3,-50.4,24.5,35.5,66.6,-14.6,18.1,11.7,-17.4,5.06,,,,,,,,,,,,,,,,,,,,,,,,,
1304,台聚,10.1,-0.05,-0.49,-10.1,-6.8,-12.7,-13.9,-17,-12.9,-8.26,-0.93,-13.4,-7.02,-7.76,-8.33,-12,,,,,,,,,,,,,,,,,,,,,,,,,
1305,華夏,11.25,0,0,0.33,3.22,0.69,0.86,-0.1,-0.18,0.31,0.44,-0.5,0.4,0.4,-0.1,-1.47,,,,,,,,,,,,,,,,,,,,,,,,,
1308,亞聚,13,-0.2,-1.52,-2.26,-1.93,-1.61,-4.03,-3.72,-2.87,-1.6,-0.14,-3.12,-1.78,-1.44,-2.09,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,
1309,台達化,11.4,-0.1,-0.87,0.46,1.05,1.13,1.12,-0.12,0.21,0.67,0.68,-0.38,0.62,0.5,-0.35,0.42,,,,,,,,,,,,,,,,,,,,,,,,,
1310,台苯,8.92,-0.04,-0.45,0.21,1.39,-0.23,0.31,0.11,0.31,-0.01,-0.09,0.07,0.35,0.73,-0.16,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,
1312,國喬,10.7,+0.1,+0.94,-0.23,5.81,2.37,-1.1,0.64,0.25,-3.8,-2.02,-1.06,-3.48,-0.04,0.06,-0.41,,,,,,,,,,,,,,,,,,,,,,,,,
1313,聯成,8.15,-0.04,-0.49,0.54,5.37,0.86,0.41,-0.13,1.01,-1.65,1.73,-0.68,0.64,-1.46,2.21,-1.77,,,,,,,,,,,,,,,,,,,,,,,,,
1316,上曜,15.15,-0.7,-4.42,-0.04,0.5,-1.31,-0.12,-0.06,0.12,0.24,-0.11,0.1,0.57,0.22,-0.18,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,
1325,恆大,23.7,-0.3,-1.25,0.09,0.05,0.12,0.34,-0.25,0.05,0.37,0.48,-0.21,0.28,0.16,0.01,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,
1337,再生-KY,5.6,+0.06,+1.08,-0.09,0.08,0.08,-0.22,-0.04,0.07,0.07,-0.18,-0.17,-0.13,-0.04,0.01,-0.61,,,,,,,,,,,,,,,,,,,,,,,,,
1338,廣華-KY,23.95,-0.05,-0.21,-0.05,0.2,-0.18,0.2,-0.22,-0.46,-0.75,0.06,-0.49,0.21,0.67,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
1340,勝悅-KY,7.31,-0.02,-0.27,-0.72,0.09,0.03,-0.05,-0.05,0.05,0.08,0.06,-4.79,0.01,0.01,-0.32,-3.71,,,,,,,,,,,,,,,,,,,,,,,,,
1413,宏洲,11.6,+0.15,+1.31,0.02,0.06,0.06,0.03,0.01,0,0.01,0.02,0,0.01,0.01,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
1417,嘉裕,7.81,+0.05,+0.64,0.34,0.09,0.41,0.56,1.86,0.12,0.16,0.58,-0.69,0.16,0.24,0.25,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
1432,大魯閣,16.25,+0.1,+0.62,-0.08,-0.06,-0.2,-0.1,0.08,-0.08,-0.16,-0.06,0.04,-0.12,-0.11,-0.05,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
1435,中福,31.5,0,0,-0.13,1.34,0.77,-1.13,-2.82,0.06,0.01,0.02,0.02,0.03,0.04,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
