代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,折溢 價％,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖,平均 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億),19Q2 業外 損益 (億),19Q3 業外 損益 (億),19Q4 業外 損益 (億),季度,14Q1 業外 損益 (億),14Q2 業外 損益 (億),14Q3 業外 損益 (億),14Q4 業外 損益 (億),15Q1 業外 損益 (億),15Q2 業外 損益 (億),15Q3 業外 損益 (億),15Q4 業外 損益 (億),16Q1 業外 損益 (億),16Q2 業外 損益 (億),16Q3 業外 損益 (億),16Q4 業外 損益 (億)
1569,濱川,櫃,04/17,,55.8,-2.8,-4.78,3606,204,58.6,58.6,59.4,55,7.51,,2.35,+135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591,駿吉-KY,櫃,04/17,,41.3,-0.25,-0.6,143,5.87,41.55,42.35,42.35,40.4,4.69,,3.01,+201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595,川寶,櫃,04/17,,33,-0.35,-1.05,140,4.63,33.35,32.75,33.7,32.35,4.05,,0.62,-37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796,金穎生技,櫃,04/17,,47,0,0,14,0.67,47,46.95,47.5,46.95,1.17,,2.47,+147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,易威,櫃,04/17,,58.6,-0.4,-0.68,152,8.94,59,58.7,59.7,58.1,2.71,,9.93,+893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,寶利徠,櫃,04/17,,14.4,+0.05,+0.35,6,0.09,14.35,14.4,14.4,14.4,0,,0.93,-7.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,唐榮,櫃,04/17,,31.7,+1.3,+4.28,14,0.43,30.4,30.2,31.7,30.05,5.43,,2.9,+190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061,風青,櫃,04/17,,18.2,+0.15,+0.83,91,1.65,18.05,18.05,18.3,17.95,1.94,,1.56,+56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2064,晉椿,櫃,04/17,,13.45,0,0,1,0.02,13.45,13.45,13.45,13.45,0,,0.91,-8.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2067,嘉鋼,櫃,04/17,,8.99,-0.46,-4.87,4,0.04,9.45,9.44,9.45,8.99,4.87,,1.71,+71.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736,富野,櫃,04/17,,16.15,+0.15,+0.94,51,0.81,16,16.2,16.2,15.8,2.5,,0.77,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740,天蔥,櫃,04/17,,27.8,+0.9,+3.35,1,0.03,26.9,27.8,27.8,27.8,0,,4.09,+309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2924,宏太-KY,櫃,04/17,,29.95,+0.15,+0.5,6,0.18,30.05,30,30,29.8,0.67,,2.9,+190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3067,全域,櫃,04/17,,19.45,+0.1,+0.52,34,0.64,19.35,19.5,19.7,18.75,4.91,,1.56,+56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3081,聯亞,櫃,04/17,,248.5,+5.5,+2.26,6801,1653,243,245,249,234,6.17,,6.1,+510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3085,新零售,櫃,04/17,,17.6,-1.3,-6.88,3,0.05,18.9,17.6,17.8,17.6,1.06,,2.74,+174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3115,富榮綱,櫃,04/17,,12.3,-0.65,-5.02,1,0.01,12.95,12.3,12.3,12.3,0,,2.17,+117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3122,笙泉,櫃,04/17,,22.1,-0.4,-1.78,72,1.57,22.5,21.65,22.15,21.65,2.22,,2.07,+107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,折溢 價％,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖,,,,,,,,,,,,,,,,,,,,,,,,,,
3176,基亞,櫃,04/17,,29.85,-0.35,-1.16,172,5.13,30.2,30.2,30.7,29.1,5.3,,2.63,+163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3191,雲嘉南,櫃,04/17,,15,0,0,0,0,15,15,15,15,0,,2.96,+196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3205,佰研,櫃,04/17,,23.85,+0.25,+1.06,70,1.65,23.6,23.05,24,23.05,4.03,,1.9,+90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3207,耀勝,櫃,04/17,,84.1,-0.3,-0.36,324,27.2,84.4,85.7,85.7,82.3,4.03,,2.98,+198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3224,三顧,櫃,04/17,,39.15,0,0,67,2.62,39.15,39.15,39.3,38.9,1.02,,2.33,+133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3228,金麗科,櫃,04/17,,155,+3,+1.97,298,45.3,152,150,155,147.5,4.93,,16.72,+1572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3234,光環,櫃,04/17,,33.2,-0.4,-1.19,312,10.3,33.6,33.6,33.6,32.3,3.87,,3.86,+286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3252,海灣,櫃,04/17,,19.8,+0.15,+0.76,14,0.27,19.65,19.1,19.95,19.1,4.33,,0.51,-49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3259,鑫創,櫃,04/17,,20.8,+0.3,+1.46,17,0.35,20.5,20.5,20.8,20.5,1.46,,2.55,+155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3272,東碩,櫃,04/17,,21.15,-0.35,-1.63,55,1.16,21.5,21.2,21.45,20.85,2.79,,0.84,-16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3276,宇環,櫃,04/17,,11.3,-0.1,-0.88,78,0.89,11.4,11.55,11.6,11.3,2.63,,0.99,-1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3288,點晶,櫃,04/17,,19.6,+0.4,+2.08,1,0.02,19.2,19.6,19.6,19.6,0,,2.91,+191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3297,杭特,櫃,04/17,,31.7,-0.5,-1.55,1162,37.7,32.2,33,34,31.1,9.01,,2.03,+103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3322,建舜電,櫃,04/17,,12.45,-0.15,-1.19,139,1.72,12.6,12.35,12.6,12.2,3.17,,0.93,-7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3323,加百裕,櫃,04/17,,27.85,-0.1,-0.36,7378,212,27.95,28.4,29.7,27.85,6.62,,1.02,+1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3325,旭品,櫃,04/17,,14.75,+0.25,+1.72,425,6.22,14.5,14.25,14.95,14.2,5.17,,1.38,+38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3349,寶德,櫃,04/17,,18.25,0,0,0,0,18.25,18.25,18.25,18.25,0,,2.41,+141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3354,律勝,櫃,04/17,,16.25,-0.3,-1.81,142,2.33,16.55,16.5,17.05,16.2,5.14,,1.32,+32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,折溢 價％,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖,,,,,,,,,,,,,,,,,,,,,,,,,,
3360,尚立,櫃,04/17,,12.65,0,0,209,2.63,12.65,12.8,12.8,12.3,3.95,,1.11,+11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3363,上詮,櫃,04/17,,169,-1,-0.59,522,87.8,170,167,172,166,3.53,,6.92,+592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3372,典範,櫃,04/17,,12.1,+0.1,+0.83,126,1.52,12,12,12.1,11.8,2.5,,1.24,+23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3373,熱映,櫃,04/17,,19.9,-0.2,-1,142,2.84,20.1,19.9,20.25,19.65,2.99,,1,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3466,德晉,櫃,04/17,,40.65,+2.25,+5.86,5385,216,38.4,38.8,41.8,38.6,8.33,,3.53,+253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3489,森寶,櫃,04/17,,23.25,+0.75,+3.33,108,2.49,22.5,22.5,23.4,22.5,4,,1.67,+67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3498,陽程,櫃,04/17,,35.15,+0.45,+1.3,414,14.5,34.7,34.8,35.5,34.35,3.31,,0.96,-4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
