代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億),19Q2 業外 損益 (億),19Q3 業外 損益 (億),19Q4 業外 損益 (億),季度,14Q1 業外 損益 (億),14Q2 業外 損益 (億),14Q3 業外 損益 (億),14Q4 業外 損益 (億),15Q1 業外 損益 (億),15Q2 業外 損益 (億),15Q3 業外 損益 (億),15Q4 業外 損益 (億),16Q1 業外 損益 (億),16Q2 業外 損益 (億),16Q3 業外 損益 (億),16Q4 業外 損益 (億)
1101,台泥,29.35,-0.15,-0.51,12.9,9.64,15.7,14.8,14.7,13.1,24.1,2.15,3.84,21.5,11.4,2.37,21.8,,,,,,,,,,,,,,,,,,,,,,,,,
1102,亞泥,44.5,+0.45,+1.02,17.6,9.7,25.9,31,-0.37,17.2,28.6,14.1,4.81,26.1,32,3.26,19.1,,,,,,,,,,,,,,,,,,,,,,,,,
1103,嘉泥,14.7,+0.05,+0.34,0.87,0.49,-3.04,4.13,1.16,0.82,0.36,1.59,-0.46,-0.1,0.99,5.92,-1.43,,,,,,,,,,,,,,,,,,,,,,,,,
1104,環泥,27.15,-0.1,-0.37,3.25,5.57,2.05,2.64,5.16,1.22,2.74,9.84,2.29,1.05,1.71,3.01,1.73,,,,,,,,,,,,,,,,,,,,,,,,,
1108,幸福,13.8,+0.05,+0.36,-0.01,-0.15,-0.16,0.14,-0.06,0.11,-0.02,0.51,-0.13,-0.08,-0.07,-0.02,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,
1109,信大,16.75,-0.1,-0.59,0.22,0.19,-0.14,0.72,0.04,0.31,0.41,0.19,0.31,0.16,0.31,0.02,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
1110,東泥,17.65,+0.05,+0.28,0.31,0.11,-0.26,0.43,1.13,0.06,0.21,1.47,-0.46,-0.15,0.15,1.09,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1201,味全,16.25,-0.05,-0.31,0.05,0.05,-0.34,0.37,-0.42,0.55,-0.39,0.37,0.09,0.25,-0.12,0.08,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
1203,味王,39,+0.5,+1.3,0.39,0.31,-0.14,2.6,0.11,0.03,0.28,0.93,-0.6,0.37,0.15,0.19,0.45,,,,,,,,,,,,,,,,,,,,,,,,,
1210,大成,58.4,+0.5,+0.86,0.5,1.87,0.6,2.04,-0.84,-0.02,0.66,0.34,-1.5,1.05,-0.77,1.78,0.76,,,,,,,,,,,,,,,,,,,,,,,,,
1213,大飲,12.35,+0.05,+0.41,0.52,-0.02,-0.02,-0.02,-0.02,-0.03,-0.03,0.32,-0.03,0.02,0.17,-0.04,5.89,,,,,,,,,,,,,,,,,,,,,,,,,
1215,卜蜂,97.2,+0.2,+0.21,-0.1,-0.52,-0.07,0.12,-0.28,-0.47,-0.06,-0.24,-0.35,-0.5,-0.51,1.77,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,
1216,統一,75.6,-1.2,-1.56,29,5.82,25.1,23.7,8.67,35.3,131,14.5,19.7,21.8,27.3,17.8,17.1,,,,,,,,,,,,,,,,,,,,,,,,,
1217,愛之味,11.35,0,0,0.4,0.03,-0.49,1.75,0.02,0.35,0.07,0.25,0.64,0.54,0.96,0.98,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,
1218,泰山,19.65,+0.05,+0.26,5.88,0.6,1.14,1.46,62.8,0.38,0.39,0.72,0.37,0.71,0.66,0.83,0.44,,,,,,,,,,,,,,,,,,,,,,,,,
1219,福壽,13.6,0,0,0.1,0.13,0.21,0.17,0.15,-0.06,0.14,0.07,0.19,0.07,0.08,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
1220,台榮,13.6,+0.05,+0.37,0.08,0.08,0,0.11,0.06,0.07,0.1,0.08,0.06,0.05,0.08,0.03,0.23,,,,,,,,,,,,,,,,,,,,,,,,,
1227,佳格,33.5,0,0,0.66,0.31,0.33,1.01,0.04,0.45,0.56,1.05,0.36,1.58,0.97,0.22,1.04,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
1229,聯華,45.1,-0.1,-0.22,9.06,12.2,8.34,7.03,6.09,10.6,9.66,10.6,6.85,10.1,10.6,7.78,8.81,,,,,,,,,,,,,,,,,,,,,,,,,
1231,聯華食,130.5,+1,+0.77,0.47,0,-0.42,0.02,-0.42,0.32,-0.38,-0.26,3.24,1.1,0.94,-0.02,1.48,,,,,,,,,,,,,,,,,,,,,,,,,
1232,大統益,151.5,+1.5,+1,0.21,0.22,0.41,1.04,-0.45,0.17,0.24,0.18,-0.07,0.39,0.23,0.04,0.16,,,,,,,,,,,,,,,,,,,,,,,,,
1233,天仁,34,0,0,0.07,0.09,0.21,0.1,-0.02,0,0.11,0.04,0.03,0.06,0.11,0.01,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
1234,黑松,39.35,0,0,1.23,1.29,1.13,1.35,1.22,1.14,1.23,1.38,1.03,1.32,1.19,1.27,1.2,,,,,,,,,,,,,,,,,,,,,,,,,
1256,鮮活果汁-KY,121,+3,+2.54,0.16,0.03,0.13,0.57,0.04,0.07,0.48,0.13,0.15,0.17,0.01,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
1303,南亞,30.75,-0.4,-1.28,22.3,65.9,85.4,31.7,-27.8,8.54,21.9,49.7,-8.71,21.5,14.2,-5.04,10.1,,,,,,,,,,,,,,,,,,,,,,,,,
1307,三芳,34.4,-0.8,-2.27,0.55,1.13,1.08,1.64,-0.84,-0.16,1.12,1.01,-1.55,2.02,0.22,-0.47,1.38,,,,,,,,,,,,,,,,,,,,,,,,,
1314,中石化,6.95,-0.03,-0.43,8.08,1.77,-0.21,29.8,14.3,-0.74,-0.26,1.53,24.7,4.83,1.99,0.03,19.3,,,,,,,,,,,,,,,,,,,,,,,,,
1315,達新,65,+0.6,+0.93,1.09,0.72,0.96,4.8,-0.31,0.23,2.25,1.49,-0.44,0.97,0.88,0.69,0.83,,,,,,,,,,,,,,,,,,,,,,,,,
1319,東陽,128.5,+0.5,+0.39,1.21,1.21,4.68,3.06,-2.29,-0.95,1.53,2.22,-2.12,2.87,2.31,-0.57,2.56,,,,,,,,,,,,,,,,,,,,,,,,,
1321,大洋,33.85,0,0,0.63,0.48,-0.17,1.73,-0.2,0.8,0.77,0.57,-0.21,1.31,1.06,0.71,0.74,,,,,,,,,,,,,,,,,,,,,,,,,
1323,永裕,20.45,+0.05,+0.25,0.23,0.11,-0.06,0.14,0.16,0,-0.05,0.13,0.05,0.11,0.1,1.99,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
