代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),季度,16Q2 業外 損益 (億),16Q3 業外 損益 (億),16Q4 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億)
1240,茂生農經,57.7,-1.5,-2.53,0.06,-0.08,0.02,-0.15,-0.12,-0.01,0.06,0.15,0.27,0.05,0.12,0.14,0.22,2019Q1,,,,,,,,,,,,
1259,安心,61.2,0,0,0.15,-0.03,-0.07,0.23,0.07,0.29,0.38,0.26,0.17,0.2,0.31,0.01,0.01,2019Q1,,,,,,,,,,,,
1264,德麥,298.5,-1.5,-0.5,0.03,0.01,0.02,0.05,-0.27,-0.01,0.05,0.09,0.06,0.08,0.09,0.04,0.13,2019Q1,,,,,,,,,,,,
1268,漢來美食,137,+1,+0.74,0.1,0,0.26,0.58,0.28,-0.03,0.04,0.17,-0.01,0.01,-0.01,-0.04,-0.02,2019Q1,,,,,,,,,,,,
1294,漢田生技,87.3,+0.3,+0.34,0,,0,,0.01,0,0,0,-0.01,-0.01,-0.01,-0.01,0,2019Q1,,,,,,,,,,,,
1336,台翰,20.1,-0.15,-0.74,0.07,0.03,0.11,0.17,-0.19,-0.01,0.02,0.25,0.11,0.14,0.15,0.02,0.02,2019Q1,,,,,,,,,,,,
1565,精華,173.5,-4.5,-2.53,0.35,0.72,0.48,1.07,-0.18,0.03,0.52,0.73,-0.54,0.72,0.36,-0.12,0.46,2019Q1,,,,,,,,,,,,
1570,力肯,22.6,-0.6,-2.59,0.06,0.08,0.1,0.18,-0.02,0,0.09,0.09,-0.01,0.09,0.07,-0.05,0.12,2019Q1,,,,,,,,,,,,
1580,新麥,137.5,0,0,0.21,0.12,0.37,0.42,-0.17,-0.09,0.43,0.14,0.11,0.12,0.36,0.46,0.23,2019Q1,,,,,,,,,,,,
1584,精剛,30,+1.1,+3.81,0.36,0.06,0,-0.01,0.04,0.23,0.3,0.36,2.4,0.22,1.06,-0.12,-0.17,2019Q1,,,,,,,,,,,,
1586,和勤,27.35,0,0,0.04,0.07,0.18,0.28,-0.08,-0.19,0.18,-0.05,0,-0.01,0.04,-0.08,0.13,2019Q1,,,,,,,,,,,,
1593,祺驊,30.4,-0.15,-0.49,0.17,0.11,0.24,1.13,0,-0.01,0.09,0.06,0.01,0.1,0.11,0.05,0.11,2019Q1,,,,,,,,,,,,
1599,宏佳騰,28.2,+0.05,+0.18,0.24,0.12,0.14,0.28,0.25,0.08,0.52,0.17,0.08,0.1,0.09,0.08,1.01,2019Q1,,,,,,,,,,,,
1742,台蠟,16.7,-0.3,-1.76,0.15,0.17,0.17,0.16,-0.37,-0.05,0.21,0.88,-1.14,1.31,0.44,-0.05,0.02,2019Q1,,,,,,,,,,,,
1777,生泰,88.1,-0.5,-0.56,0.24,0.45,0.46,0.57,-0.32,0.01,0.25,0.36,-0.3,0.35,0.18,0.68,0.17,2019Q1,,,,,,,,,,,,
1781,合世,12.9,-0.35,-2.64,0.05,0.13,0.06,0.17,-0.07,0,0.01,0.13,-0.11,0.15,0.06,-0.06,0.12,2019Q1,,,,,,,,,,,,
1784,訊聯,71,+0.4,+0.57,0.06,0.06,0.01,0.04,0.02,0.07,0.03,0.1,0.03,0.1,0.08,0.1,0.12,2019Q1,,,,,,,,,,,,
1785,光洋科,50.4,-1.9,-3.63,0.1,-0.69,0.44,2.73,-2.08,-0.24,2.55,1,-4.09,1.8,-3.06,-1.05,3.9,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
1788,杏昌,141.5,0,0,0.04,0.03,0.08,-0.02,-0.14,0.07,0.08,0.04,0.08,0.13,0.15,-0.11,0.11,2019Q1,,,,,,,,,,,,
1815,富喬,27.95,-0.05,-0.18,-0.44,0.23,-1.18,-0.13,-0.6,-0.02,-0.49,0.09,-2.77,0.34,0.07,-0.74,-0.02,2019Q1,,,,,,,,,,,,
2063,世鎧,32.45,0,0,0.01,0.06,0.04,0.17,-0.1,-0.04,0.05,0.11,-0.16,0.1,0.03,-0.15,0.07,2019Q1,,,,,,,,,,,,
2065,世豐,40.8,-0.25,-0.61,0.11,0.19,0.21,0.32,-0.06,0.05,0.18,0.19,-0.27,0.36,0.09,-0.12,0.18,2019Q1,,,,,,,,,,,,
