代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),季度,16Q2 營益 (億),16Q3 營益 (億),16Q4 營益 (億),17Q1 營益 (億),17Q2 營益 (億),17Q3 營益 (億),17Q4 營益 (億),18Q1 營益 (億),18Q2 營益 (億),18Q3 營益 (億),18Q4 營益 (億),19Q1 營益 (億)
1235,興泰,100.5,-3.5,-3.37,0,-0.04,-0.01,0.23,-0.08,-0.03,0,0,-0.02,-0.03,-0.06,-0.02,0.03,2019Q1,,,,,,,,,,,,
1236,宏亞,20.8,-0.5,-2.35,-0.03,0.05,-0.38,0.12,0.26,0.27,-0.25,0.19,-0.07,0.06,-0.3,-0.08,-0.21,2019Q1,,,,,,,,,,,,
1301,台塑,35.8,-0.75,-2.05,15.4,133,153,4.8,-23.1,0.17,-24.7,1.76,-19.3,-14.5,1.7,-15.1,-13.8,2019Q1,,,,,,,,,,,,
1304,台聚,10.15,-0.25,-2.4,4.46,16.7,16.8,6.63,17.2,7.38,5.56,3.63,-0.37,-4.38,0.5,-8.7,-7.5,2019Q1,,,,,,,,,,,,
1305,華夏,11.25,-0.4,-3.43,-1.14,2.42,-1.8,-9.73,-0.74,3.78,0.04,1.43,-0.65,-1,0.46,-5.21,-2.68,2019Q1,,,,,,,,,,,,
1308,亞聚,13.2,+0.05,+0.38,3.13,4.66,7.51,9.79,7.51,2.53,3.44,2.12,1.14,-0.54,0.44,-0.55,-0.44,2019Q1,,,,,,,,,,,,
1309,台達化,11.5,-0.2,-1.71,-0.5,2.15,1.25,-0.65,-0.5,-1.13,-0.85,-1.61,-1.05,-1.89,-0.97,-0.68,-0.07,2019Q1,,,,,,,,,,,,
1310,台苯,8.96,-0.04,-0.44,-1.42,0.4,-1.39,-2.5,-1.88,-0.35,-3.84,0.28,-2.19,-0.78,-0.75,-2.01,-1.98,2019Q1,,,,,,,,,,,,
1312,國喬,10.6,+0.1,+0.95,-2.96,1.62,-0.27,-5.24,-3.98,-1.8,-4.28,-0.34,-4.51,-2.25,-3.27,-4.67,-6.54,2019Q1,,,,,,,,,,,,
1313,聯成,8.19,-0.24,-2.85,-4.37,6.36,-14.4,-10.9,-4.8,-1.55,-3.75,4.75,-1.42,-11.3,-5.02,-8.86,-1.61,2019Q1,,,,,,,,,,,,
