代號,代號,代號,1569,1591,1595,1796,1799,1813,2035,2061,2064,2067,2736,2740,2924,3067,3081,3085,3115,3122,3176,3191,3205,3207,3224,3228,3234,3252,3259,3272,3276,3288,3297,3322,3323,3325,3349,3354,3360,3363,3372,3373,3466,3489,3498,3508,3511,3521,3522,3523,3540,3541,3555,3609,3623,3625,3629,3630,3631,3632,3666,3672,3685,3691,3707,3710,3713,4120,4121,4123,4128,4131,4139,4147,4154,4157,4168,4171,4174,4188,4192,4198,4304,4402,4406,4419,4430,4503,4513,4523,4529,4530,4577,4609,4726,4743,4804,4806,4923,4946,4950,4971,4991,5011,5205,5210,5211,5223,5227,5228,5245,5272,5301,5302,5345,5348,5351,5355,5364,5468,5475,5481,5487,5516,5529,5543,5701,5905,6109,6113,6124,6125,6127,6129,6130,6144,6150,6160,6169,6179,6198,6210,6217,6218,6222,6228,6236,6237,6241,6246,6276,6287,6441,6461,6462,6465,6485,6492,6496,6499,6512,6535,6547,6560,6576,6588,6589,6616,6617,6649,6654,6684,6708,6733,6767,6804,6823,6872,6875,6929,8024,8027,8038,8040,8044,8047,8054,8059,8067,8071,8080,8085,8092,8093,8171,8277,8291,8421,8444,8450,8455,8472,8477,8489,8906,8921,8933,8935,9949
公司名稱,公司名稱,公司名稱,濱川,駿吉-KY,川寶,金穎生技,易威,寶利徠,唐榮,風青,晉椿,嘉鋼,富野,天蔥,宏太-KY,全域,聯亞,新零售,富榮綱,笙泉,基亞,雲嘉南,佰研,耀勝,三顧,金麗科,光環,海灣,鑫創,東碩,宇環,點晶,杭特,建舜電,加百裕,旭品,寶德,律勝,尚立,上詮,典範,熱映,德晉,森寶,陽程,位速,矽瑪,鴻翊,御嵿,迎輝,曜越,西柏,博士旺,三一東林,富晶通,西勝,地心引力,新鉅科,晟楠,研勤,光耀,康聯訊,元創精密,碩禾,漢磊,連展投控,新晶投控,友華,優盛,晟德,中天,浩泰,馬光-KY,中裕,樂威科-KY,太景*-KY,醣聯,瑞基,浩鼎,安克,杏國,欣大健康,勝昱,郡都開發,新昕纖,皇家美食,耀億,金雨,福裕,永彰,淳紳,宏易,達航科技,唐鋒,永昕,合一,大略-KY,桂田文創,力士,辣椒,金耘國際,IET-KY,環宇-KY,久陽,中茂,寶碩,蒙恬,安力-KY,立凱-KY,鈺鎧,智晶,笙科,寶得利,太欣,天揚,正能量智能,鈺創,佳總,力麗店,凱鈺,德宏,新華,通泰,雙喜,鉅陞,桓鼎-KY,劍湖山,南仁湖,亞元,亞矽,業強,廣運,九豪,普誠,上亞科技,得利影,撼訊,欣技,昱泉,亞通,瑞築,慶生,中探針,豪勉,立軒,全譜,中湛,驊訊,易通展,臺龍,安鈦克,元隆,廣錠,益得,神盾,威潤,點序,生華科,科懋,益安,啟發電,順藥,高端疫苗,欣普羅,逸達,東典光電,台康生技,特昇-KY,共信-KY,台生材,天正國際,安格,天擎,博晟生醫,台微醫,明係,濾能,浩宇生醫,國邑*,佑全,佑華,鈦昇,長園科,九暘,網家,星雲,安國,凱碩,志旭,能率網通,泰霖,福華,建暐,保銳,天宇,商丞,尚茂,旭源,綠河-KY,霹靂,大拓-KY,夠麻吉,創業家,三貝德,花王,沈氏,愛地雅,邦泰,琉園
14Q1 營益 (億),2014Q1, 營益 (億),-0.66,0.18,1.02,,-0.17,0.11,2.54,0.02,0.5,0.22,0.64,0.23,0.18,-0.06,1.57,-2.36,0.04,0.06,-1.6,-0.09,-0.12,-0.23,0.1,-0.12,0.49,0.16,-0.21,0.75,0.3,-0.14,0.33,0.19,0.32,-0.05,,0,0.26,0.01,-0.15,0.03,0.29,0.38,0.45,-1.1,-0.47,-0.03,0.24,-0.99,0.23,0.54,-0.81,-0.05,0.66,-0.33,-0.1,0.16,0.18,-0.06,0.37,0.42,-0.15,3.44,0,,,0.84,-0.15,-0.02,-0.96,-0.06,-0.25,-0.71,0.03,-0.5,-0.16,-0.14,-1.25,-0.08,-0.39,-1.07,-0.41,-0.27,-0.1,-0.09,0.35,-0.08,0,0.05,-0.06,-0.17,,-0.21,-0.48,-0.19,0.01,,,-0.35,-1.04,0.21,0.36,0.27,-0.08,-0.02,0.09,,-1.22,,0.22,0.31,0.58,-0.28,-0.04,-0.11,-0.18,0.28,0.02,-0.2,-0.87,-0.32,0.08,0.17,0.62,,-0.77,-0.05,0.09,-0.14,-0.35,0.48,-0.15,0.01,-0.07,-0.04,0.15,0.2,-0.22,0.01,-0.1,0.46,0.08,0.11,-0.08,-0.23,0.13,-0.14,0.12,-1.38,0.13,-1.07,,,-0.39,,0.4,,0.42,,,,,,,,,,,,,,,,,,,,,,0.08,-0.18,-0.26,-0.24,2.2,0.1,0.48,0.33,-0.05,0.17,-0.08,-0.23,0,0.08,-0.15,0.05,-0.23,-0.09,0.6,0.35,0.11,,,,-0.03,0.14,0.31,-0.16,0.05
14Q2 營益 (億),2014Q2, 營益 (億),0.11,0.16,1.44,,-0.18,0.12,4.15,-0.05,0.51,0.3,0.31,0.22,0.35,-0.08,1.8,-0.11,0.07,0.13,-2.03,-0.18,0.04,-0.09,0.05,-0.1,0.9,-0.04,-0.37,1.4,0.26,-0.07,0.02,-0.06,0.37,0.15,,0.08,0.49,0.09,-0.01,0.11,0.14,-0.01,0.31,-1.28,-0.39,0.02,0.15,-1.43,0.27,0.63,-0.72,-0.08,0.7,-0.12,-0.14,-1.16,0.18,-0.28,0.71,0.36,-0.08,3.32,0,,,0.39,-0.19,-0.19,-0.79,-0.07,-0.21,-0.55,-0.01,-1.15,-0.17,-0.08,-2.28,-0.09,-0.61,-1.33,-0.38,-0.22,-0.05,-0.1,0.39,-0.06,0.36,-0.1,-0.23,-0.17,,-0.08,-0.13,-0.19,0.2,0.3,,-0.47,-0.07,0.12,0.23,0.21,-0.09,-0.04,0.11,,-1.72,,0.24,0.35,0.15,-0.21,-0.03,-0.1,0.23,0.27,0.01,-0.12,-0.64,-0.27,0.09,-0.56,-0.33,,-0.96,0.47,0.42,-0.17,0.12,1.25,0.28,-0.07,-0.03,-0.04,-0.48,-0.06,-0.14,0.03,-0.07,0.49,0.5,0.21,-0.1,-0.22,0.1,-0.04,0.04,-1.19,0.07,-1.31,0.25,,-0.61,0.11,0.36,,0.46,-0.32,0.41,-0.25,,,,,,,,,,,,,,,,,,,0.24,0.29,-0.34,-0.3,2.06,0.21,0.1,0.5,-0.07,0,-0.09,-0.24,0.02,-0.13,-0.22,0.1,-0.19,-0.12,0.78,0.44,0.15,0.44,0.05,,-0.05,0.17,-0.01,-0.25,-0.05
14Q3 營益 (億),2014Q3, 營益 (億),0.12,0.13,0.9,,-0.26,-0.03,0.63,-0.02,0.38,0.14,0.54,0.35,0.28,-0.06,1.78,-0.05,0.07,0.09,-1.7,-0.17,0.01,0.02,0.01,-0.12,0.69,0.11,-0.39,1.31,-0.13,-0.05,0.17,0.03,-0.04,-0.02,,0.12,0.4,-0.2,-0.14,0.08,0.09,0.07,0.91,-2.84,-0.2,-0.02,0.23,-1.19,0.05,1.06,-0.74,-0.07,0.71,0.04,-0.15,-1.84,0.15,-0.2,0.62,0.19,0.03,3.85,0,,,0.48,-0.29,0.01,-1.3,-0.09,-0.19,-0.82,-0.02,-1.09,-0.17,-0.04,-1.6,-0.14,-0.71,-1.52,-0.23,-0.29,-0.09,-0.12,0.21,-0.05,0.19,-0.09,-0.42,-0.14,,-0.04,-0.55,-0.29,-0.17,-0.07,,-0.48,-0.11,0.39,0.46,0.01,-0.07,0.01,0.05,,-1.58,,0.26,0.26,0.06,-0.18,0,-0.13,0.39,0.42,0.05,-0.1,-0.4,-0.25,0.08,0.06,-0.13,,-0.57,1.04,0.27,-0.13,0.16,-0.2,0.08,-0.04,-0.01,-0.11,-0.51,-0.04,-0.25,0.03,-0.06,0.62,0.76,0.06,-0.15,-0.22,-0.09,-0.02,0.16,-1.33,-0.01,-0.83,,,-0.7,0.11,0.37,,0.52,,0.35,,,0.14,,,,,,,,,,,,,,,,,0.02,0.79,-0.44,-0.27,2.3,0.07,0.02,0.3,-0.06,0.14,-0.04,-0.73,0.01,-0.26,-0.12,0.11,-0.22,-0.24,0.89,0.35,0.12,0.19,0.09,0.25,0,0.11,0.01,0.02,-0.14
14Q4 營益 (億),2014Q4, 營益 (億),-0.37,0.19,0.41,,-0.22,0.03,-2.76,-0.21,0.2,-0.11,0.37,0.07,0.45,0.13,1.92,-0.01,0.03,0.14,-2.05,-0.38,0.09,-0.12,0,-0.44,1.25,0.1,-0.06,0.92,0.02,0.02,0.3,0.13,0.59,-0.12,,0.03,0.93,-0.32,0.38,0.07,-0.18,0.03,1.81,-1.48,0.03,-0.09,0.02,-0.93,-0.2,0.86,-0.9,-0.15,0.6,-0.06,-0.23,-2.02,-0.09,-0.1,0.06,0.19,0.23,4.59,-1.17,,,0.43,-0.35,-0.49,-0.82,-0.05,-0.26,-0.72,0.21,-1.34,-0.1,-0.17,-1.99,-0.14,-0.85,-1.46,-0.23,-0.39,-0.08,-0.11,0.29,-0.07,0.11,-0.28,-0.41,-0.23,,-0.37,-0.17,-0.51,0.66,0.41,,-0.52,-0.09,0.37,0.72,0.01,-0.02,0.09,0.05,,-1.25,,0.24,0.42,-0.03,-0.22,-0.03,-0.12,0.15,0.47,0,-0.03,-0.5,-0.22,0.1,-0.34,-0.11,,-0.87,-0.19,0.11,-0.08,0.11,-1.03,0.22,-0.08,0.06,0.08,-0.5,0.16,-0.33,0.2,-0.08,0.78,0.6,0.05,-0.11,-0.04,-0.08,-0.02,-0.01,-2.28,0,-0.47,,,-0.97,0.21,0.16,-1.63,0.56,-0.89,0.39,-1.67,,0.32,,,,,,,,,,,,,,,,,0.14,0.2,-0.45,-0.15,2.49,0.05,0.1,0.17,-0.01,0.19,-0.14,-0.22,0,-0.37,-0.41,-1.12,-0.23,-0.73,0.79,-2.25,0.08,0.23,0.27,-0.52,-0.02,0.13,0.55,-0.5,0.05
15Q1 營益 (億),2015Q1, 營益 (億),-1.31,0.19,0.88,,-0.36,0.07,-2.29,-0.19,0.4,-0.11,0.62,0.13,0.12,-0.19,2.2,-0.04,-0.03,0.07,-2.04,-0.68,0.24,-0.33,-0.05,-0.1,1.12,0.13,-0.2,0.55,0.06,-0.14,0.11,-0.26,0.38,-0.09,,-0.01,0.28,-0.07,0.23,0.13,-0.09,-0.04,0.36,-1.59,-0.31,-0.06,-0.12,-0.4,0.02,0.65,-0.55,-0.05,0.63,-0.12,-0.22,-2.25,-0.27,0.18,-0.08,0.37,0.17,5.55,-0.89,,,1.42,-0.39,-0.11,-0.9,-0.04,-0.29,-0.65,0.01,-0.83,-0.2,-0.13,-3.75,-0.2,-0.51,-1.81,-0.16,-0.36,-0.1,-0.1,0.52,0,0.3,-0.18,-0.31,-0.16,,-0.23,-0.43,-0.23,-0.04,0.32,,-0.47,-0.11,0.42,0.39,-0.07,-0.04,-0.07,0.04,,-1.18,,0.25,0.25,0.39,-0.25,0,-0.08,0.15,0.29,0.05,-0.01,-0.94,-0.17,0.07,-0.06,-0.18,-0.05,-0.56,0.18,0.12,-0.14,-0.39,-0.34,0.2,-0.35,0.01,0.03,-0.05,0.03,-0.23,0.14,-0.09,0.86,0.52,0.19,-0.15,-0.08,-0.16,-0.07,-0.12,-0.61,-0.09,-0.68,,,-0.35,0.18,0.16,,0.45,-0.31,0.26,-0.45,,,,,,,,,,,,,,,,,,,-0.04,0.24,-0.28,-0.19,2.87,0.16,0.16,0.46,0,0.09,-0.15,-0.18,0,-0.11,-0.39,-0.74,-0.18,0.13,0.95,0.05,0.22,0.24,0.12,,-0.02,0.06,0.81,0.05,-0.12
15Q2 營益 (億),2015Q2, 營益 (億),-1.43,0.08,0.86,0.1,-0.35,0.1,-2.12,-0.1,0.37,-0.33,0.34,0.23,0.19,-0.07,2.62,-0.02,-0.01,0.15,-1.74,-0.25,0.33,-0.19,-0.04,-0.1,0.72,0.06,-0.58,0.44,0.07,-0.24,-0.02,-0.28,-0.11,0,,-0.09,0.22,0.02,-0.6,0.17,-0.08,-0.03,1.74,-0.73,0.35,0,-0.17,-0.57,0.02,0.39,-0.56,-0.06,0.54,0,-0.24,-2.13,-0.31,0.28,-0.13,0.32,0.22,6.13,-0.74,,,0.21,-0.27,-0.29,-0.91,-0.07,-0.14,-1.19,0.02,-1.1,-0.19,-0.04,-1.84,-0.13,-0.4,-1.31,-0.14,-0.45,0.02,-0.08,0.32,0.03,0.15,0.24,-0.39,-0.05,,-0.35,-0.62,-0.23,0.64,0.08,,-0.4,-0.11,0.65,0.68,0.03,-0.05,0.23,0.04,,-1.28,,0.31,0.16,0.28,-0.13,-0.13,-0.1,0.21,0.22,-0.05,0,-1.17,-0.25,0.1,0,-0.16,0.22,-0.8,0.39,0.19,-0.25,-0.51,-0.79,0.19,-0.43,0,0,-1.09,-0.18,-0.39,0.54,-0.08,0.48,0.46,0.13,-0.16,-0.14,-0.12,-0.1,-0.07,0.03,-0.33,-0.73,0.32,,-0.48,0.15,0.23,-1,0.5,-0.41,0.07,-0.6,,0.23,,,,,,,,,,,,,,,,,0.1,-0.01,-0.36,-0.23,2.48,0.11,-0.14,0.28,-0.03,-0.07,-0.23,-0.44,-0.07,-0.2,-0.37,-0.3,-0.15,0.1,0.86,0.44,0.15,0.25,0.08,0.06,-0.04,0.1,0.42,-0.28,-0.19
15Q3 營益 (億),2015Q3, 營益 (億),-0.63,0.12,0.49,0.24,-0.31,0.13,-4.31,-0.21,0.08,-0.14,0.39,0.13,0.05,-0.1,3.2,0,-0.03,-0.02,-1.74,-0.13,0.83,-0.13,0.04,-0.21,3.38,-0.09,-0.56,0.81,-0.02,-0.18,0.02,-0.27,0.44,-0.09,,0.05,0.41,-0.23,-0.82,0.12,-0.18,0.2,1.94,-0.59,0.24,0.15,-0.12,-0.76,0.07,0.43,-0.68,-0.09,0.63,0,-0.21,-1.83,-0.08,0.26,-0.08,0.26,0.19,8.47,-1.76,,,0.61,-0.28,-0.39,-0.97,-0.05,-0.1,-1.89,-0.01,-1.12,-0.25,-0.04,-2.3,-0.15,-0.74,-1.37,-0.22,-0.43,-0.04,-0.05,0.1,0.01,0.05,-0.14,-0.35,-0.04,,0.25,-0.14,-0.21,0.16,-0.05,,-0.28,-0.05,0.57,0.83,0.06,-0.04,-0.19,0.04,,-0.98,,0.51,0.02,-0.28,-0.11,-0.04,-0.1,-0.94,-0.04,0.04,-0.01,-0.96,-0.29,0.05,-0.02,-0.2,0.09,-1.02,1.13,0.36,-0.12,-0.16,0.08,0.22,-0.18,0.01,-0.04,-0.38,-0.12,-0.29,0.44,-0.09,0.45,0.66,0.32,-0.33,-0.04,-0.13,-0.02,-0.05,-0.36,-0.45,-0.72,0.43,-0.26,0.85,0.2,0.4,-0.42,0.44,-0.47,0.22,-1.1,,0.14,,,,,,,,,,,,,,,,,-0.07,0.02,-0.37,-0.31,2.34,0.09,0.02,0,-0.01,-0.34,-0.18,-0.4,-0.05,0.03,-0.22,-0.11,-0.21,-0.01,0.7,0.41,0.15,0.31,0.09,0.25,-0.01,0.11,0.78,-0.05,-0.24
15Q4 營益 (億),2015Q4, 營益 (億),0.65,0.21,0.15,0.55,-0.49,0.09,-2.24,-0.13,0.15,-0.33,0.34,-0.09,0.15,-0.12,3.68,0.08,-0.05,0.21,-2,-0.04,1.63,-0.04,-0.01,-0.18,3.87,-0.03,-0.4,0.67,-0.45,-0.3,0.14,-0.31,0.22,0.18,,0.05,0.11,-0.5,-0.57,0.22,-0.38,-1.17,2.78,-1.11,-0.39,0.16,-0.4,-1.86,-0.03,0.63,-1.11,-0.52,0.59,0.1,-0.22,-1.58,-0.18,0.09,0.49,0.18,0.01,10,-2.01,,,0.39,-0.33,0.33,-0.64,-0.04,-0.22,-1.18,-0.14,-1.26,-0.23,-0.07,-2.74,-0.16,-0.42,-1.45,-0.25,-0.41,-0.04,-0.19,0.28,-0.02,-0.58,-0.19,-1.3,-0.05,,-0.04,-0.22,-0.31,0.99,0.36,,-0.51,-0.02,0.21,1.13,0.11,-0.07,0,0.06,,-0.44,,0.5,0.18,-0.24,-0.17,-0.23,-0.06,-0.7,-0.12,0.06,-0.06,-1.31,-0.4,0.09,-0.03,-0.2,0.42,-0.75,0.14,0.26,-0.14,0.11,1.75,0.26,-0.06,-0.01,0.15,-1.02,0.59,-0.36,0.36,-0.13,0.51,0.87,0.18,-0.65,-0.13,-0.05,0.08,-0.02,0.13,-0.54,-0.77,0.57,-1.2,-0.64,0.27,0.38,-0.54,0.36,-0.63,0.36,-0.39,-1.83,0.11,-3.33,,,,,,,,,,,,,,,,0.03,-0.21,-0.2,-0.07,2.82,0.1,0.1,0.01,-0.08,0.11,-0.33,-0.36,-0.16,-0.15,-0.47,-0.08,-0.16,-0.05,0.44,0.27,0.07,0.16,0.14,0.42,0.01,0.09,0.85,-0.22,-0.04
