代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),17Q1 營益 (億),17Q2 營益 (億),17Q3 營益 (億),17Q4 營益 (億),18Q1 營益 (億),18Q2 營益 (億),18Q3 營益 (億),18Q4 營益 (億),19Q1 營益 (億),19Q2 營益 (億),19Q3 營益 (億),19Q4 營益 (億),季度,14Q1 營益 (億),14Q2 營益 (億),14Q3 營益 (億),14Q4 營益 (億),15Q1 營益 (億),15Q2 營益 (億),15Q3 營益 (億),15Q4 營益 (億),16Q1 營益 (億),16Q2 營益 (億),16Q3 營益 (億),16Q4 營益 (億)
1101,台泥,29.35,-0.15,-0.51,23.6,2.08,-20.1,6.28,23.3,1.66,33.7,30.6,34.3,12,43.3,62.7,53.3,,,,,,,,,,,,,,,,,,,,,,,,,
1102,亞泥,44.5,+0.45,+1.02,20,24.6,30.3,20,10.7,14.6,26.7,18.6,14.7,10.2,18.1,19.3,32,,,,,,,,,,,,,,,,,,,,,,,,,
1103,嘉泥,14.7,+0.05,+0.34,-0.58,-1,-1.15,-1.09,-0.71,-0.56,-0.44,-0.27,-0.21,-0.2,-0.07,-0.54,-0.71,,,,,,,,,,,,,,,,,,,,,,,,,
1104,環泥,27.15,-0.1,-0.37,2.39,1.72,1.82,1.97,2.9,1.94,2.41,2.3,3.1,2.46,3,2.36,2.75,,,,,,,,,,,,,,,,,,,,,,,,,
1108,幸福,13.8,+0.05,+0.36,1.64,0.86,1.62,1.47,3.16,1.45,1.93,1.69,1.05,1.62,1.72,1.36,1.69,,,,,,,,,,,,,,,,,,,,,,,,,
1109,信大,16.75,-0.1,-0.59,2.13,1.28,2.93,1.81,3.1,1.87,3.1,2,2.92,1.23,2.42,1.03,1.83,,,,,,,,,,,,,,,,,,,,,,,,,
1110,東泥,17.65,+0.05,+0.28,0.3,0.17,-0.41,0.15,-0.23,0.14,0.59,-0.68,0.55,0.69,0.68,1.41,0.58,,,,,,,,,,,,,,,,,,,,,,,,,
1201,味全,16.25,-0.05,-0.31,1.03,1.18,1.45,1.55,-0.84,1.09,1.04,0.49,0.59,1.58,1.35,2.18,0.75,,,,,,,,,,,,,,,,,,,,,,,,,
1203,味王,39,+0.5,+1.3,2.3,2.9,1.63,1.95,1.85,1.69,1.68,2.26,2.92,2.93,2.46,1.92,3.43,,,,,,,,,,,,,,,,,,,,,,,,,
1210,大成,58.4,+0.5,+0.86,12,6.43,7.5,7.48,9.17,10.7,16,18.4,15.1,12.6,14.3,11.2,15.3,,,,,,,,,,,,,,,,,,,,,,,,,
1213,大飲,12.35,+0.05,+0.41,-0.25,-0.25,-0.15,-0.15,-0.12,-0.16,-0.34,-0.57,-0.35,-0.26,-0.19,-0.14,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,
1215,卜蜂,97.2,+0.2,+0.21,6.02,4.39,6.15,4.69,4.81,5.61,7.73,8.13,7.8,5.14,5.06,4.31,8.42,,,,,,,,,,,,,,,,,,,,,,,,,
1216,統一,75.6,-1.2,-1.56,76.2,79.6,71.2,90,49.4,67.8,78.6,94.8,45.2,86.8,91.5,110,50.4,,,,,,,,,,,,,,,,,,,,,,,,,
1217,愛之味,11.35,0,0,0.37,0.65,0.42,1.11,-0.47,0.48,0.33,0.82,-0.35,0.47,0.34,0.67,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,
1218,泰山,19.65,+0.05,+0.26,0.14,0.96,0.23,0.13,-5.25,-1.08,-2.12,1.03,1.54,1.1,1.71,2.4,0.98,,,,,,,,,,,,,,,,,,,,,,,,,
1219,福壽,13.6,0,0,0.65,2.29,1.37,-0.62,0.06,0.82,0.81,1.22,0.72,0.39,0.21,0,0.51,,,,,,,,,,,,,,,,,,,,,,,,,
1220,台榮,13.6,+0.05,+0.37,0.4,0.42,0.26,-0.14,0.08,-0.11,0.43,0.51,0.8,0.67,0.94,0.76,0.16,,,,,,,,,,,,,,,,,,,,,,,,,
1227,佳格,33.5,0,0,3.93,4.02,2.05,5.57,2.79,2.89,1.68,5.56,3.48,4.72,2.85,6.4,5.13,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
1229,聯華,45.1,-0.1,-0.22,3.37,2.08,13.8,-0.52,0.21,1.1,8.62,0.64,1.28,2.25,8.41,0.69,1.97,,,,,,,,,,,,,,,,,,,,,,,,,
1231,聯華食,130.5,+1,+0.77,2.61,2.76,2.45,2.83,3.74,2.51,1.67,2.46,2.46,2.37,1.61,2.9,3.55,,,,,,,,,,,,,,,,,,,,,,,,,
1232,大統益,151.5,+1.5,+1,3.85,5.87,4.54,0.7,3.63,4.31,3.32,3.3,4.29,3.3,5.24,3.35,4.4,,,,,,,,,,,,,,,,,,,,,,,,,
1233,天仁,34,0,0,0.17,0.13,-0.24,0,0.31,0.39,0.26,0.21,0.16,0.35,0.13,0.14,0.21,,,,,,,,,,,,,,,,,,,,,,,,,
1234,黑松,39.35,0,0,1.67,0.21,1.05,3.39,1.3,1.32,1.36,3.32,1.18,1.05,1.87,3.28,0.75,,,,,,,,,,,,,,,,,,,,,,,,,
1256,鮮活果汁-KY,121,+3,+2.54,1.24,0.76,1.13,2.73,0.92,0.67,2.55,2.77,-0.32,0.56,1.26,1.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1303,南亞,30.75,-0.4,-1.28,28.7,135,102,31.8,52.1,10.4,-2.76,3.58,8.63,-9.26,6.4,9.94,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,
1307,三芳,34.4,-0.8,-2.27,2.37,0.29,0.71,0.74,1.2,2.52,1.77,2.62,2.96,3.35,3.37,5.41,3.47,,,,,,,,,,,,,,,,,,,,,,,,,
1314,中石化,6.95,-0.03,-0.43,-7.22,-5.05,-4.43,-13.6,-15.4,-9.34,-7.98,-7.05,-4.77,-2.53,-0.05,-5.77,-10.7,,,,,,,,,,,,,,,,,,,,,,,,,
