代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),17Q1 營益 (億),17Q2 營益 (億),17Q3 營益 (億),17Q4 營益 (億),18Q1 營益 (億),18Q2 營益 (億),18Q3 營益 (億),18Q4 營益 (億),19Q1 營益 (億),19Q2 營益 (億),19Q3 營益 (億),19Q4 營益 (億),季度,14Q1 營益 (億),14Q2 營益 (億),14Q3 營益 (億),14Q4 營益 (億),15Q1 營益 (億),15Q2 營益 (億),15Q3 營益 (億),15Q4 營益 (億),16Q1 營益 (億),16Q2 營益 (億),16Q3 營益 (億),16Q4 營益 (億)
1240,茂生農經,58,+0.3,+0.52,0.25,0.18,0.24,-0.29,0.13,0.15,0.38,0.4,0.32,0.38,0.35,0.42,0.39,,,,,,,,,,,,,,,,,,,,,,,,,
1259,安心,60,-1.2,-1.96,0.16,0.16,0.3,0.52,0.24,0.04,0.19,0.42,0,0.17,-0.03,0.05,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,
1264,德麥,299,+0.5,+0.17,2.58,2.39,2.22,2.34,2.72,2.4,2.5,2.56,2.47,2.67,2.67,3.09,2.88,,,,,,,,,,,,,,,,,,,,,,,,,
1268,漢來美食,138.5,+1.5,+1.09,0.78,0.54,-1.58,0.6,0.74,1.63,0.82,0.85,0.38,2.48,0.82,0.79,1.23,,,,,,,,,,,,,,,,,,,,,,,,,
1294,漢田生技,86.9,-0.4,-0.46,0.45,,0.11,,0.57,0.12,0.52,0.56,0.66,0.45,0.61,0.54,0.37,,,,,,,,,,,,,,,,,,,,,,,,,
1336,台翰,19.7,-0.4,-1.99,0.52,0.39,0.61,0.94,0.52,0.32,0.48,0.44,0.38,0.39,0.53,0.61,0.62,,,,,,,,,,,,,,,,,,,,,,,,,
1565,精華,174.5,+1,+0.58,2.07,2.99,2.62,2.7,2.41,1.98,1.37,0.85,1.86,1.65,1.4,2.58,2.38,,,,,,,,,,,,,,,,,,,,,,,,,
1570,力肯,22.7,+0.1,+0.44,0.19,0.26,0.28,0.24,0.27,0.17,-0.02,-0.08,0.03,0,0.49,0.51,0.16,,,,,,,,,,,,,,,,,,,,,,,,,
1580,新麥,137.5,0,0,2,0.79,1.43,1.57,1.74,1.72,1.83,3.03,2.17,2.02,2.46,2.28,2.98,,,,,,,,,,,,,,,,,,,,,,,,,
1584,精剛,30.75,+0.75,+2.5,0.48,0.27,0.44,0.37,0.31,0.28,0.49,0.49,0.52,0.48,1.07,1.19,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,
1586,和勤,26.7,-0.65,-2.38,-0.05,0.23,0.14,-0.32,-0.26,-0.62,-0.19,-0.02,0.15,0.34,0.06,0.05,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,
1593,祺驊,30.8,+0.4,+1.32,0.21,0.06,-0.06,0.19,0.54,0.16,0.31,0.21,0.2,0.05,0.19,0.35,0.37,,,,,,,,,,,,,,,,,,,,,,,,,
1599,宏佳騰,28.2,0,0,0.14,0.81,0.73,0.85,0.35,-0.58,-0.38,0.79,-0.7,-0.41,0.01,0.97,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,
