代號,名稱,成交,漲跌 價,漲跌 幅,平均 營收 (億),16Q2 營收 (億),16Q3 營收 (億),16Q4 營收 (億),17Q1 營收 (億),17Q2 營收 (億),17Q3 營收 (億),17Q4 營收 (億),18Q1 營收 (億),18Q2 營收 (億),18Q3 營收 (億),18Q4 營收 (億),19Q1 營收 (億),季度,13Q2 營收 (億),13Q3 營收 (億),13Q4 營收 (億),14Q1 營收 (億),14Q2 營收 (億),14Q3 營收 (億),14Q4 營收 (億),15Q1 營收 (億),15Q2 營收 (億),15Q3 營收 (億),15Q4 營收 (億),16Q1 營收 (億)
1569,濱川,58.6,-5.2,-8.15,8.68,6.08,8.48,8.95,7.45,8.69,9.08,10.7,7.85,8.54,9.22,10.1,9.06,2019Q1,,,,,,,,,,,,
1591,駿吉-KY,41.55,+1.55,+3.88,1.56,1.35,1.44,1.42,1.14,1.2,0.82,0.99,1.56,2.02,2.33,2.5,1.9,2019Q1,,,,,,,,,,,,
1595,川寶,33.35,-1.45,-4.17,3.31,2.02,1.84,1.71,2.8,3.28,3.32,4.3,4.27,4.97,4.27,4.05,2.91,2019Q1,,,,,,,,,,,,
1796,金穎生技,47,+0.25,+0.53,0.94,1.23,1.18,1.02,0.84,1.02,0.89,0.75,0.84,0.84,0.83,1.07,0.73,2019Q1,,,,,,,,,,,,
1799,易威,59,-1.1,-1.83,0.99,0.7,1.3,1.05,0.96,1.08,0.98,0.73,0.92,0.84,0.95,1.49,0.84,2019Q1,,,,,,,,,,,,
1813,寶利徠,14.35,-0.25,-1.71,1.03,0.7,0.64,0.88,1.14,0.98,0.97,0.89,1.13,1.02,1.22,1.23,1.53,2019Q1,,,,,,,,,,,,
2035,唐榮,30.4,-1.45,-4.55,39.4,32.4,27,44.6,56.5,43.4,44.5,44.7,42.4,43.6,34.1,28.6,31,2019Q1,,,,,,,,,,,,
2061,風青,18.05,-0.35,-1.9,3,2.09,2.28,2.91,2.73,2.93,3.41,3.61,3.52,3.76,3.29,2.81,2.59,2019Q1,,,,,,,,,,,,
2064,晉椿,13.45,0,0,6.16,5.45,5.03,6.23,5.41,5.53,6.37,7.17,6.88,6.81,7,6.73,5.29,2019Q1,,,,,,,,,,,,
2067,嘉鋼,9.45,-0.65,-6.44,3.09,2.52,2.33,3.04,2.38,3.11,3.35,3.75,3.42,3.75,3.54,3.41,2.42,2019Q1,,,,,,,,,,,,
