代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),16Q2 毛利 (億),16Q3 毛利 (億),16Q4 毛利 (億),17Q1 毛利 (億),17Q2 毛利 (億),17Q3 毛利 (億),17Q4 毛利 (億),18Q1 毛利 (億),18Q2 毛利 (億),18Q3 毛利 (億),18Q4 毛利 (億),19Q1 毛利 (億),季度,13Q2 毛利 (億),13Q3 毛利 (億),13Q4 毛利 (億),14Q1 毛利 (億),14Q2 毛利 (億),14Q3 毛利 (億),14Q4 毛利 (億),15Q1 毛利 (億),15Q2 毛利 (億),15Q3 毛利 (億),15Q4 毛利 (億),16Q1 毛利 (億)
1569,濱川,58.6,-5.2,-8.15,1.75,0.99,1.56,1.92,1.65,1.99,1.84,2.63,1.42,1.51,1.63,2.24,1.6,2019Q1,,,,,,,,,,,,
1591,駿吉-KY,41.55,+1.55,+3.88,0.28,0.37,0.29,0.43,0.15,0.16,0.16,0.23,0.12,0.33,0.42,0.43,0.25,2019Q1,,,,,,,,,,,,
1595,川寶,33.35,-1.45,-4.17,1.07,0.74,0.85,0.74,1.05,1.09,1,1.18,1.19,1.4,1.49,1.26,0.84,2019Q1,,,,,,,,,,,,
1796,金穎生技,47,+0.25,+0.53,0.38,0.66,0.56,0.44,0.33,0.48,0.38,0.29,0.27,0.26,0.27,0.37,0.2,2019Q1,,,,,,,,,,,,
1799,易威,59,-1.1,-1.83,0.09,0.1,0.18,-0.21,0.1,0.08,0.07,0.11,0.09,0.08,0.22,0.11,0.14,2019Q1,,,,,,,,,,,,
1813,寶利徠,14.35,-0.25,-1.71,0.19,0.24,0.21,0.04,0.27,0.21,0.2,0.14,0.16,0.19,0.15,0.16,0.32,2019Q1,,,,,,,,,,,,
2035,唐榮,30.4,-1.45,-4.55,0.21,3.71,1.91,2.74,4.23,-0.18,0.78,0.57,-0.73,0.05,-4.53,-5.39,-0.6,2019Q1,,,,,,,,,,,,
2061,風青,18.05,-0.35,-1.9,0.15,0.08,0.07,0.24,0.19,0.09,0.26,0.2,0.15,0.22,0.06,0.12,0.12,2019Q1,,,,,,,,,,,,
2064,晉椿,13.45,0,0,0.54,0.65,0.49,0.87,0.62,0.52,0.51,0.62,0.65,0.47,0.48,0.52,0.12,2019Q1,,,,,,,,,,,,
2067,嘉鋼,9.45,-0.65,-6.44,0.52,0.47,0.35,0.51,0.19,0.44,0.62,0.68,0.54,0.71,0.75,0.72,0.29,2019Q1,,,,,,,,,,,,
2736,富野,16,+0.2,+1.27,0.81,0.85,0.69,0.75,1.17,0.62,0.79,0.83,0.81,0.64,0.68,0.84,1.08,2019Q1,,,,,,,,,,,,
2740,天蔥,26.9,+0.9,+3.46,0.56,0.91,0.85,0.66,0.66,0.68,0.73,0.61,0.52,0.43,0.36,0.18,0.15,2019Q1,,,,,,,,,,,,
2924,宏太-KY,30.05,0,0,1.3,1.72,1.59,1.91,1.42,1.29,1.25,1.42,1.11,1.04,0.95,1.13,0.83,2019Q1,,,,,,,,,,,,
3067,全域,19.35,-2.15,-10,0.14,0.11,0.18,0.28,0.15,0.2,0.14,0.19,0.1,0.1,0.16,0.09,-0.03,2019Q1,,,,,,,,,,,,
3081,聯亞,243,-18,-6.9,2.84,4.08,2.82,1.43,1.8,2.44,3.21,3.59,3.16,2.57,3.29,3.73,1.98,2019Q1,,,,,,,,,,,,
3085,新零售,18.9,+0.35,+1.89,0.6,0.16,0.14,0.36,0.43,0.84,1.07,0.53,1.85,0.87,0.7,-0.07,0.36,2019Q1,,,,,,,,,,,,
3115,富榮綱,12.95,-0.4,-3,0.13,0.15,0.17,0.32,0.24,0.11,0.23,0.19,0.12,0.06,-0.07,0.02,0.03,2019Q1,,,,,,,,,,,,
3122,笙泉,22.5,-0.8,-3.43,0.36,0.52,0.4,0.55,0.38,0.35,0.3,0.37,0.32,0.39,0.25,0.29,0.22,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),16Q2 毛利 (億),16Q3 毛利 (億),16Q4 毛利 (億),17Q1 毛利 (億),17Q2 毛利 (億),17Q3 毛利 (億),17Q4 毛利 (億),18Q1 毛利 (億),18Q2 毛利 (億),18Q3 毛利 (億),18Q4 毛利 (億),19Q1 毛利 (億),2019Q1,,,,,,,,,,,,
3176,基亞,30.2,+0.9,+3.07,0.31,0.31,0.29,0.17,0.28,0.39,0.36,0.35,0.33,0.39,0.26,0.21,0.37,2019Q1,,,,,,,,,,,,
3191,雲嘉南,15,-0.95,-5.96,0.12,0.05,0.12,0.13,0.08,0.09,0.12,0.11,0.07,0.06,0.21,0.2,0.21,2019Q1,,,,,,,,,,,,
3205,佰研,23.6,-0.25,-1.05,0.44,1.98,0.84,0.48,0.57,0.46,0.14,0.02,0.16,0.2,0.15,0.11,0.16,2019Q1,,,,,,,,,,,,
3207,耀勝,84.4,+1.9,+2.3,0.21,0.46,0.5,0.21,0.21,0.2,0.19,0.02,0.04,0.1,0.24,0.16,0.21,2019Q1,,,,,,,,,,,,
3224,三顧,39.15,+0.25,+0.64,0.37,0.28,0.42,0.35,0.34,0.48,0.36,0.44,0.43,0.39,0.37,0.31,0.32,2019Q1,,,,,,,,,,,,
3228,金麗科,152,-3.5,-2.25,0.51,0.42,0.5,0.41,0.38,0.39,0.41,0.42,0.83,0.76,0.73,0.5,0.42,2019Q1,,,,,,,,,,,,
3234,光環,33.6,-2.1,-5.88,0.5,2.2,1.17,0.76,-0.06,0.13,-0.81,-0.28,0.37,0.71,0.82,0.65,0.28,2019Q1,,,,,,,,,,,,
3252,海灣,19.65,0,0,0.58,0.22,0.64,0.24,0.22,0.7,0.46,0.48,0.46,0.42,0.81,1.74,0.56,2019Q1,,,,,,,,,,,,
3259,鑫創,20.5,-0.8,-3.76,0.53,0.42,0.52,0.66,0.46,0.28,0.45,0.83,0.37,0.69,0.71,0.78,0.24,2019Q1,,,,,,,,,,,,
3272,東碩,21.5,-0.55,-2.49,1.8,1.7,1.79,1.91,1.39,2.24,2.26,1.77,1.24,1.56,2.02,1.98,1.72,2019Q1,,,,,,,,,,,,
3276,宇環,11.4,-0.2,-1.72,0.22,0.16,0.18,0.38,0.39,0.6,0.47,0.37,0.45,0.22,-0.21,-0.1,-0.25,2019Q1,,,,,,,,,,,,
3288,點晶,19.2,-0.2,-1.03,0.15,-0.16,0.15,0.11,0.2,0.16,0.19,0.27,0.13,0.22,0.21,0.15,0.13,2019Q1,,,,,,,,,,,,
3297,杭特,32.2,-1.8,-5.29,0.17,0.43,0.23,0.18,0.13,0.15,0.12,0.13,0.14,0.2,0.12,0.1,0.07,2019Q1,,,,,,,,,,,,
3322,建舜電,12.6,-0.35,-2.7,0.98,0.76,1.09,1.23,0.93,0.97,0.78,0.97,0.5,0.91,1.29,1.47,0.84,2019Q1,,,,,,,,,,,,
3323,加百裕,27.95,-0.7,-2.44,1.77,1.12,1.42,1.54,1.31,1.94,2.22,1.99,1.42,2.83,2.7,1.98,0.72,2019Q1,,,,,,,,,,,,
3325,旭品,14.5,-0.45,-3.01,0.46,0.38,0.7,0.77,0.41,0.11,0.38,0.36,0.23,0.22,0.71,0.63,0.67,2019Q1,,,,,,,,,,,,
3349,寶德,18.25,0,0,,,,,,,,,,,,,,2019Q1,,,,,,,,,,,,
3354,律勝,16.55,+0.15,+0.91,0.38,0.09,0.31,0.34,0.14,0.3,0.65,0.69,0.43,0.37,0.63,0.35,0.22,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),16Q2 毛利 (億),16Q3 毛利 (億),16Q4 毛利 (億),17Q1 毛利 (億),17Q2 毛利 (億),17Q3 毛利 (億),17Q4 毛利 (億),18Q1 毛利 (億),18Q2 毛利 (億),18Q3 毛利 (億),18Q4 毛利 (億),19Q1 毛利 (億),2019Q1,,,,,,,,,,,,
3360,尚立,12.65,-0.2,-1.56,0.86,0.78,1.11,1.29,0.89,0.78,0.48,0.3,0.52,1.05,0.98,1.21,0.95,2019Q1,,,,,,,,,,,,
3363,上詮,170,-10,-5.56,0.86,0.63,0.76,0.88,0.75,0.96,1.07,0.54,0.67,0.51,0.81,1.65,1.07,2019Q1,,,,,,,,,,,,
3372,典範,12,-0.2,-1.64,-0.37,-0.31,-0.4,-0.33,-0.92,-0.83,-0.74,-0.12,-0.08,-0.19,-0.21,-0.2,-0.15,2019Q1,,,,,,,,,,,,
3373,熱映,20.1,+0.35,+1.77,0.44,0.64,0.52,0.21,0.59,0.49,0.41,0.4,0.45,0.4,0.46,0.38,0.35,2019Q1,,,,,,,,,,,,
3466,德晉,38.4,+3.45,+9.87,0.83,0.75,1.12,0.78,1.14,0.66,0.4,0.44,0.21,0.72,1.31,1.11,1.27,2019Q1,,,,,,,,,,,,
3489,森寶,22.5,-0.65,-2.81,0.39,0.29,1.25,0.83,0.31,0.21,0.18,0.11,0.27,0.41,0.36,0.22,0.21,2019Q1,,,,,,,,,,,,
3498,陽程,34.7,-1.8,-4.93,1.26,1.25,0.58,1.49,1.71,1.64,1.29,1.8,1.22,0.94,1.47,0.86,0.89,2019Q1,,,,,,,,,,,,
3508,位速,21,-0.7,-3.23,0.28,-1.1,-0.47,-0.37,-0.09,-0.05,0.81,2.76,1.45,0.03,0.19,0.06,0.18,2019Q1,,,,,,,,,,,,
3511,矽瑪,21.45,-0.95,-4.24,0.68,0.48,0.4,0.65,0.52,0.49,0.67,0.51,0.44,0.6,1.12,1.19,1.04,2019Q1,,,,,,,,,,,,
3521,鴻翊,12,+0.05,+0.42,0.17,0.25,0.17,0.24,0.1,0.13,0.08,0.17,0.14,0.19,0.2,0.23,0.21,2019Q1,,,,,,,,,,,,
3522,御嵿,16.7,+0.2,+1.21,1.29,0.26,0.34,0.67,0.82,0.51,1.06,2.82,2.12,1.59,0.93,2.35,2.01,2019Q1,,,,,,,,,,,,
3523,迎輝,19.95,-0.5,-2.44,-0.19,-0.39,-0.31,-0.32,-0.05,-0.03,-0.22,-0.2,-0.22,-0.13,-0.18,-0.18,-0.09,2019Q1,,,,,,,,,,,,
3540,曜越,26.7,-0.35,-1.29,3,2.3,2.72,2.77,3.11,2.66,3.22,2.98,3.6,3.1,3.18,3.04,3.39,2019Q1,,,,,,,,,,,,
3541,西柏,26.75,-0.55,-2.01,2.14,1.93,2.21,2.13,2.29,2.34,2.64,2.17,1.45,1.6,1.82,2.65,2.42,2019Q1,,,,,,,,,,,,
3555,博士旺,26.5,+2.3,+9.5,0.04,0.1,0.01,0.18,0.1,0.06,0.03,0.04,0.01,0,0.03,-0.01,-0.08,2019Q1,,,,,,,,,,,,
3609,三一東林,44,-1.15,-2.55,0.55,0.7,0.57,0.49,0.61,0.67,0.62,0.52,0.52,0.56,0.49,0.43,0.46,2019Q1,,,,,,,,,,,,
