代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,折溢 價％,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖,平均 毛利 (億),17Q1 毛利 (億),17Q2 毛利 (億),17Q3 毛利 (億),17Q4 毛利 (億),18Q1 毛利 (億),18Q2 毛利 (億),18Q3 毛利 (億),18Q4 毛利 (億),19Q1 毛利 (億),19Q2 毛利 (億),19Q3 毛利 (億),19Q4 毛利 (億),季度,14Q1 毛利 (億),14Q2 毛利 (億),14Q3 毛利 (億),14Q4 毛利 (億),15Q1 毛利 (億),15Q2 毛利 (億),15Q3 毛利 (億),15Q4 毛利 (億),16Q1 毛利 (億),16Q2 毛利 (億),16Q3 毛利 (億),16Q4 毛利 (億)
1101,台泥,市,04/17,,29.35,-0.15,-0.51,13682,402,29.5,29.5,29.65,29.3,1.19,20.2,0.91,-8.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,亞泥,市,04/17,,44.5,+0.45,+1.02,5290,236,44.05,44.5,45.1,44.15,2.16,11.5,0.87,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,嘉泥,市,04/17,,14.7,+0.05,+0.34,168,2.46,14.65,14.65,14.75,14.55,1.37,30.6,0.46,-53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,環泥,市,04/17,,27.15,-0.1,-0.37,249,6.75,27.25,27.1,27.35,26.95,1.47,12.6,0.79,-21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,幸福,市,04/17,,13.8,+0.05,+0.36,72,0.98,13.75,13.65,13.8,13.65,1.09,11.3,1.08,+7.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,信大,市,04/17,,16.75,-0.1,-0.59,69,1.15,16.85,16.9,16.9,16.65,1.48,12.1,0.69,-31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,東泥,市,04/17,,17.65,+0.05,+0.28,162,2.88,17.6,17.65,17.9,17.6,1.7,28.9,1.07,+6.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,味全,市,04/17,,16.25,-0.05,-0.31,215,3.49,16.3,16.3,16.3,16.15,0.92,18.7,1.06,+6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,味王,市,04/17,,39,+0.5,+1.3,45,1.74,38.5,38.5,39,38.5,1.3,16.5,1.5,+50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,大成,市,04/17,,58.4,+0.5,+0.86,2971,174,57.9,58,58.7,57.6,1.9,13.9,1.93,+92.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,大飲,市,04/17,,12.35,+0.05,+0.41,5,0.06,12.3,12.7,12.8,12.35,3.66,1.42,0.97,-2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
