代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),22Q1 毛利 (億),22Q2 毛利 (億),22Q3 毛利 (億),22Q4 毛利 (億),23Q1 毛利 (億),23Q2 毛利 (億),23Q3 毛利 (億),23Q4 毛利 (億),24Q1 毛利 (億),24Q2 毛利 (億),24Q3 毛利 (億),24Q4 毛利 (億),季度,16Q2 毛利 (億),16Q3 毛利 (億),16Q4 毛利 (億),17Q1 毛利 (億),17Q2 毛利 (億),17Q3 毛利 (億),17Q4 毛利 (億),18Q1 毛利 (億),18Q2 毛利 (億),18Q3 毛利 (億),18Q4 毛利 (億),19Q1 毛利 (億)
1240,茂生農經,57.7,-1.5,-2.53,0.85,0.81,0.89,0.36,0.72,0.65,0.87,0.91,1.03,1,0.94,1.04,1,2019Q1,,,,,,,,,,,,
1259,安心,61.2,0,0,3.54,3.3,3.62,4.02,3.6,3.18,3.78,4.05,3.34,3.41,3.51,3.51,3.19,2019Q1,,,,,,,,,,,,
1264,德麥,298.5,-1.5,-0.5,4.99,4.45,4.29,4.51,5.19,4.54,4.71,5.01,5.1,5.05,5.11,5.72,6.15,2019Q1,,,,,,,,,,,,
1268,漢來美食,137,+1,+0.74,5.36,4.48,1.59,4.3,4.9,6,4.96,5.28,5.73,8.04,5.9,6.23,6.96,2019Q1,,,,,,,,,,,,
1294,漢田生技,87.3,+0.3,+0.34,0.76,,0.42,,1.27,0.32,0.75,0.83,0.91,0.72,0.91,0.83,0.61,2019Q1,,,,,,,,,,,,
1336,台翰,20.1,-0.15,-0.74,1.09,0.83,1.09,1.56,1.21,0.86,1.03,1.09,0.92,0.97,1.24,1.14,1.13,2019Q1,,,,,,,,,,,,
1565,精華,173.5,-4.5,-2.53,3.05,3.95,3.61,3.75,3.44,2.94,2.23,1.78,2.8,2.64,2.39,3.66,3.45,2019Q1,,,,,,,,,,,,
1570,力肯,22.6,-0.6,-2.59,0.39,0.44,0.46,0.42,0.47,0.35,0.18,0.15,0.23,0.21,0.72,0.73,0.36,2019Q1,,,,,,,,,,,,
1580,新麥,137.5,0,0,4.55,2.81,3.59,4.06,4.2,3.79,4.44,5.75,5.08,4.14,5.51,5.25,5.92,2019Q1,,,,,,,,,,,,
1584,精剛,30,+1.1,+3.81,0.94,0.5,0.7,0.69,0.62,0.61,0.91,0.96,1.09,0.9,1.6,1.75,0.97,2019Q1,,,,,,,,,,,,
1586,和勤,27.35,0,0,0.82,1.19,1.08,0.52,0.5,0.08,0.57,0.74,1.17,1.19,0.92,0.98,0.93,2019Q1,,,,,,,,,,,,
1593,祺驊,30.4,-0.15,-0.49,0.78,0.41,0.28,0.69,1.15,0.71,0.91,0.85,0.85,0.73,0.83,0.99,1.02,2019Q1,,,,,,,,,,,,
1599,宏佳騰,28.2,+0.05,+0.18,1.41,2.02,1.87,2.06,1.69,0.5,0.65,2.15,0.86,0.89,1.14,2.3,0.83,2019Q1,,,,,,,,,,,,
1742,台蠟,16.7,-0.3,-1.76,0.23,0.14,0.36,0.3,0.21,0.51,0.21,0.16,0.29,0.08,0.29,0.09,0.11,2019Q1,,,,,,,,,,,,
1777,生泰,88.1,-0.5,-0.56,1.05,0.47,1.05,1.17,0.99,1.11,0.9,1.13,0.96,1.05,1.44,1.08,1.3,2019Q1,,,,,,,,,,,,
1781,合世,12.9,-0.35,-2.64,0.28,0.1,0.25,0.29,0.34,0.17,0.14,0.49,0.13,0.35,0.16,0.55,0.43,2019Q1,,,,,,,,,,,,
1784,訊聯,71,+0.4,+0.57,1.56,1.24,1.25,1.45,1.48,1.46,1.76,1.63,1.53,1.62,1.62,1.71,1.91,2019Q1,,,,,,,,,,,,
1785,光洋科,50.4,-1.9,-3.63,8.34,10.1,9.45,8.48,6.75,5.59,6.62,7.25,7.77,7.14,11.3,10.6,9.08,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),22Q1 毛利 (億),22Q2 毛利 (億),22Q3 毛利 (億),22Q4 毛利 (億),23Q1 毛利 (億),23Q2 毛利 (億),23Q3 毛利 (億),23Q4 毛利 (億),24Q1 毛利 (億),24Q2 毛利 (億),24Q3 毛利 (億),24Q4 毛利 (億),2019Q1,,,,,,,,,,,,
1788,杏昌,141.5,0,0,2.61,2.67,3.22,2.26,2.3,2.47,2.57,2.53,2.59,2.58,2.96,2.7,2.47,2019Q1,,,,,,,,,,,,
1815,富喬,27.95,-0.05,-0.18,1.2,2.04,2.88,2.39,1.06,0.86,-0.22,-0.19,-0.58,-0.02,1.17,1.98,3.01,2019Q1,,,,,,,,,,,,
2063,世鎧,32.45,0,0,0.92,0.76,1.28,1.09,0.86,0.9,1.38,1.25,1.01,0.78,0.65,0.53,0.51,2019Q1,,,,,,,,,,,,
2065,世豐,40.8,-0.25,-0.61,1.27,1.33,1.42,1.55,1.62,1.48,0.95,1.13,1.39,1.09,1.24,1.15,0.87,2019Q1,,,,,,,,,,,,
2066,世德,76,-0.6,-0.78,2.26,1.9,2.14,2.13,2.49,2.38,2.25,2.24,2.44,2.54,2.46,2.31,1.8,2019Q1,,,,,,,,,,,,
2070,精湛,49.45,-1.65,-3.23,0.81,0.5,0.57,0.75,0.9,0.63,0.64,0.8,1.14,0.77,1.02,1,0.95,2019Q1,,,,,,,,,,,,
2073,雄順,28,-1,-3.45,0.27,0.34,0.44,0.34,0.27,0.27,0.16,0.12,0.28,0.28,0.26,0.16,0.26,2019Q1,,,,,,,,,,,,
2221,大甲,25.9,-0.65,-2.45,0.86,1.12,1.32,1.63,0.99,0.67,0.5,0.85,0.7,0.32,0.63,0.82,0.82,2019Q1,,,,,,,,,,,,
