股票代碼,年月,平均價,殖利率,本益比,股價淨值比
1101,201701,,,,
1101,201702,,,,
1101,201703,,,,
1101,201704,,,,
1101,201705,,,,
1101,201706,,,,
1101,201707,,,,
1101,201708,,,,
1101,201709,,,,
1101,201710,,,,
1101,201711,,,,
1101,201712,,,,
1101,201801,,,,
1101,201802,,,,
1101,201803,,,,
1101,201804,,,,
1101,201805,,,,
1101,201806,,,,
1101,201807,,,,
1101,201808,,,,
1101,201809,,,,
1101,201810,,,,
1101,201811,,,,
1101,201812,,,,
1101,201901,,,,
1101,201902,,,,
1101,201903,,,,
1101,201904,,,,
1101,201905,,,,
1101,201906,,,,
1101,201907,,,,
1101,201908,,,,
1101,201909,,,,
1101,201910,,,,
1101,201911,,,,
1101,201912,,,,
1101,202001,,,,
1101,202002,,,,
1101,202003,,,,
1101,202004,,,,
1101,202005,,,,
1101,202006,,,,
1101,202007,,,,
1101,202008,,,,
1101,202009,,,,
1101,202010,,,,
1101,202011,,,,
1101,202012,,,,
1101,202101,,,,
1101,202102,,,,
1101,202103,,,,
1101,202104,,,,
1101,202105,,,,
1101,202106,,,,
1101,202107,,,,
1101,202108,,,,
1101,202109,,,,
1101,202110,,,,
1101,202111,,,,
1101,202112,,,,
1101,202201,,,,
1101,202202,,,,
1101,202203,,,,
1101,202204,,,,
1101,202205,,,,
1101,202206,,,,
1101,202207,,,,
1101,202208,,,,
1101,202209,,,,
1101,202210,,,,
1101,202211,,,,
1101,202212,,,,
1101,202301,,,,
1101,202302,,,,
1101,202303,,,,
1101,202304,,,,
1101,202305,,,,
1101,202306,,,,
1101,202307,,,,
1101,202308,,,,
1101,202309,,,,
1101,202310,,,,
1101,202311,,,,
1101,202312,,,,
1101,202401,,,,
1101,202402,,,,
1101,202403,,,,
1101,202404,,,,
1101,202405,,,,
1101,202406,,,,
1101,202407,,,,
1101,202408,,,,
1101,202409,,,,
1101,202410,,,,
1101,202411,,,,
1101,202412,,,,
1101,202501,,,,
1101,202502,,,,
1101,202503,,,,
1101,202504,,,,
1101,202505,,20.55,3.33,0.93
1102,201701,,,,
1102,201702,,,,
1102,201703,,,,
1102,201704,,,,
1102,201705,,,,
1102,201706,,,,
1102,201707,,,,
1102,201708,,,,
1102,201709,,,,
1102,201710,,,,
1102,201711,,,,
1102,201712,,,,
1102,201801,,,,
1102,201802,,,,
1102,201803,,,,
1102,201804,,,,
1102,201805,,,,
1102,201806,,,,
1102,201807,,,,
1102,201808,,,,
1102,201809,,,,
1102,201810,,,,
1102,201811,,,,
1102,201812,,,,
1102,201901,,,,
