公司代號,公司名稱,營業收入,營業毛利（毛損）,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,基本每股盈餘（元）,毛利率,營益率,業外稅前率,年季
1259,安心,1112922.0,294003.0,30526,4473,34999,1.02,0.2642,0.0274,0.1278,2016Q1
1264,德麥,941946.0,354016.0,159257,-320,158937,3.39,0.3758,0.1691,-0.002,2016Q1
1336,台翰,446486.0,30084.0,-29810,-2652,-32462,-0.44,0.0674,-0.0668,0.0817,2016Q1
1565,精華,1512982.0,633714.0,520377,-28002,492375,8.11,0.4189,0.3439,-0.0569,2016Q1
1569,濱川,495092.0,55566.0,-10794,-12419,-23213,-0.21,0.1122,-0.0218,0.535,2016Q1
1570,力肯,182301.0,42430.0,24412,-976,23436,0.28,0.2327,0.1339,-0.0416,2016Q1
1580,新麥,842560.0,342502.0,103833,-5740,98093,1.13,0.4065,0.1232,-0.0585,2016Q1
1584,精剛,166936.0,15191.0,116,-10522,-10406,-0.08,0.091,0.0007,1.0111,2016Q1
1586,和勤,443538.0,60479.0,1299,-1929,-630,0.0,0.1364,0.0029,3.0619,2016Q1
1591,駿吉-KY,116320.0,35013.0,18230,-7212,11018,0.25,0.301,0.1567,-0.6546,2016Q1
1593,祺驊,179979.0,48589.0,15439,3059,18498,0.53,0.27,0.0858,0.1654,2016Q1
1595,川寶,203701.0,79407.0,26959,-7991,18968,0.36,0.3898,0.1323,-0.4213,2016Q1
1599,宏佳騰,562164.0,147970.0,61658,2850,64508,1.19,0.2632,0.1097,0.0442,2016Q1
1742,台蠟,164003.0,7087.0,-14412,-2038,-16450,-0.25,0.0432,-0.0879,0.1239,2016Q1
1777,生泰,210614.0,84771.0,60826,-2581,58245,1.62,0.4025,0.2888,-0.0443,2016Q1
1781,合世,86794.0,548.0,-34310,-260,-34570,-0.62,0.0063,-0.3953,0.0075,2016Q1
1784,訊聯,157736.0,85188.0,-23,2542,2519,0.04,0.5401,-0.0001,1.0091,2016Q1
1785,光洋科,9718565.0,-613778.0,-945472,-122934,-1068406,-2.24,-0.0632,-0.0973,0.1151,2016Q1
1788,杏昌,685098.0,151217.0,60234,1089,61323,1.45,0.2207,0.0879,0.0178,2016Q1
1799,易威,22958.0,10135.0,-41455,1606,-39849,-0.58,0.4415,-1.8057,-0.0403,2016Q1
1813,寶利徠,96873.0,30508.0,12751,7441,20192,0.41,0.3149,0.1316,0.3685,2016Q1
1815,富喬,1188537.0,296263.0,158776,-34100,124676,0.27,0.2493,0.1336,-0.2735,2016Q1
2035,唐榮公司,2614859.0,-73853.0,-145606,84270,-61336,-0.21,-0.0282,-0.0557,-1.3739,2016Q1
2061,風青,210047.0,7972.0,-3768,2312,-1456,0.0,0.038,-0.0179,-1.5879,2016Q1
2063,世鎧,178628.0,53218.0,22640,-3764,18876,0.36,0.2979,0.1267,-0.1994,2016Q1
2064,晉椿,466692.0,37778.0,15913,-25673,-9760,-0.14,0.0809,0.0341,2.6304,2016Q1
2066,世德,300333.0,106875.0,69564,-4585,64979,1.48,0.3559,0.2316,-0.0706,2016Q1
2067,嘉鋼,217430.0,40691.0,-5657,532,-5125,-0.21,0.1871,-0.026,-0.1038,2016Q1
2221,大甲,182581.0,35389.0,13709,90,13799,0.24,0.1938,0.0751,0.0065,2016Q1
2230,泰茂,99355.0,20248.0,4320,-2806,1514,0.01,0.2038,0.0435,-1.8534,2016Q1
2235,謚源,210760.0,67695.0,49198,942,50140,1.31,0.3212,0.2334,0.0188,2016Q1
2596,綠意,15887.0,3742.0,-9416,5293,-4123,-0.05,0.2355,-0.5927,-1.2838,2016Q1
2640,大車隊,424281.0,197262.0,67981,-8056,59925,1.01,0.4649,0.1602,-0.1344,2016Q1
2641,正德,176422.0,15781.0,-34,-13193,-13227,-0.11,0.0895,-0.0002,0.9974,2016Q1
2643,捷迅,667731.0,106833.0,52522,1733,54255,1.6,0.16,0.0787,0.0319,2016Q1
2718,全心投控,72297.0,21168.0,10814,761,11575,0.43,0.2928,0.1496,0.0657,2016Q1
2719,燦星旅,657135.0,90588.0,-5660,2027,-3633,-0.11,0.1379,-0.0086,-0.5579,2016Q1
2724,藝舍-KY,198501.0,3425.0,-46958,-15263,-62221,-1.62,0.0173,-0.2366,0.2453,2016Q1
2726,雅茗-KY,407973.0,196627.0,23871,-1817,22054,0.57,0.482,0.0585,-0.0824,2016Q1
2729,瓦城,997396.0,513112.0,105563,669,106232,3.72,0.5145,0.1058,0.0063,2016Q1
2732,六角,469735.0,257148.0,30901,-7251,23650,0.73,0.5474,0.0658,-0.3066,2016Q1
2734,易飛網,432053.0,60918.0,-705,-3449,-4154,-0.16,0.141,-0.0016,0.8303,2016Q1
2736,富野,238736.0,150195.0,72122,-249,71873,1.22,0.6291,0.3021,-0.0035,2016Q1
2740,天蔥,218773.0,98996.0,-9448,-121,-9569,-0.5,0.4525,-0.0432,0.0126,2016Q1
2916,滿心,363196.0,158290.0,15937,6723,22660,0.34,0.4358,0.0439,0.2967,2016Q1
2924,宏太-KY,280016.0,186201.0,7969,-4944,3025,0.0,0.665,0.0285,-1.6344,2016Q1
2926,誠品生活,1082504.0,543934.0,137231,21881,159112,2.92,0.5025,0.1268,0.1375,2016Q1
3064,泰偉,139946.0,133559.0,72007,14311,86318,1.17,0.9544,0.5145,0.1658,2016Q1
3066,李洲,114610.0,20172.0,-21770,4241,-17529,-0.24,0.176,-0.1899,-0.2419,2016Q1
3067,全域,39921.0,8141.0,-18903,-257,-19160,-0.65,0.2039,-0.4735,0.0134,2016Q1
3071,協禧,551204.0,112333.0,2699,2667,5366,0.02,0.2038,0.0049,0.497,2016Q1
3073,天方能源,5308.0,4235.0,-3491,182,-3309,-0.07,0.7979,-0.6577,-0.055,2016Q1
3078,僑威,1322397.0,332168.0,194252,-8427,185825,0.57,0.2512,0.1469,-0.0453,2016Q1
3081,聯亞,625227.0,425239.0,371505,3256,374761,4.45,0.6801,0.5942,0.0087,2016Q1
3083,網龍,87392.0,75345.0,-52006,8465,-43541,-0.49,0.8621,-0.5951,-0.1944,2016Q1
3085,新零售,62450.0,11369.0,-2922,659,-2263,-0.03,0.182,-0.0468,-0.2912,2016Q1
