公司代號,公司名稱,營業收入,營業毛利（毛損）,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,基本每股盈餘（元）,毛利率,營益率,業外稅前率,年季
1101,台泥,17724112.0,1585609.0,483889,-206042,277847,0.06,0.0895,0.0273,-0.7416,2016Q1
1102,亞泥,13038960.0,998231.0,406252,-123702,282550,0.06,0.0766,0.0312,-0.4378,2016Q1
1103,嘉泥,541218.0,-3330.0,-91274,-100254,-191528,-0.29,-0.0062,-0.1686,0.5234,2016Q1
1104,環泥,1105803.0,115471.0,31658,311221,342879,0.55,0.1044,0.0286,0.9077,2016Q1
1108,幸福,995636.0,190809.0,133019,-6225,126794,0.26,0.1916,0.1336,-0.0491,2016Q1
1109,信大,875999.0,68812.0,-26416,-162,-26578,-0.03,0.0786,-0.0302,0.0061,2016Q1
1110,東泥,383670.0,36523.0,15784,181488,197272,0.21,0.0952,0.0411,0.92,2016Q1
1201,味全,3518095.0,843425.0,-531354,371925,-159429,-0.21,0.2397,-0.151,-2.3329,2016Q1
1203,味王,1547878.0,356646.0,145828,-4175,141653,0.37,0.2304,0.0942,-0.0295,2016Q1
1210,大成,17743529.0,2416264.0,707467,-28851,678616,0.73,0.1362,0.0399,-0.0425,2016Q1
1213,大飲,152465.0,21316.0,3824,2270,6094,0.1,0.1398,0.0251,0.3725,2016Q1
1215,卜蜂,4255524.0,609586.0,317308,1290,318598,0.95,0.1432,0.0746,0.004,2016Q1
1216,統一,106667516.0,36522564.0,6561057,1419075,7980132,0.76,0.3424,0.0615,0.1778,2016Q1
1217,愛之味,906830.0,276809.0,-7030,-23238,-30268,-0.07,0.3052,-0.0078,0.7677,2016Q1
1218,泰山,1821955.0,293343.0,-14325,70242,55917,0.16,0.161,-0.0079,1.2562,2016Q1
1219,福壽,2633013.0,233118.0,32432,9939,42371,0.13,0.0885,0.0123,0.2346,2016Q1
1220,台榮,646025.0,93610.0,41415,4709,46124,0.19,0.1449,0.0641,0.1021,2016Q1
1225,福懋油,2554434.0,266397.0,141773,-4206,137567,0.43,0.1043,0.0555,-0.0306,2016Q1
1227,佳格,7422008.0,2375239.0,1074864,33915,1108779,1.11,0.32,0.1448,0.0306,2016Q1
1229,聯華,1310566.0,279532.0,147088,199921,347009,0.38,0.2133,0.1122,0.5761,2016Q1
1231,聯華食,1691729.0,384288.0,125521,25444,150965,0.84,0.2272,0.0742,0.1685,2016Q1
1232,大統益,3927503.0,384769.0,232356,-19414,212942,1.09,0.098,0.0592,-0.0912,2016Q1
1233,天仁,558307.0,319439.0,58433,2680,61113,0.55,0.5722,0.1047,0.0439,2016Q1
1234,黑松,1754858.0,405818.0,-76525,178681,102156,0.22,0.2313,-0.0436,1.7491,2016Q1
1235,興泰,19119.0,7044.0,2839,81683,84522,1.42,0.3684,0.1485,0.9664,2016Q1
1236,宏亞,604459.0,154508.0,32036,7857,39893,0.3,0.2556,0.053,0.197,2016Q1
1256,鮮活果汁-KY,535660.0,150206.0,58197,5579,63776,1.44,0.2804,0.1086,0.0875,2016Q1
1301,台塑,42782369.0,5448852.0,2879464,3773697,6653161,0.9,0.1274,0.0673,0.5672,2016Q1
1303,南亞,65469083.0,7626456.0,3448397,2893772,6342169,0.68,0.1165,0.0527,0.4563,2016Q1
1304,台聚,12738367.0,1546222.0,672401,-103149,569252,0.27,0.1214,0.0528,-0.1812,2016Q1
1305,華夏,3765844.0,566300.0,285050,-54699,230351,0.38,0.1504,0.0757,-0.2375,2016Q1
1307,三芳,3071065.0,902096.0,470037,-7654,462383,0.99,0.2937,0.1531,-0.0166,2016Q1
1308,亞聚,1333909.0,163883.0,112905,2812,115717,0.19,0.1229,0.0846,0.0243,2016Q1
1309,台達化,3689655.0,257531.0,90507,-20970,69537,0.15,0.0698,0.0245,-0.3016,2016Q1
1310,台苯,3517882.0,634936.0,532943,-30872,502071,0.78,0.1805,0.1515,-0.0615,2016Q1
1312,國喬,4570011.0,797789.0,486452,177641,664093,0.64,0.1746,0.1064,0.2675,2016Q1
1313,聯成,9067638.0,515215.0,102545,-69302,33243,0.03,0.0568,0.0113,-2.0847,2016Q1
1314,中石化,5310386.0,-455736.0,-758027,46481,-711546,-0.31,-0.0858,-0.1427,-0.0653,2016Q1
1315,達新,710957.0,142584.0,32787,1893,34680,0.16,0.2006,0.0461,0.0546,2016Q1
1316,上曜,123423.0,27768.0,-30128,-732,-30860,-0.22,0.225,-0.2441,0.0237,2016Q1
1319,東陽,5961500.0,1550920.0,757802,18224,776026,1.04,0.2602,0.1271,0.0235,2016Q1
1321,大洋,1002255.0,65963.0,-19404,22937,3533,0.02,0.0658,-0.0194,6.4922,2016Q1
1323,永裕,732152.0,202671.0,102822,579,103401,0.68,0.2768,0.1404,0.0056,2016Q1
1324,地球,284076.0,63524.0,13044,8421,21465,0.23,0.2236,0.0459,0.3923,2016Q1
1325,恆大,259931.0,68603.0,50790,-8577,42213,0.35,0.2639,0.1954,-0.2032,2016Q1
1326,台化,75799504.0,10590376.0,6997823,2099869,9097692,1.16,0.1397,0.0923,0.2308,2016Q1
1337,再生-KY,1234329.0,292439.0,166058,-4097,161961,0.44,0.2369,0.1345,-0.0253,2016Q1
1338,廣華-KY,1881133.0,534782.0,246441,-11947,234494,2.25,0.2843,0.131,-0.0509,2016Q1
1339,昭輝,581580.0,167382.0,96416,-36168,60248,0.71,0.2878,0.1658,-0.6003,2016Q1
1340,勝悅-KY,666825.0,220620.0,196831,8922,205753,1.51,0.3309,0.2952,0.0434,2016Q1
1402,遠東新,51595906.0,12729222.0,3823232,-258675,3564557,0.17,0.2467,0.0741,-0.0726,2016Q1
1410,南染,149850.0,59266.0,38440,161,38601,0.4,0.3955,0.2565,0.0042,2016Q1
1413,宏洲,465683.0,9292.0,-1248,-2071,-3319,-0.03,0.02,-0.0027,0.624,2016Q1
1414,東和,197066.0,11469.0,-5300,-538,-5838,-0.02,0.0582,-0.0269,0.0922,2016Q1
1416,廣豐,2021470.0,584579.0,313834,-33221,280613,1.46,0.2892,0.1553,-0.1184,2016Q1
1417,嘉裕,893036.0,139248.0,-125261,4160,-121101,-0.32,0.1559,-0.1403,-0.0344,2016Q1
1418,東華,499280.0,25329.0,-21080,-4019,-25099,-0.21,0.0507,-0.0422,0.1601,2016Q1
1419,新紡,304243.0,77722.0,1559,-18266,-16707,-0.04,0.2555,0.0051,1.0933,2016Q1
1423,利華,162036.0,13616.0,3928,-1173,2755,0.03,0.084,0.0242,-0.4258,2016Q1
1432,大魯閣,136443.0,89408.0,-80653,169942,89289,0.59,0.6553,-0.5911,1.9033,2016Q1
1434,福懋,10429595.0,1686294.0,982751,-32628,950123,0.38,0.1617,0.0942,-0.0343,2016Q1
1435,中福,5513.0,4858.0,-3680,-2483,-6163,-0.05,0.8812,-0.6675,0.4029,2016Q1
1436,華友聯,75959.0,21287.0,289,-19774,-19485,-0.32,0.2802,0.0038,1.0148,2016Q1
1437,勤益控,166401.0,126640.0,91326,-16201,75125,0.31,0.7611,0.5488,-0.2157,2016Q1
1438,三地開發,49.0,-21.0,-2243,821,-1422,-0.01,-0.4286,-45.7755,-0.5774,2016Q1
1439,雋揚,105613.0,4166.0,-3400,-361,-3761,-0.04,0.0394,-0.0322,0.096,2016Q1
1440,南紡,4202145.0,470716.0,-15663,42169,26506,0.02,0.112,-0.0037,1.5909,2016Q1
1441,大東,424735.0,15862.0,-30353,4116,-26237,-0.29,0.0373,-0.0715,-0.1569,2016Q1
1442,名軒,191135.0,48825.0,10136,3655,13791,0.03,0.2554,0.053,0.265,2016Q1
1443,立益物流,266860.0,-15772.0,-46650,-84427,-131077,-0.79,-0.0591,-0.1748,0.6441,2016Q1
1444,力麗,2407514.0,217587.0,91255,-89262,1993,0.0,0.0904,0.0379,-44.7878,2016Q1
1445,大宇,394594.0,52048.0,19794,-3287,16507,0.1,0.1319,0.0502,-0.1991,2016Q1
1446,宏和,224242.0,45307.0,3592,1319,4911,0.02,0.202,0.016,0.2686,2016Q1
1447,力鵬,3195263.0,32982.0,-118322,-114714,-233036,-0.22,0.0103,-0.037,0.4923,2016Q1
1449,佳和,647448.0,-4513.0,-98094,-16364,-114458,-0.82,-0.007,-0.1515,0.143,2016Q1
1451,年興,3071091.0,454567.0,262462,19669,282131,0.58,0.148,0.0855,0.0697,2016Q1
1452,宏益,499511.0,81294.0,54424,2740,57164,0.29,0.1627,0.109,0.0479,2016Q1
1453,大將,10635.0,-1593.0,-8720,14483,5763,0.06,-0.1498,-0.8199,2.5131,2016Q1
1454,台富,416455.0,43785.0,12301,-1861,10440,0.06,0.1051,0.0295,-0.1783,2016Q1
1455,集盛,2991825.0,131477.0,19826,-46,19780,0.03,0.0439,0.0066,-0.0023,2016Q1
1456,怡華,109237.0,15318.0,-10530,-15813,-26343,-0.28,0.1402,-0.0964,0.6003,2016Q1
1457,宜進,1186632.0,91925.0,25438,18183,43621,0.13,0.0775,0.0214,0.4168,2016Q1
