公司代號,year_quarter,預測季均價,營業收入,營業毛利（毛損）,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,EPS,營收成長_年季平均(%),毛利率,營益率,業外稅前率,SHAP_營業收入,SHAP_營業毛利（毛損）,SHAP_營業利益（損失）,SHAP_營業外收入及支出,SHAP_稅前淨利（淨損）,SHAP_EPS,SHAP_營收成長_年季平均(%),SHAP_毛利率,SHAP_營益率,SHAP_業外稅前率
1437,2018Q2,,,,,,,,,,,,,,,,,,,,,
2484,2017Q2,,,,,,,,,,,,,,,,,,,,,
2642,2019Q4,,,,,,,,,,,,,,,,,,,,,
2024,2019Q3,,,,,,,,,,,,,,,,,,,,,
8261,2017Q4,,,,,,,,,,,,,,,,,,,,,
5269,2020Q1,,,,,,,,,,,,,,,,,,,,,
1325,2017Q2,50.384995,4169130.0,368314.0,80994.0,314022.0,395016.0,2.8,19.460917004794688,0.0883,0.0194,0.795,-2.1871212688833475,-3.196229759827256,-0.20488294266164303,-2.372623815573752,2.662816997021437,-6.878249674648978,5.449480557832867,-19.50521804586053,-7.519228797759861,-4.587503181630746
2227,2019Q4,,,,,,,,,,,,,,,,,,,,,
3454,2018Q4,,,,,,,,,,,,,,,,,,,,,
4562,2018Q2,,,,,,,,,,,,,,,,,,,,,
2421,2018Q1,,,,,,,,,,,,,,,,,,,,,
3037,2018Q4,,,,,,,,,,,,,,,,,,,,,
1786,2018Q3,,,,,,,,,,,,,,,,,,,,,
6257,2017Q3,,,,,,,,,,,,,,,,,,,,,
8213,2016Q4,18.074848,1895108.0,346847.0,-112183.0,426.0,-111757.0,-0.97,-4.419281192148058,0.183,-0.0592,-0.0038,-2.472104031331837,-3.100784398242831,-0.256717563457787,-0.171596489995718,3.170773737169802,-43.856531075164675,-1.633777099121362,-15.278436088077724,-7.967360604908317,0.9176231227070093
9929,2017Q4,,,,,,,,,,,,,,,,,,,,,
8940,2016Q3,55.00219,8449065.0,797523.0,473753.0,-16649.0,457104.0,2.32,-8.247398423102183,0.0944,0.0561,-0.0364,-0.2944623763114214,-2.8781353317946197,2.9890148004144432,-0.04425003200769424,2.25170868139714,-11.086833744142204,-2.61958873456344,-19.293514573648572,-4.0947832500375805,1.3492855571210385
1604,2016Q4,30.176552,604758.0,137601.0,44166.0,-2818.0,41348.0,0.59,7.122857337977191,0.2275,0.073,-0.0682,-2.477688508220017,-3.0278493425250055,-0.07997754354029894,-0.14306700408458708,3.286431784816086,-41.95491280563176,1.7154009014740585,-15.269523423016071,-1.8782565580308437,1.282241702899337
2425,2016Q4,15.667649,1024301.0,165315.0,19052.0,3573.0,22625.0,0.08,2.2014708153639613,0.1614,0.0186,0.1579,-2.6061602887138724,-3.212494049295783,-0.24007927242666482,-0.5792974430322647,3.2632791664078833,-43.19268611293286,-2.0239305717125533,-16.50182554665953,-7.848294913936407,-0.11461475701071322
1702,2018Q2,,,,,,,,,,,,,,,,,,,,,
1568,2017Q4,,,,,,,,,,,,,,,,,,,,,
2712,2016Q4,56.864197,1487951.0,285941.0,-125936.0,1507441.0,1381505.0,4.15,47.96096365093584,0.1922,-0.0846,1.0912,-2.7285166874527933,-4.092719256542623,-0.07544758256524801,-3.93483230818063,-3.164626492857933,3.7128765603667127,9.83788869054988,-15.90258092034608,-8.613868599217385,-6.897713430905714
9945,2017Q2,,,,,,,,,,,,,,,,,,,,,
1522,2017Q4,,,,,,,,,,,,,,,,,,,,,
5907,2016Q3,55.993855,806717.0,374650.0,241886.0,-37011.0,204875.0,0.96,58.26506963245478,0.4644,0.2998,-0.1807,-2.1798120251484217,-3.969151775725186,-2.211605686917901,-0.552032019328326,3.264810731932521,-40.77449139341712,8.739541591033339,7.847873580530286,-6.668127394691109,3.7730961340665816
3356,2019Q1,,,,,,,,,,,,,,,,,,,,,
1540,2016Q2,47.260967,16063682.0,3504628.0,531851.0,341505.0,873356.0,2.12,-2.346529964897511,0.2182,0.0331,0.391,1.179914952814579,1.9910520428046583,2.5690517567470668,-1.9043590521067382,-1.9799556561931968,-14.411573023293167,-2.6375613174773753,-16.430606284029782,-6.020831280285493,-3.817913454407826
2901,2017Q3,,,,,,,,,,,,,,,,,,,,,
1558,2017Q2,98.46345,4318635.0,1828760.0,367546.0,44782.0,412328.0,3.91,7.641989339864925,0.4235,0.0851,0.1086,-2.3722267037630083,-2.5263223921880127,6.317753709293902,-0.7612888099998236,1.317317299824208,3.760597778651863,2.6230941910296677,2.115591191202402,-1.1008717050217092,0.3660320718586445
3042,2020Q1,,,,,,,,,,,,,,,,,,,,,
1444,2018Q2,,,,,,,,,,,,,,,,,,,,,
4306,2019Q1,,,,,,,,,,,,,,,,,,,,,
1419,2017Q2,26.056395,3568241.0,795456.0,190849.0,56629.0,247478.0,0.69,6.076763495063092,0.2229,0.0535,0.2288,-2.616364036537707,-2.6962636388093233,-0.26105450216680764,-0.7702960386872292,2.9220459132269023,-40.818405109234156,0.15751490719616412,-14.73433568712324,-2.7487730040960012,-1.1014353243354709
3062,2017Q2,,,,,,,,,,,,,,,,,,,,,
6281,2017Q2,,,,,,,,,,,,,,,,,,,,,
6206,2016Q2,15.174408,885043.0,90121.0,-15883.0,-133380.0,-149263.0,-1.24,-5.617532084378227,0.1018,-0.0179,0.8936,-2.24240526240319,-3.214036479666829,-0.4554991431161761,0.00898850068449974,3.2457581042870878,-42.21358338668942,-1.5898905930854381,-16.462001215033233,-8.370212280172854,-2.256465809876099
1303,2018Q1,,,,,,,,,,,,,,,,,,,,,
9935,2016Q4,24.570215,3531131.0,898721.0,183816.0,-22288.0,161528.0,0.67,2.513547778672809,0.2545,0.0521,-0.138,-2.4976511903479697,-2.4460693734139203,-0.21614942628890277,-0.1740700026601553,2.806358456425369,-42.549137357082216,-2.487625825367868,-14.645491814427078,-3.1818847400695085,1.238178417161107
9942,2018Q2,,,,,,,,,,,,,,,,,,,,,
1321,2019Q4,,,,,,,,,,,,,,,,,,,,,
2104,2017Q3,,,,,,,,,,,,,,,,,,,,,
2428,2017Q3,,,,,,,,,,,,,,,,,,,,,
6591,2019Q4,,,,,,,,,,,,,,,,,,,,,
