公司代號,公司名稱,日期,季底月均價,日期_西元,year_quarter
1101,臺灣水泥TCC,106/03/21,37.82,2017-03-21,2017Q1
1102,亞洲水泥ACC,106/03/22,30.64,2017-03-22,2017Q1
1103,嘉新水泥CHC,106/03/02,11.53,2017-03-02,2017Q1
1104,環球水泥UCC,106/02/17,26.55,2017-02-17,2017Q1
1108,幸福水泥Lucky Cement,105/07/19,10.04,2016-07-19,2016Q3
1109,信大水泥HsingTa,105/08/26,10.38,2016-08-26,2016Q3
1110,東南水泥TUNA CEMENT,106/03/30,16.26,2017-03-30,2017Q1
1201,味全食品Wei-Chuan,105/06/22,18.7,2016-06-22,2016Q2
1203,味王Ve Wong,106/02/17,23.9,2017-02-17,2017Q1
1210,大成長城GREATWALL,105/11/22,29.52,2016-11-22,2016Q4
1213,大飲Oceanic Beverages,105/06/01,17.93,2016-06-01,2016Q2
1215,卜蜂企業CPE,106/03/24,53.22,2017-03-24,2017Q1
1216,統一企業PEC,105/07/13,56.5,2016-07-13,2016Q3
1217,愛之味AGV,105/08/05,7.59,2016-08-05,2016Q3
1218,泰山TAISUN,105/10/05,15.23,2016-10-05,2016Q4
1219,福壽FWUSOW,106/03/29,17.07,2017-03-29,2017Q1
1220,台榮TAIROUN,105/06/20,11.17,2016-06-20,2016Q2
1225,福懋油脂FOPCO,105/09/21,50.41,2016-09-21,2016Q3
1227,佳格食品S.F.C,105/08/10,75.85,2016-08-10,2016Q3
1229,聯華實業LHIC,106/03/31,24.46,2017-03-31,2017Q1
1231,聯華食品Lian Hwa Foods,106/03/27,33.56,2017-03-27,2017Q1
1232,大統益TTET,106/03/24,90.6,2017-03-24,2017Q1
1233,天仁Ten Ren,105/05/03,37.8,2016-05-03,2016Q2
1234,黑松Hey-Song,105/04/15,33.72,2016-04-15,2016Q2
1235,興泰Shin Tai,106/03/27,29.73,2017-03-27,2017Q1
1236,宏亞食品Hunya Foods,105/04/20,18.36,2016-04-20,2016Q2
1256,鮮活果汁-KYSunjuice,105/09/02,147.44,2016-09-02,2016Q3
1702,南僑化工NAMCHOW,105/08/05,62.82,2016-08-05,2016Q3
1737,臺鹽TAIYEN,105/06/21,30.57,2016-06-21,2016Q2
1301,台灣塑膠FPC,106/02/15,90.65,2017-02-15,2017Q1
1303,南亞塑膠NPC,106/02/15,71.38,2017-02-15,2017Q1
1304,台灣聚合USI,106/02/13,16.21,2017-02-13,2017Q1
1305,華夏塑膠CGPC,106/03/17,28.01,2017-03-17,2017Q1
1307,三芳化工SAN FANG,105/07/26,37.76,2016-07-26,2016Q3
1308,亞聚APC,105/12/14,18.6,2016-12-14,2016Q4
1309,台達化TTC,106/02/03,10.5,2017-02-03,2017Q1
1310,臺灣苯乙烯T.S.M.C.,106/03/23,24.02,2017-03-23,2017Q1
1312,國喬石化        (普 通)GPPC common,106/02/06,21.35,2017-02-06,2017Q1
