公司代號,year_quarter,季均價
1101,2017Q1,35.275
1101,2018Q1,36.99
1101,2018Q2,39.7175
1101,2019Q2,44.48
1101,2019Q3,40.38333333333333
1101,NaT,42.74
1101B,2019Q1,51.46
1101B,2019Q2,52.31
1101B,2019Q3,52.96
1101B,2019Q4,53.45
1101B,2020Q1,53.26
1101B,NaT,53.95333333333334
1102,2017Q1,30.64
1102,2017Q2,27.310000000000002
1102,2018Q2,33.36
1102,2018Q3,37.156666666666666
1102,2019Q2,45.91
1102,2020Q1,40.37
1102,NaT,43.03333333333333
1103,2017Q1,11.215
1103,2017Q3,12.35
1103,2017Q4,12.74
1103,2018Q1,11.64
1103,2018Q2,13.33
1103,2018Q3,13.969999999999999
1103,2019Q2,16.83
1103,2019Q3,17.41
1103,2019Q4,18.29
1103,NaT,17.42
1104,2017Q1,26.55
1104,2017Q2,23.335
1104,2017Q3,20.63
1104,2017Q4,20.23
1104,2018Q1,18.96
1104,2018Q2,19.77
1104,2018Q3,19.69
1104,2018Q4,18.79
1104,2019Q1,19.3
1104,2019Q3,15.91
1104,NaT,20.21
1108,2016Q3,9.765
1108,2017Q1,8.58
1108,2017Q2,8.17
1108,2017Q3,8.04
1108,2017Q4,7.83
1108,2018Q1,7.29
1108,2018Q2,7.44
1108,2018Q3,6.91
1108,2018Q4,6.95
1108,2019Q4,7.385
1108,NaT,11.243333333333334
1109,2016Q3,10.355
1109,2017Q3,11.87
1109,2017Q4,12.69
1109,2018Q1,14.1
1109,2018Q2,15.39
1109,2018Q3,14.496666666666668
1109,2019Q2,18.15
1109,2019Q4,17.645
1109,NaT,19.42
1110,2017Q1,15.24
1110,2017Q2,13.95
1110,2017Q3,14.06
1110,2017Q4,13.86
1110,2018Q4,15.825
1110,2019Q2,16.5225
1110,NaT,16.756666666666664
1201,2016Q2,18.7
1201,2016Q3,18.95
1201,2017Q1,18.84
1201,2017Q4,20.27
1201,2018Q1,23.31
1201,2018Q2,23.2875
1201,2019Q2,25.6475
1201,NaT,21.55
1203,2017Q1,23.9
1203,2017Q2,24.59
1203,2018Q1,25.875
1203,2019Q1,26.09
1203,2019Q2,26.5
1203,2019Q3,26.61
1203,2019Q4,26.45
1203,NaT,32.806666666666665
1210,2016Q4,29.52
1210,2017Q2,32.16
1210,2017Q3,32.45
1210,2018Q1,35.46
1210,2018Q2,36.6325
1210,2018Q3,39.74
1210,2019Q3,38.12
1210,2019Q4,39.614999999999995
1210,NaT,45.01333333333333
1213,2016Q2,17.93
1213,2016Q3,17.13
1213,2017Q1,15.52
1213,2017Q2,15.38
1213,2017Q4,13.625
1213,2018Q1,10.54
1213,2018Q2,11.07
1215,2017Q1,53.22
1215,2017Q2,71.63
1215,2017Q3,63.785
1215,2018Q1,52.39
1215,2018Q2,52.18
1215,2019Q2,67.78
1215,2019Q3,62.67666666666667
1215,NaT,70.33
1216,2016Q3,58.114999999999995
1216,2017Q3,64.19
1216,2017Q4,64.8
1216,2018Q1,68.69
1216,2018Q2,75.14
1216,2018Q3,75.3775
1216,2019Q2,72.47666666666667
1216,NaT,67.64333333333333
1217,2016Q3,7.595
1217,2017Q3,7.73
1217,2018Q2,7.256666666666667
1217,2018Q3,7.14
1217,2018Q4,7.02
1217,2019Q3,7.1
1217,2020Q1,7.2
1217,NaT,8.226666666666667
1218,2016Q4,16.025
1218,2017Q3,18.145
1218,2018Q2,18.59
1218,2019Q2,20.54
1218,2019Q4,22.29
1218,2020Q1,22.67
1218,NaT,23.883333333333336
1219,2017Q1,16.955
1219,2017Q3,17.953333333333333
1219,2018Q2,18.7625
1219,2018Q3,18.03
1219,2018Q4,18.71
1219,2019Q4,17.94
1219,NaT,21.093333333333334
1220,2016Q2,11.17
1220,2016Q3,10.8
1220,2017Q1,10.45
1220,2017Q2,10.93
1220,2018Q2,11.5625
1220,2018Q4,10.585
1220,2019Q2,10.205
1220,NaT,11.67
1225,2016Q3,51.175
1225,2017Q3,60.4
1225,2017Q4,64.66
1225,2018Q1,70.54
1225,2018Q2,80.32
1225,2018Q3,74.435
1225,2018Q4,45.91
1225,2019Q2,32.665
1225,NaT,35.556666666666665
1227,2016Q3,78.13
1227,2017Q3,69.47999999999999
1227,2017Q4,51.61
1227,2018Q1,49.34
1227,2018Q2,52.13
1227,2018Q3,59.95
1227,2019Q3,63.73
1227,2019Q4,69.81
1227,2020Q1,58.58
1227,NaT,62.6
1229,2017Q1,24.46
1229,2017Q2,27.49
1229,2017Q3,28.26
1229,2017Q4,34.33
1229,2018Q1,37.775000000000006
1229,2018Q3,33.69
1229,2019Q3,34.72666666666667
1229,NaT,41.64
1231,2017Q1,33.56
1231,2017Q2,34.4625
1231,2018Q2,36.92333333333334
1231,2019Q1,41.63
1231,2019Q2,45.58
1231,2019Q3,40.31
1231,NaT,43.22
1232,2017Q1,90.6
1232,2017Q2,91.4525
1232,2017Q3,94.35
1232,2018Q3,98.095
1232,2019Q1,101.13
1232,2019Q2,117.2575
1232,NaT,123.96666666666665
1233,2016Q2,37.8
1233,2017Q1,35.60666666666666
1233,2018Q1,38.24333333333333
1233,2018Q4,38.5
1233,2019Q4,37.04
1233,NaT,36.20333333333334
1234,2016Q2,33.72
1234,2016Q3,33.49
1234,2017Q1,31.205
1234,2017Q3,31.490000000000002
1234,2018Q2,30.28
1234,2019Q1,31.49
1234,2019Q2,32.27
1234,2020Q1,30.23
1234,NaT,32.72
1235,2017Q1,29.235
1235,2017Q3,33.48
1235,2017Q4,36.74
1235,2018Q3,44.03
1235,2018Q4,27.7675
1235,2019Q4,21.975
1235,NaT,25.46666666666667
1236,2016Q2,18.36
1236,2016Q3,17.35
1236,2016Q4,17.02
1236,2017Q1,17.02
1236,2017Q2,17.85
1236,2018Q1,15.666666666666666
1236,2018Q2,14.27
1236,2018Q3,13.52
1236,2018Q4,12.95
1236,2019Q2,12.25
1236,NaT,13.213333333333333
1256,2016Q3,143.91
1256,2017Q3,150.22
1256,2018Q1,169.06
1256,2018Q2,163.735
1256,2019Q2,186.72
1256,2019Q3,198.5566666666667
1256,NaT,255.1
1262,2017Q1,108.3325
1262,2017Q2,53.26
1262,2017Q3,32.78
1262,2017Q4,33.34
1262,2018Q1,36.83
1262,2018Q2,36.92
1262,2018Q3,28.98
1262,2018Q4,39.75
1301,2017Q1,92.06666666666666
1301,2017Q4,94.85
1301,2018Q1,103.09
1301,2018Q2,108.51
1301,2018Q3,107.74000000000001
1301,2018Q4,96.43
1301,2019Q3,87.82
1301,NaT,85.95
1303,2017Q1,73.875
1303,2018Q1,80.84
1303,2018Q2,85.1
1303,2018Q3,78.1775
1303,2018Q4,69.96
1303,2019Q2,64.725
1303,NaT,64.55666666666667
1304,2017Q1,15.690000000000001
1304,2018Q1,13.815
1304,2018Q2,12.1
1304,2018Q3,11.78
1304,2018Q4,13.23
1304,2019Q4,11.99
1304,NaT,16.746666666666666
1305,2017Q1,28.01
1305,2017Q2,28.39
1305,2017Q3,31.66
1305,2018Q1,24.295
1305,2018Q2,23.0
1305,2018Q3,23.03
1305,2018Q4,20.02
1305,2019Q1,20.92
1305,2019Q3,14.8
1305,NaT,21.486666666666668
1307,2016Q3,37.62
1307,2017Q2,34.026666666666664
1307,2017Q3,30.18
1307,2017Q4,26.81
1307,2018Q1,22.96
1307,2018Q2,24.04
1307,2018Q3,24.6
1307,2018Q4,23.79
1307,2019Q1,23.72
1307,2019Q2,18.36
1307,NaT,22.146666666666665
1308,2016Q4,18.866666666666667
1308,2017Q1,19.08
1308,2017Q4,17.346666666666668
1308,2018Q1,13.62
1308,2018Q2,14.26
1308,2018Q3,13.8
1308,2018Q4,15.32
1308,2019Q4,14.879999999999999
1308,NaT,19.810000000000002
1309,2017Q1,10.530000000000001
1309,2017Q4,14.09
1309,2018Q1,12.09
1309,2018Q2,12.7175
1309,2018Q3,10.45
1309,2018Q4,11.83
1309,2019Q3,9.585
1309,NaT,26.13333333333333
1310,2017Q1,22.6525
1310,2017Q2,21.48
1310,2018Q2,23.595
1310,2018Q4,24.13
1310,2019Q2,18.015
1310,NaT,17.37333333333333
1312,2017Q1,21.055
1312,2017Q3,25.41
1312,2017Q4,29.525
1312,2018Q2,26.59
1312,2018Q3,20.23
1312,2018Q4,19.1
1312,2019Q1,18.41
1312,2019Q2,13.18
1312,NaT,19.25
1312A,2017Q1,26.95
1312A,2017Q2,27.46
1312A,2017Q3,29.2
1312A,2017Q4,32.88
1312A,2018Q2,34.88
1312A,2018Q3,36.12
1312A,2018Q4,35.224999999999994
1312A,2019Q2,33.175
1312A,NaT,30.41
1313,2017Q1,13.36
1313,2017Q3,16.1
1313,2017Q4,18.72
1313,2018Q1,18.67
1313,2018Q2,15.1325
1313,2018Q3,11.25
1313,2018Q4,10.64
1313,2019Q1,11.0
1313,2019Q2,8.4
1313,NaT,13.803333333333333
1314,2017Q1,11.785
1314,2017Q3,14.26
1314,2017Q4,13.842500000000001
1314,2018Q1,11.68
1314,2018Q2,11.57
1314,2018Q3,11.33
1314,2018Q4,10.56
1314,2019Q1,9.82
1314,2019Q2,7.26
1314,NaT,9.33
1315,2017Q1,26.08
1315,2017Q2,25.81
1315,2018Q2,26.7
1315,2018Q3,26.465
1315,2019Q1,30.05
1315,2019Q2,31.545
1315,2019Q4,46.86
1315,2020Q1,45.43
1315,NaT,60.71333333333334
1316,2017Q1,26.009999999999998
1316,2017Q3,21.78
1316,2017Q4,18.45
1316,2018Q1,12.45
1316,2018Q2,15.68
1316,2018Q3,15.33
1316,2018Q4,12.97
1316,2019Q1,14.06
1316,2019Q2,9.45
1316,NaT,11.963333333333333
1319,2016Q4,57.826666666666675
1319,2017Q3,53.120000000000005
1319,2017Q4,42.46
1319,2018Q1,38.66
1319,2018Q2,40.39
1319,2018Q3,43.13
1319,2019Q3,42.07666666666666
1319,NaT,38.44
1321,2017Q1,26.23
1321,2017Q3,28.372500000000002
1321,2018Q1,26.915
1321,2018Q2,26.19
1321,2019Q2,28.17
1321,2019Q3,30.12
1321,2019Q4,38.16
1321,2020Q1,26.78
1321,NaT,34.43333333333333
1323,2016Q4,33.50666666666667
1323,2017Q4,36.9825
1323,2018Q1,35.56
1323,2018Q2,36.88
1323,2018Q3,34.11
1323,2019Q1,33.77
1323,2019Q2,29.67
1323,NaT,33.18333333333333
1324,2016Q4,12.966666666666667
1324,2017Q2,12.47
1324,2018Q1,12.73
1324,2018Q2,11.0
1324,2018Q3,11.26
1324,2018Q4,9.92
1324,2019Q2,8.895
1324,NaT,10.096666666666666
1325,2017Q1,20.4175
1325,2017Q2,18.1
1325,2017Q3,18.04
1325,2018Q1,17.125
1325,2018Q2,16.31
1325,2018Q3,16.03
1325,2018Q4,15.57
1325,2019Q4,16.39
1325,2020Q1,38.13
1325,NaT,139.14000000000001
1326,2016Q4,93.34333333333332
1326,2017Q4,97.48
1326,2018Q1,107.85
1326,2018Q2,115.53
1326,2018Q3,111.195
1326,2018Q4,89.26
1326,2019Q2,78.72
1326,NaT,74.61
1337,2016Q2,16.55
1337,2016Q3,13.62
1337,2016Q4,13.19
1337,2017Q1,12.43
1337,2017Q2,11.37
1337,2017Q3,10.62
1337,2018Q1,7.51
1337,2018Q2,7.08
1337,2018Q3,6.68
1337,2019Q2,5.363333333333333
1337,NaT,7.706666666666667
1338,2016Q2,98.36
1338,2016Q3,106.48
1338,2017Q3,109.97749999999999
1338,2017Q4,86.47
1338,2018Q1,76.95
1338,2018Q2,77.66
1338,2018Q3,65.22
1338,2018Q4,68.13
1338,2019Q1,65.7
1338,2019Q2,41.47
1338,NaT,57.526666666666664
1339,2016Q2,41.98
1339,2017Q2,45.54
1339,2017Q3,42.93
1339,2017Q4,39.48
1339,2018Q3,35.63
1339,2019Q3,44.97
1339,2019Q4,50.58
1339,2020Q1,38.4
1339,NaT,44.163333333333334
1340,2016Q2,57.25
1340,2016Q3,51.71
1340,2016Q4,49.89
1340,2017Q1,46.2
1340,2017Q3,43.695
1340,2017Q4,27.99
1340,2018Q1,18.13
1340,2018Q2,18.15
1340,2018Q3,18.2
1340,2018Q4,16.81
1340,2019Q2,13.01
1340,NaT,12.006666666666666
1341,2018Q4,55.71
1341,2019Q4,58.65
1341,NaT,60.27333333333333
1342,NaT,60.31
1402,2017Q1,25.355
1402,2018Q1,26.01
1402,2018Q2,29.07
1402,2018Q3,31.892500000000002
1402,2018Q4,28.98
1402,2019Q2,26.705
1402,NaT,27.30333333333333
1409,2017Q1,9.605
1409,2018Q1,9.48
1409,2018Q2,11.91
1409,2018Q3,12.736666666666666
1409,2019Q2,11.9525
1409,NaT,12.18
1410,2017Q1,24.6175
1410,2017Q2,23.45
1410,2017Q3,24.22
1410,2018Q3,24.12
1410,2018Q4,24.12
1410,2019Q1,25.32
1410,2019Q2,26.82
1410,2019Q4,29.715
1410,NaT,33.38666666666666
1413,2016Q2,5.91
1413,2017Q2,6.34
1413,2017Q3,7.92
1413,2017Q4,9.26
1413,2018Q1,10.11
1413,2018Q2,12.68
1413,2018Q3,12.28
1413,2019Q2,9.306666666666667
1413,NaT,8.793333333333333
1414,2017Q1,6.523333333333333
1414,2017Q4,7.34
1414,2018Q1,7.63
1414,2018Q2,7.26
1414,2018Q3,6.86
1414,2018Q4,7.03
1414,2019Q4,6.470000000000001
1414,NaT,10.106666666666667
1416,2017Q1,23.645
1416,2017Q2,16.16
1416,2017Q3,17.79
1416,2017Q4,15.1
1416,2018Q2,14.68
1416,2018Q3,15.48
1416,2019Q2,13.246666666666668
1416,NaT,13.196666666666667
1417,2017Q1,5.035
1417,2017Q2,4.61
1417,2018Q2,5.625
1417,2019Q2,6.09
1417,2019Q3,9.34
1417,2019Q4,9.309999999999999
1417,NaT,10.866666666666667
1419,2016Q3,40.37
1419,2017Q2,41.8
1419,2017Q4,44.09
1419,2018Q1,45.3525
1419,2018Q2,42.28
1419,2018Q3,42.79
1419,2019Q2,40.85666666666666
1419,NaT,43.843333333333334
1423,2017Q1,7.2700000000000005
1423,2017Q4,8.36
1423,2018Q1,9.45
1423,2018Q2,10.265
1423,2018Q4,10.395
1423,2019Q4,9.995000000000001
1423,NaT,15.073333333333332
1432,2016Q2,15.5
1432,2016Q3,14.88
1432,2017Q3,12.415
1432,2017Q4,8.81
1432,2018Q1,10.11
1432,2018Q2,9.08
1432,2018Q4,7.18
1432,2019Q1,6.72
1432,2019Q2,4.56
1432,NaT,10.923333333333332
1434,2017Q1,31.79
1434,2017Q2,30.872500000000002
1434,2018Q2,34.32
1434,2018Q3,35.63666666666666
1434,2019Q2,34.4725
1434,NaT,33.67333333333334
1435,2017Q1,5.6325
1435,2017Q2,5.59
1435,2018Q2,5.5024999999999995
1435,2018Q4,5.36
1435,2019Q3,5.73
1435,2019Q4,7.07
1435,2020Q1,8.16
1435,NaT,14.853333333333333
1436,2016Q3,38.25
1436,2016Q4,37.92
1436,2017Q4,39.2025
1436,2018Q1,36.94
1436,2019Q1,38.7875
1436,2019Q3,37.4
1436,NaT,38.156666666666666
1437,2017Q1,17.93
1437,2017Q2,17.83
1437,2018Q2,18.795
1437,2019Q2,21.05
1437,2019Q3,22.78
1437,2019Q4,22.3
1437,NaT,22.96666666666667
1438,2017Q1,5.0
1438,2018Q1,6.98
1438,2018Q2,7.616666666666667
1438,2019Q1,10.04
1438,2019Q3,12.280000000000001
1438,NaT,12.976666666666667
1439,2017Q1,21.64
1439,2018Q1,26.07
1439,2018Q2,33.835
1439,2018Q3,31.45
1439,2018Q4,29.66
1439,2019Q2,32.195
1439,NaT,31.45
1440,2017Q1,13.9025
1440,2017Q2,13.28
1440,2018Q2,13.1325
1440,2018Q3,12.18
1440,2018Q4,11.45
1440,2019Q2,9.51
1440,NaT,13.296666666666667
1441,2016Q3,7.16
1441,NaT,8.754999999999999
1442,2016Q3,19.39
1442,2017Q2,19.9025
1442,2017Q3,19.82
1442,2018Q2,15.976666666666667
1442,2018Q3,16.59
1442,2019Q2,16.12
1442,2019Q4,19.05
1442,2020Q1,15.45
1442,NaT,18.326666666666664
1443,2017Q1,5.7325
1443,2017Q2,5.76
1443,2017Q3,6.16
1443,2018Q3,7.1975
1443,2019Q3,9.44
1443,2019Q4,9.25
1443,NaT,9.596666666666666
1444,2016Q2,8.43
1444,2017Q1,8.04
1444,2017Q3,11.344999999999999
1444,2018Q1,10.965
1444,2018Q2,10.05
1444,2018Q3,10.0
1444,2018Q4,9.25
1444,2019Q2,8.35
1444,NaT,10.956666666666665
1445,2016Q3,9.025
1445,2016Q4,8.54
1445,2017Q1,8.33
1445,2017Q2,8.43
1445,2017Q3,8.19
1445,2018Q1,7.959999999999999
1445,2018Q2,7.84
1445,2018Q3,7.64
1445,2018Q4,7.07
1445,2019Q1,7.04
1445,2019Q2,6.73
1445,NaT,9.983333333333333
1446,2017Q1,21.27
1446,2017Q2,22.475
1446,2018Q2,24.81
1446,2018Q3,25.39
1446,2019Q2,29.63
1446,2019Q3,31.38
1446,2019Q4,36.06
1446,2020Q1,24.52
1446,NaT,30.889999999999997
1447,2017Q1,8.445
1447,2018Q1,8.29
1447,2018Q3,8.18
1447,2018Q4,7.03
1447,2019Q1,7.04
1447,2019Q2,5.48
1447,NaT,7.56
1449,2017Q1,5.42
1449,2018Q1,6.12
1449,2018Q2,5.04
1449,2018Q3,4.5
1449,2019Q3,4.65
1449,2019Q4,11.775
1449,NaT,21.703333333333333
1451,2017Q1,25.276666666666667
1451,2017Q4,25.54
1451,2018Q1,25.87
1451,2019Q1,27.87
1451,2019Q2,22.205
1451,NaT,16.903333333333332
1452,2016Q3,21.83
1452,2017Q2,23.2
1452,2017Q3,20.61
1452,2017Q4,19.38
1452,2018Q1,17.29
1452,2018Q2,20.04
1452,2019Q2,18.5675
1452,NaT,16.86
1453,2016Q2,7.96
1453,2017Q2,8.635
1453,2017Q4,9.62
1453,2018Q1,10.14
1453,2018Q2,9.3475
1453,2019Q1,8.37
1453,2019Q2,6.68
1453,NaT,8.506666666666666
1454,2016Q3,8.545
1454,2017Q1,8.475
1454,2017Q3,8.27
1454,2017Q4,8.01
1454,2018Q1,8.31
1454,2018Q2,8.25
1454,2019Q1,7.93
1454,2019Q2,7.35
1454,NaT,8.503333333333332
1455,2017Q1,10.090000000000002
1455,2017Q4,11.1275
1455,2018Q1,9.14
1455,2018Q2,9.23
1455,2018Q3,8.88
1455,2018Q4,8.63
1455,2019Q1,8.01
1455,2019Q3,5.56
