公司代號,公司名稱,產業別,year_quarter,營業收入-當月營收,營收成長_年季平均(%)
1101,台泥,水泥工業,2017Q1,9083111,20.728367417004083
1102,亞泥,水泥工業,2017Q1,5308954,-0.5543641165417794
1103,嘉泥,水泥工業,2017Q1,194614,-2.9109648838357884
1104,環泥,水泥工業,2017Q1,428434,-1.369074614221156
1108,幸福,水泥工業,2017Q1,343552,-12.525652711930864
1109,信大,水泥工業,2017Q1,462370,15.573719270618524
1110,東泥,水泥工業,2017Q1,132814,-7.289048975261071
1201,味全,食品工業,2017Q1,1267283,2.0442130419938547
1203,味王,食品工業,2017Q1,548853,7.262166963394066
1210,大成,食品工業,2017Q1,6686950,6.118144799108772
1213,大飲,食品工業,2017Q1,37858,5.530467748229916
1215,卜蜂,食品工業,2017Q1,1719901,10.23225735329934
1216,統一,食品工業,2017Q1,32926233,-7.995373479249116
1217,愛之味,食品工業,2017Q1,286108,7.6857065430128575
1218,泰山,食品工業,2017Q1,641625,7.760430487489462
1219,福壽,食品工業,2017Q1,963379,11.425593978214051
1220,台榮,食品工業,2017Q1,173090,-28.5268917105399
1225,福懋油,食品工業,2017Q1,973879,10.333306898387846
1227,佳格,食品工業,2017Q1,1603176,9.791685785078462
1229,聯華,食品工業,2017Q1,423762,-9.438825120905095
1231,聯華食,食品工業,2017Q1,578160,12.232260368905123
1232,大統益,食品工業,2017Q1,1529407,9.05142663198485
1233,天仁,食品工業,2017Q1,161923,-2.0067901645495314
1234,黑松,食品工業,2017Q1,615447,22.755260181785182
1235,興泰,食品工業,2017Q1,4230,-34.48970109958185
1236,宏亞,食品工業,2017Q1,116692,-17.638090936039863
1240,茂生農經,農業科技,2017Q1,142546,40.541872892552206
1256,鮮活果汁-KY,食品工業,2017Q1,197645,-7.013342617335993
1259,安心,觀光餐旅,2017Q1,377953,4.67234589373051
1264,德麥,食品工業,2017Q1,322242,4.403016990008164
1268,漢來美食,觀光餐旅,2017Q1,246322,0.1793550538675213
1301,台塑,塑膠工業,2017Q1,18020955,3.2055124629514995
1303,南亞,塑膠工業,2017Q1,25777365,0.185167177476694
1304,台聚,塑膠工業,2017Q1,5134632,3.64578738999588
1305,華夏,塑膠工業,2017Q1,1380986,-1.5114332763505944
1307,三芳,塑膠工業,2017Q1,1089339,-16.096585985789382
1308,亞聚,塑膠工業,2017Q1,571410,11.215780920034645
1309,台達化,塑膠工業,2017Q1,1640380,4.648039802975527
1310,台苯,塑膠工業,2017Q1,1115527,-15.86274986008891
1312,國喬,塑膠工業,2017Q1,1760316,-2.005356449979653
1313,聯成,塑膠工業,2017Q1,4377937,19.71781956203102
1314,中石化,塑膠工業,2017Q1,3156497,62.77458084151934
