公司代號,公司名稱,year_quarter,產業別,實際股價,預測股價,誤差,誤差率(%)
8101,華冠,2018Q4,通信網路業,2.64,28.468833333333336,25.828833333333336,978.36
2305,全友,2017Q4,電腦及週邊設備業,9.85,72.21844999999999,62.36844999999999,633.18
2509,全坤建,2018Q4,建材營造,25.37,159.89380833333337,134.52380833333336,530.25
3051,力特,2016Q4,,4.3100000000000005,21.55701666666666,17.24701666666666,400.16
8101,華冠,2019Q4,通信網路業,5.19,24.723,19.532999999999998,376.36
5907,大洋-KY,2019Q2,貿易百貨,18.69,88.89354999999999,70.20354999999999,375.62
1443,立益物流,2017Q3,其他,6.16,29.21618333333333,23.05618333333333,374.29
2614,東森,2018Q4,其他,10.55,47.67920833333331,37.12920833333331,351.94
6226,光鼎,2019Q4,光電業,6.31,28.291966666666664,21.981966666666665,348.37
1449,佳和,2019Q3,紡織纖維,4.65,20.33659166666666,15.68659166666666,337.35
2348,海悅,2019Q4,其他,54.71,238.99592499999994,184.28592499999993,336.84
2609,陽明,2019Q3,航運業,5.57,24.321725000000004,18.751725000000004,336.66
4934,太極,2018Q4,光電業,4.86,20.176658333333336,15.316658333333336,315.16
1909,榮成,2017Q4,造紙工業,21.26,86.834925,65.574925,308.44
2478,大毅,2018Q4,電子零組件業,38.01,154.10501666666667,116.09501666666668,305.43
2614,東森,2018Q3,其他,12.67,51.29906666666665,38.629066666666645,304.89
5531,鄉林,2019Q4,建材營造,9.565,38.50728333333333,28.942283333333336,302.59
5484,慧友,2017Q1,光電業,4.99,19.481516666666653,14.491516666666653,290.41
3209,全科,2019Q4,電子通路業,19.28,74.81746666666663,55.53746666666663,288.06
1616,億泰,2020Q1,電器電纜,4.01,15.383225,11.373225,283.62
1616,億泰,2019Q4,電器電纜,4.79,18.285608333333336,13.495608333333337,281.75
1437,勤益控,2019Q4,其他,22.3,84.67057500000001,62.37057500000002,279.69
2923,鼎固-KY,2019Q2,建材營造,25.0,93.59799166666667,68.59799166666667,274.39
2337,旺宏,2018Q3,半導體業,22.24,83.25741666666664,61.01741666666665,274.36
3048,益登,2019Q4,電子通路業,16.735,62.23934999999997,45.504349999999974,271.91
3049,精金,2017Q1,光電業,10.6925,39.54356666666666,28.85106666666666,269.83
5607,遠雄港,2017Q4,航運業,17.46,62.62061666666671,45.16061666666671,258.65
2007,燁興,2019Q2,鋼鐵工業,3.8,13.560608333333333,9.760608333333334,256.86
2504,國產,2017Q2,建材營造,9.473333333333333,33.75000833333332,24.276674999999987,256.26
4306,炎洲,2018Q4,塑膠工業,12.04,41.89281666666666,29.852816666666662,247.95
5519,隆大,2019Q2,建材營造,15.3525,53.005316666666694,37.652816666666695,245.26
1463,強盛新,2017Q4,紡織纖維,15.9,54.00212499999997,38.10212499999997,239.64
1456,怡華,2017Q2,建材營造,10.1,33.85607499999998,23.75607499999998,235.21
5519,隆大,2019Q1,建材營造,14.52,48.218966666666674,33.69896666666668,232.09
2537,聯上發,2017Q4,建材營造,7.47,24.70477499999999,17.234774999999992,230.72
3028,增你強,2017Q4,電子通路業,20.13,66.44796666666667,46.31796666666668,230.09
8429,金麗-KY,2019Q2,貿易百貨,7.36,24.258924999999994,16.898924999999995,229.6
2305,全友,2018Q3,電腦及週邊設備業,5.95,19.578533333333336,13.628533333333337,229.05
2302,麗正,2017Q1,半導體業,6.07,19.864541666666657,13.794541666666657,227.26
1524,耿鼎,2018Q3,汽車工業,10.43,33.869325,23.439325000000004,224.73
3701,大眾控,2018Q4,電腦及週邊設備業,12.6,40.78081666666665,28.18081666666665,223.66
3026,禾伸堂,2018Q3,電子零組件業,122.1225,394.9731749999999,272.8506749999999,223.42
2534,宏盛,2018Q1,建材營造,29.89,96.53747500000001,66.64747500000001,222.98
2633,台灣高鐵,2018Q4,航運業,30.7,98.8272916666667,68.1272916666667,221.91
3021,鴻名,2017Q4,電子零組件業,15.13,48.277741666666685,33.14774166666668,219.09
2516,新建,2019Q2,建材營造,5.065,16.12281666666666,11.05781666666666,218.32
6164,華興,2018Q4,光電業,7.02,22.14354166666666,15.12354166666666,215.44
3550,聯穎,2018Q3,電子零組件業,15.12,47.55730833333334,32.43730833333334,214.53
2305,全友,2019Q2,電腦及週邊設備業,5.58,17.502858333333347,11.922858333333346,213.67
5469,瀚宇博,2017Q4,電子零組件業,20.06,62.68717499999997,42.627174999999966,212.5
6224,聚鼎,2019Q4,電子零組件業,60.855,188.10869166666657,127.25369166666658,209.11
1437,勤益控,2019Q3,其他,22.78,70.09249166666666,47.31249166666666,207.69
3057,喬鼎,2018Q4,電腦及週邊設備業,7.16,21.870358333333325,14.710358333333325,205.45
2344,華邦電,2018Q3,半導體業,14.63,44.46239166666667,29.832391666666666,203.91
2243,宏旭-KY,2019Q2,汽車工業,10.88,32.98232500000002,22.102325000000015,203.15
3596,智易,2016Q4,,52.48,159.04589166666656,106.56589166666657,203.06
3605,宏致,2019Q4,電子零組件業,25.49,77.23382500000005,51.74382500000006,203.0
2702,華園,2017Q3,觀光餐旅,14.756666666666668,44.624066666666685,29.867400000000018,202.4
1605,華新,2018Q2,電器電纜,19.6375,59.30987500000004,39.672375000000045,202.02
1455,集盛,2019Q3,紡織纖維,5.56,16.730274999999992,11.170274999999993,200.9
2705,六福,2018Q1,觀光餐旅,6.615,19.85059999999999,13.23559999999999,200.08
1528,恩德,2016Q4,,10.525,31.358733333333348,20.83373333333335,197.95
3167,大量,2018Q4,電機機械,32.57,96.5775083333333,64.0075083333333,196.52
4564,元翎,2019Q2,電機機械,28.79,85.15280833333333,56.36280833333333,195.77
1466,聚隆,2019Q1,紡織纖維,7.59,22.382550000000002,14.792550000000002,194.9
2375,凱美,2018Q3,電子零組件業,45.3475,132.5549666666665,87.2074666666665,192.31
1413,宏洲,2018Q2,紡織纖維,12.68,36.93965833333332,24.25965833333332,191.32
2028,威致,2019Q2,鋼鐵工業,9.205,26.788983333333316,17.583983333333315,191.03
1539,巨庭,2016Q4,,21.74,63.05629166666671,41.316291666666714,190.05
2498,宏達電,2018Q4,通信網路業,37.15,107.68956666666669,70.5395666666667,189.88
6116,彩晶,2018Q2,光電業,6.96,20.08166666666666,13.121666666666659,188.53
6177,達麗,2017Q2,建材營造,25.35,73.10461666666663,47.75461666666663,188.38
9906,欣巴巴,2017Q3,建材營造,15.8725,45.653099999999995,29.780599999999993,187.62
3024,憶聲,2019Q4,光電業,7.654999999999999,21.98780833333332,14.33280833333332,187.23
9946,三發地產,2019Q3,建材營造,23.62,67.77096666666668,44.150966666666676,186.92
2601,益航,2019Q1,貿易百貨,11.943333333333332,34.17346666666665,22.230133333333317,186.13
1538,正峰,2017Q2,電機機械,6.315,17.933266666666672,11.61826666666667,183.98
2515,中工,2018Q2,建材營造,8.215,22.953958333333343,14.738958333333343,179.42
2495,普安,2017Q4,電腦及週邊設備業,11.79,32.761858333333336,20.971858333333337,177.88
2543,皇昌,2019Q4,建材營造,7.065,19.61495833333333,12.549958333333329,177.64
1609,大亞,2018Q4,電器電纜,10.68,29.432674999999996,18.752674999999996,175.59
8271,宇瞻,2017Q4,半導體業,37.3,101.97312499999998,64.67312499999998,173.39
9928,中視,2017Q1,其他,6.125,16.573608333333347,10.448608333333347,170.59
2027,大成鋼,2018Q4,鋼鐵工業,37.85,101.90804166666669,64.0580416666667,169.24
3686,達能,2017Q4,半導體業,5.543333333333333,14.919325000000004,9.375991666666671,169.14
1524,耿鼎,2017Q2,汽車工業,10.59,28.46666666666667,17.87666666666667,168.81
1308,亞聚,2017Q4,塑膠工業,17.346666666666668,46.601083333333335,29.254416666666668,168.65
3231,緯創,2019Q4,電腦及週邊設備業,26.165,70.24653333333333,44.08153333333333,168.48
2007,燁興,2019Q1,鋼鐵工業,4.12,11.053975000000003,6.933975000000003,168.3
9912,偉聯,2016Q2,,7.94,21.237816666666664,13.297816666666662,167.48
2442,新美齊,2019Q2,建材營造,9.09,24.290841666666665,15.200841666666665,167.23
2923,鼎固-KY,2016Q3,,20.72,55.21076666666668,34.49076666666668,166.46
9912,偉聯,2018Q2,電腦及週邊設備業,9.09,24.018608333333333,14.928608333333333,164.23
6226,光鼎,2017Q2,光電業,9.004999999999999,23.747775,14.742775000000002,163.72
5608,四維航,2018Q1,航運業,7.734999999999999,20.36493333333333,12.62993333333333,163.28
1312,國喬,2018Q3,塑膠工業,20.23,52.943566666666655,32.71356666666665,161.71
6164,華興,2017Q4,光電業,10.69,27.96744166666666,17.27744166666666,161.62
1454,台富,2018Q2,紡織纖維,8.25,21.568166666666656,13.318166666666656,161.43
2515,中工,2019Q2,建材營造,6.88,17.962158333333335,11.082158333333336,161.08
2515,中工,2018Q3,建材營造,8.06,20.977691666666683,12.917691666666682,160.27
1309,台達化,2017Q4,塑膠工業,14.09,36.51958333333332,22.429583333333323,159.19
2107,厚生,2019Q3,橡膠工業,17.733333333333334,45.956133333333355,28.22280000000002,159.15
2516,新建,2017Q3,建材營造,6.625,17.15059166666667,10.52559166666667,158.88
2206,三陽工業,2019Q2,汽車工業,22.23,57.53516666666666,35.305166666666665,158.82
3047,訊舟,2017Q2,通信網路業,9.14,23.494891666666664,14.354891666666663,157.06
2024,志聯,2018Q2,鋼鐵工業,10.2975,26.39502499999999,16.09752499999999,156.32
2489,瑞軒,2018Q3,光電業,10.83,27.72083333333335,16.890833333333347,155.96
3058,立德,2018Q2,電子零組件業,7.993333333333333,20.425800000000006,12.432466666666674,155.54
2377,微星,2016Q4,,69.21,176.84192499999997,107.63192499999998,155.51
3308,聯德,2018Q3,電子零組件業,5.88,15.007274999999993,9.127274999999994,155.23
9946,三發地產,2017Q1,建材營造,11.37,28.985291666666672,17.61529166666667,154.93
1474,弘裕,2017Q3,紡織纖維,11.45,29.184624999999993,17.734624999999994,154.89
3164,景岳,2018Q4,生技醫療業,25.74,65.54323333333335,39.80323333333335,154.64
1810,和成,2018Q2,玻璃陶瓷,7.93,20.171683333333334,12.241683333333334,154.37
2201,裕隆,2017Q3,汽車工業,22.31,56.64074999999998,34.33074999999998,153.88
2438,翔耀,2018Q3,光電業,6.87,17.441533333333346,10.571533333333345,153.88
2483,百容,2017Q4,電子零組件業,22.24,56.43896666666669,34.19896666666669,153.77
2501,國建,2018Q3,建材營造,17.44,44.05329999999999,26.61329999999999,152.6
1413,宏洲,2019Q2,紡織纖維,9.306666666666668,23.488058333333328,14.18139166666666,152.38
2349,錸德,2019Q2,光電業,4.32,10.878675000000001,6.558675000000001,151.82
6525,捷敏-KY,2018Q3,半導體業,69.85,175.89969999999997,106.04969999999997,151.82
8429,金麗-KY,2018Q3,貿易百貨,14.48,36.443341666666676,21.963341666666675,151.68
2449,京元電子,2016Q3,,27.7,69.67562500000004,41.975625000000036,151.54
1437,勤益控,2018Q2,其他,18.795,47.236225000000005,28.441225000000003,151.32
2032,新鋼,2016Q4,,9.96,25.010908333333322,15.050908333333322,151.11
2317,鴻海,2017Q4,其他電子業,77.31,194.1272249999999,116.8172249999999,151.1
6164,華興,2018Q3,光電業,7.51,18.847058333333344,11.337058333333344,150.96
9935,慶豐富,2016Q4,,9.4,23.53874999999999,14.13874999999999,150.41
3703,欣陸,2017Q3,建材營造,12.8,32.034999999999975,19.234999999999975,150.27
6226,光鼎,2018Q2,光電業,8.98,22.39953333333332,13.41953333333332,149.44
1416,廣豐,2017Q4,其他,15.1,37.32808333333333,22.22808333333333,147.21
2015,豐興,2017Q4,鋼鐵工業,54.03,133.4836166666666,79.45361666666659,147.05
1455,集盛,2017Q1,紡織纖維,10.090000000000002,24.833833333333345,14.743833333333344,146.12
2428,興勤,2017Q2,電子零組件業,86.48,212.33730000000003,125.85730000000002,145.53
2017,官田鋼,2018Q2,鋼鐵工業,8.13,19.878808333333346,11.748808333333345,144.51
1101,台泥,2018Q2,水泥工業,39.7175,96.61206666666664,56.894566666666634,143.25
1339,昭輝,2017Q4,汽車工業,39.48,95.79930833333331,56.31930833333332,142.65
3032,偉訓,2018Q2,電子零組件業,27.88,67.52180833333333,39.64180833333333,142.19
1432,大魯閣,2018Q4,運動休閒,7.18,17.385824999999993,10.205824999999994,142.14
