公司代號,年度,月份,加權(A/B)平均價,year_quarter
1101,105,3,30.46,2016Q1
1101,105,6,31.41,2016Q2
1101,105,9,35.64,2016Q3
1101,105,12,36.25,2016Q4
1101,106,3,37.81,2017Q1
1101,106,6,34.44,2017Q2
1101,106,9,33.97,2017Q3
1101,106,12,34.84,2017Q4
1101,107,3,36.98,2018Q1
1101,107,6,44.18,2018Q2
1101,107,9,39.95,2018Q3
1101,107,12,35.38,2018Q4
1101,108,3,39.33,2019Q1
1101,108,6,44.47,2019Q2
1101,108,9,39.58,2019Q3
1101,108,12,42.62,2019Q4
1101,109,3,38.93,2020Q1
1101,109,6,43.13,2020Q2
1101,109,9,41.92,2020Q3
1101,109,12,43.16,2020Q4
1101,110,3,44.35,2021Q1
1101,110,6,51.28,2021Q2
1101,110,9,50.22,2021Q3
1101,110,12,47.18,2021Q4
1101,111,3,48.52,2022Q1
1101,111,6,40.27,2022Q2
1101,111,9,37.4,2022Q3
1101,111,12,33.88,2022Q4
1101,112,3,37.1,2023Q1
1101,112,6,38.48,2023Q2
1101,112,9,34.17,2023Q3
1101,112,12,34.48,2023Q4
1101,113,3,31.67,2024Q1
1101,113,6,33.81,2024Q2
1101,113,9,32.39,2024Q3
1101,113,12,32.73,2024Q4
1101,114,3,33.81,2025Q1
