股票代號,民國年,月份,民國年月,西元季,日期,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,105,3,10503,2016Q1,,,,,,
1101,105,6,10506,2016Q2,,,,,,
1101,105,9,10509,2016Q3,,,,,,
1101,105,12,10512,2016Q4,,,,,,
1101,106,3,10603,2017Q1,,,,,,
1101,106,6,10606,2017Q2,106年06月30日,4.12,105,18.62,1.21,106/1
1101,106,9,10609,2017Q3,106年09月30日,4.29,105,17.51,1.18,106/2
1101,106,12,10612,2017Q4,106年12月29日,3.98,105,19.92,1.20,106/3
1101,107,3,10703,2018Q1,107年03月31日,3.97,105,20.42,1.14,106/4
1101,107,6,10706,2018Q2,107年06月29日,5.90,106,18.49,1.20,107/1
1101,107,9,10709,2018Q3,107年09月28日,6.08,106,11.91,1.15,107/2
1101,107,12,10712,2018Q4,107年12月28日,7.02,106,9.78,1.07,107/3
1101,108,3,10803,2019Q1,108年03月29日,9.70,107,10.34,1.21,107/4
1101,108,6,10806,2019Q2,,,,,,
1101,108,9,10809,2019Q3,,,,,,
1101,108,12,10812,2019Q4,,,,,,
1101,109,3,10903,2020Q1,,,,,,
1101,109,6,10906,2020Q2,,,,,,
1101,109,9,10909,2020Q3,,,,,,
1101,109,12,10912,2020Q4,,,,,,
1101,110,3,11003,2021Q1,,,,,,
1101,110,6,11006,2021Q2,,,,,,
1101,110,9,11009,2021Q3,,,,,,
1101,110,12,11012,2021Q4,,,,,,
1101,111,3,11103,2022Q1,,,,,,
1101,111,6,11106,2022Q2,,,,,,
1101,111,9,11109,2022Q3,,,,,,
1101,111,12,11112,2022Q4,,,,,,
1101,112,3,11203,2023Q1,,,,,,
1101,112,6,11206,2023Q2,,,,,,
1101,112,9,11209,2023Q3,,,,,,
1101,112,12,11212,2023Q4,,,,,,
1101,113,3,11303,2024Q1,,,,,,
1101,113,6,11306,2024Q2,,,,,,
1101,113,9,11309,2024Q3,,,,,,
1101,113,12,11312,2024Q4,,,,,,
1101,114,3,11403,2025Q1,,,,,,
1101,114,6,11406,2025Q2,,,,,,
1101,114,9,11409,2025Q3,,,,,,
1101,114,12,11412,2025Q4,,,,,,
1102,105,3,10503,2016Q1,,,,,,
1102,105,6,10506,2016Q2,,,,,,
1102,105,9,10509,2016Q3,,,,,,
1102,105,12,10512,2016Q4,,,,,,
1102,106,3,10603,2017Q1,,,,,,
1102,106,6,10606,2017Q2,,,,,,
1102,106,9,10609,2017Q3,,,,,,
1102,106,12,10612,2017Q4,,,,,,
1102,107,3,10703,2018Q1,,,,,,
1102,107,6,10706,2018Q2,,,,,,
1102,107,9,10709,2018Q3,,,,,,
