公司代號,年度,月份,加權(A/B)平均價,year_quarter
1101,105,3,30.46,2016Q1
1101,105,6,31.41,2016Q2
1101,105,9,35.64,2016Q3
1101,105,12,36.25,2016Q4
1101,106,3,37.81,2017Q1
1101,106,6,34.44,2017Q2
1101,106,9,33.97,2017Q3
1101,106,12,34.84,2017Q4
1101,107,3,36.98,2018Q1
1101,107,6,44.18,2018Q2
1101,107,9,39.95,2018Q3
1101,107,12,35.38,2018Q4
1101,108,3,39.33,2019Q1
1101,108,6,44.47,2019Q2
1101,108,9,39.58,2019Q3
1101,108,12,42.62,2019Q4
1101,109,3,38.93,2020Q1
1101,109,6,43.13,2020Q2
1101,109,9,41.92,2020Q3
1101,109,12,43.16,2020Q4
1101,110,3,44.35,2021Q1
1101,110,6,51.28,2021Q2
1101,110,9,50.22,2021Q3
1101,110,12,47.18,2021Q4
1101,111,3,48.52,2022Q1
1101,111,6,40.27,2022Q2
1101,111,9,37.4,2022Q3
1101,111,12,33.88,2022Q4
1101,112,3,37.1,2023Q1
1101,112,6,38.48,2023Q2
1101,112,9,34.17,2023Q3
1101,112,12,34.48,2023Q4
1101,113,3,31.67,2024Q1
1101,113,6,33.81,2024Q2
1101,113,9,32.39,2024Q3
1101,113,12,32.73,2024Q4
1101,114,3,33.81,2025Q1
1101,114,6,,2025Q2
1101,114,9,,2025Q3
1101,114,12,,2025Q4
1102,105,3,29.24,2016Q1
1102,105,6,26.61,2016Q2
1102,105,9,27.23,2016Q3
1102,105,12,27.37,2016Q4
1102,106,3,30.64,2017Q1
1102,106,6,26.46,2017Q2
1102,106,9,27.21,2017Q3
1102,106,12,26.96,2017Q4
1102,107,3,28.61,2018Q1
1102,107,6,33.36,2018Q2
1102,107,9,38.67,2018Q3
1102,107,12,33.96,2018Q4
1102,108,3,38.82,2019Q1
1102,108,6,46.74,2019Q2
1102,108,9,43.83,2019Q3
1102,108,12,47.15,2019Q4
1102,109,3,40.37,2020Q1
1102,109,6,44.01,2020Q2
1102,109,9,41.87,2020Q3
1102,109,12,43.2,2020Q4
1102,110,3,45.01,2021Q1
1102,110,6,50.86,2021Q2
1102,110,9,45.5,2021Q3
1102,110,12,43.29,2021Q4
1102,111,3,47.11,2022Q1
1102,111,6,43.39,2022Q2
1102,111,9,42.77,2022Q3
1102,111,12,41.04,2022Q4
1102,112,3,43.2,2023Q1
1102,112,6,44.3,2023Q2
1102,112,9,39.83,2023Q3
1102,112,12,41.37,2023Q4
1102,113,3,40.76,2024Q1
1102,113,6,43.11,2024Q2
1102,113,9,45.35,2024Q3
1102,113,12,41.68,2024Q4
1102,114,3,45.08,2025Q1
1102,114,6,,2025Q2
1102,114,9,,2025Q3
1102,114,12,,2025Q4
1103,105,3,9.51,2016Q1
1103,105,6,8.32,2016Q2
1103,105,9,8.87,2016Q3
1103,105,12,8.88,2016Q4
1103,106,3,11.52,2017Q1
1103,106,6,10.9,2017Q2
1103,106,9,12.34,2017Q3
1103,106,12,12.74,2017Q4
1103,107,3,11.64,2018Q1
1103,107,6,13.32,2018Q2
1103,107,9,13.43,2018Q3
1103,107,12,13.91,2018Q4
1103,108,3,14.56,2019Q1
1103,108,6,16.83,2019Q2
1103,108,9,17.41,2019Q3
1103,108,12,20.9,2019Q4
1103,109,3,15.66,2020Q1
1103,109,6,17.36,2020Q2
1103,109,9,16.4,2020Q3
1103,109,12,18.48,2020Q4
1103,110,3,19.27,2021Q1
1103,110,6,22.31,2021Q2
1103,110,9,21.45,2021Q3
1103,110,12,20.13,2021Q4
1103,111,3,20.66,2022Q1
1103,111,6,18.24,2022Q2
1103,111,9,17.55,2022Q3
