公司代號,年度,月份,收盤價,year_quarter
1259,105,3,71.1,2016Q1
1259,105,6,71.1,2016Q2
1259,105,9,87.7,2016Q3
1259,105,12,76.5,2016Q4
1259,106,3,77.5,2017Q1
1259,106,6,96.7,2017Q2
1259,106,9,82.9,2017Q3
1259,106,12,89.4,2017Q4
1259,107,3,81.1,2018Q1
1259,107,6,76.3,2018Q2
1259,107,9,70.0,2018Q3
1259,107,12,64.8,2018Q4
1259,108,3,67.7,2019Q1
1259,108,6,69.0,2019Q2
1259,108,9,68.8,2019Q3
1259,108,12,77.0,2019Q4
1259,109,3,63.2,2020Q1
1259,109,6,68.9,2020Q2
1259,109,9,66.4,2020Q3
1259,109,12,70.0,2020Q4
1259,110,3,69.8,2021Q1
1259,110,6,67.0,2021Q2
1259,110,9,69.9,2021Q3
1259,110,12,68.5,2021Q4
1259,111,3,67.5,2022Q1
1259,111,6,68.0,2022Q2
1259,111,9,72.7,2022Q3
1259,111,12,73.6,2022Q4
1259,112,3,74.4,2023Q1
1259,112,6,74.5,2023Q2
1259,112,9,74.6,2023Q3
1259,112,12,76.8,2023Q4
1259,113,3,74.9,2024Q1
1259,113,6,71.8,2024Q2
1259,113,9,68.4,2024Q3
1259,113,12,63.5,2024Q4
1259,114,3,60.0,2025Q1
1264,105,3,193.0,2016Q1
1264,105,6,186.5,2016Q2
1264,105,9,192.0,2016Q3
1264,105,12,201.5,2016Q4
1264,106,3,237.0,2017Q1
1264,106,6,253.0,2017Q2
1264,106,9,224.0,2017Q3
1264,106,12,235.0,2017Q4
1264,107,3,229.0,2018Q1
1264,107,6,209.0,2018Q2
1264,107,9,209.5,2018Q3
1264,107,12,194.0,2018Q4
1264,108,3,213.0,2019Q1
1264,108,6,221.0,2019Q2
1264,108,9,224.5,2019Q3
1264,108,12,222.0,2019Q4
1264,109,3,196.0,2020Q1
1264,109,6,216.5,2020Q2
1264,109,9,220.0,2020Q3
1264,109,12,244.5,2020Q4
1264,110,3,275.5,2021Q1
1264,110,6,302.0,2021Q2
1264,110,9,301.5,2021Q3
1264,110,12,293.0,2021Q4
1264,111,3,282.0,2022Q1
1264,111,6,256.0,2022Q2
1264,111,9,256.5,2022Q3
1264,111,12,257.0,2022Q4
1264,112,3,269.0,2023Q1
1264,112,6,289.0,2023Q2
1264,112,9,286.5,2023Q3
1264,112,12,291.5,2023Q4
1264,113,3,305.0,2024Q1
1264,113,6,319.0,2024Q2
1264,113,9,315.5,2024Q3
1264,113,12,312.5,2024Q4
1264,114,3,306.5,2025Q1
1336,105,3,7.99,2016Q1
1336,105,6,10.4,2016Q2
1336,105,9,9.25,2016Q3
1336,105,12,8.7,2016Q4
1336,106,3,11.7,2017Q1
1336,106,6,17.7,2017Q2
1336,106,9,21.45,2017Q3
1336,106,12,19.0,2017Q4
1336,107,3,17.2,2018Q1
1336,107,6,17.05,2018Q2
1336,107,9,16.45,2018Q3
1336,107,12,15.1,2018Q4
1336,108,3,15.15,2019Q1
1336,108,6,14.3,2019Q2
1336,108,9,14.3,2019Q3
1336,108,12,15.35,2019Q4
1336,109,3,13.25,2020Q1
1336,109,6,16.1,2020Q2
1336,109,9,16.8,2020Q3
1336,109,12,24.5,2020Q4
1336,110,3,25.75,2021Q1
1336,110,6,23.85,2021Q2
1336,110,9,21.75,2021Q3
1336,110,12,21.4,2021Q4
1336,111,3,19.95,2022Q1
1336,111,6,19.35,2022Q2
1336,111,9,25.1,2022Q3
1336,111,12,24.6,2022Q4
1336,112,3,26.7,2023Q1
1336,112,6,24.2,2023Q2
1336,112,9,22.25,2023Q3
1336,112,12,21.2,2023Q4
1336,113,3,20.5,2024Q1
1336,113,6,20.3,2024Q2
1336,113,9,26.5,2024Q3
1336,113,12,24.7,2024Q4
1336,114,3,24.25,2025Q1
1565,105,3,657.0,2016Q1
1565,105,6,723.0,2016Q2
1565,105,9,729.0,2016Q3
1565,105,12,615.0,2016Q4
1565,106,3,615.0,2017Q1
1565,106,6,636.0,2017Q2
1565,106,9,644.0,2017Q3
1565,106,12,975.0,2017Q4
1565,107,3,848.0,2018Q1
1565,107,6,698.0,2018Q2
1565,107,9,671.0,2018Q3
1565,107,12,538.0,2018Q4
1565,108,3,600.0,2019Q1
1565,108,6,551.0,2019Q2
1565,108,9,443.0,2019Q3
1565,108,12,454.5,2019Q4
1565,109,3,311.0,2020Q1
1565,109,6,353.0,2020Q2
1565,109,9,283.5,2020Q3
1565,109,12,280.0,2020Q4
1565,110,3,344.5,2021Q1
1565,110,6,341.0,2021Q2
1565,110,9,303.0,2021Q3
1565,110,12,313.5,2021Q4
1565,111,3,287.5,2022Q1
1565,111,6,263.0,2022Q2
1565,111,9,226.0,2022Q3
1565,111,12,246.5,2022Q4
1565,112,3,259.0,2023Q1
1565,112,6,231.5,2023Q2
1565,112,9,192.5,2023Q3
1565,112,12,190.0,2023Q4
1565,113,3,189.5,2024Q1
1565,113,6,188.0,2024Q2
1565,113,9,197.0,2024Q3
1565,113,12,197.5,2024Q4
1565,114,3,186.5,2025Q1
1569,105,3,9.58,2016Q1
1569,105,6,9.5,2016Q2
1569,105,9,20.7,2016Q3
1569,105,12,32.1,2016Q4
1569,106,3,28.35,2017Q1
1569,106,6,37.2,2017Q2
1569,106,9,40.25,2017Q3
1569,106,12,39.3,2017Q4
1569,107,3,38.65,2018Q1
1569,107,6,26.6,2018Q2
1569,107,9,16.6,2018Q3
1569,107,12,12.45,2018Q4
1569,108,3,20.55,2019Q1
1569,108,6,19.05,2019Q2
1569,108,9,22.0,2019Q3
1569,108,12,25.75,2019Q4
1569,109,3,14.95,2020Q1
1569,109,6,26.0,2020Q2
1569,109,9,26.9,2020Q3
1569,109,12,28.5,2020Q4
1569,110,3,30.75,2021Q1
1569,110,6,25.6,2021Q2
1569,110,9,26.6,2021Q3
1569,110,12,25.5,2021Q4
1569,111,3,25.05,2022Q1
1569,111,6,24.2,2022Q2
1569,111,9,23.8,2022Q3
1569,111,12,22.0,2022Q4
1569,112,3,25.4,2023Q1
1569,112,6,24.0,2023Q2
1569,112,9,22.65,2023Q3
1569,112,12,23.8,2023Q4
1569,113,3,24.6,2024Q1
1569,113,6,24.5,2024Q2
1569,113,9,35.5,2024Q3
1569,113,12,50.7,2024Q4
1569,114,3,74.2,2025Q1
1570,105,3,16.35,2016Q1
1570,105,6,14.45,2016Q2
1570,105,9,15.2,2016Q3
1570,105,12,14.0,2016Q4
1570,106,3,13.85,2017Q1
1570,106,6,14.75,2017Q2
1570,106,9,16.1,2017Q3
1570,106,12,14.9,2017Q4
1570,107,3,14.15,2018Q1
1570,107,6,13.8,2018Q2
1570,107,9,13.05,2018Q3
1570,107,12,12.2,2018Q4
1570,108,3,13.7,2019Q1
1570,108,6,13.7,2019Q2
1570,108,9,12.55,2019Q3
1570,108,12,14.15,2019Q4
1570,109,3,12.1,2020Q1
1570,109,6,14.1,2020Q2
1570,109,9,13.25,2020Q3
1570,109,12,13.15,2020Q4
1570,110,3,15.2,2021Q1
1570,110,6,16.75,2021Q2
1570,110,9,19.85,2021Q3
1570,110,12,23.25,2021Q4
1570,111,3,18.7,2022Q1
1570,111,6,16.6,2022Q2
1570,111,9,15.85,2022Q3
1570,111,12,16.85,2022Q4
1570,112,3,17.9,2023Q1
1570,112,6,19.5,2023Q2
1570,112,9,20.05,2023Q3
1570,112,12,21.2,2023Q4
1570,113,3,33.0,2024Q1
1570,113,6,32.2,2024Q2
1570,113,9,29.65,2024Q3
1570,113,12,29.05,2024Q4
1570,114,3,25.85,2025Q1
1580,105,3,116.5,2016Q1
1580,105,6,106.5,2016Q2
1580,105,9,142.0,2016Q3
1580,105,12,141.5,2016Q4
1580,106,3,139.0,2017Q1
1580,106,6,178.0,2017Q2
1580,106,9,154.5,2017Q3
1580,106,12,170.0,2017Q4
1580,107,3,163.5,2018Q1
1580,107,6,152.5,2018Q2
1580,107,9,138.5,2018Q3
1580,107,12,111.5,2018Q4
1580,108,3,120.0,2019Q1
1580,108,6,116.0,2019Q2
1580,108,9,104.5,2019Q3
1580,108,12,116.5,2019Q4
1580,109,3,84.0,2020Q1
1580,109,6,87.8,2020Q2
1580,109,9,76.4,2020Q3
1580,109,12,85.2,2020Q4
1580,110,3,108.5,2021Q1
1580,110,6,108.5,2021Q2
1580,110,9,101.0,2021Q3
1580,110,12,106.0,2021Q4
1580,111,3,107.0,2022Q1
1580,111,6,90.9,2022Q2
1580,111,9,90.4,2022Q3
1580,111,12,90.9,2022Q4
1580,112,3,101.5,2023Q1
1580,112,6,124.5,2023Q2
1580,112,9,127.0,2023Q3
1580,112,12,153.0,2023Q4
1580,113,3,160.0,2024Q1
1580,113,6,161.0,2024Q2
1580,113,9,151.5,2024Q3
1580,113,12,147.5,2024Q4
1580,114,3,146.5,2025Q1
1584,105,3,13.5,2016Q1
1584,105,6,13.9,2016Q2
1584,105,9,14.1,2016Q3
1584,105,12,14.3,2016Q4
1584,106,3,17.5,2017Q1
1584,106,6,12.1,2017Q2
1584,106,9,11.85,2017Q3
1584,106,12,11.55,2017Q4
1584,107,3,11.3,2018Q1
1584,107,6,8.17,2018Q2
1584,107,9,7.76,2018Q3
1584,107,12,6.78,2018Q4
1584,108,3,8.06,2019Q1
1584,108,6,9.45,2019Q2
1584,108,9,9.19,2019Q3
1584,108,12,9.2,2019Q4
1584,109,3,7.19,2020Q1
1584,109,6,7.93,2020Q2
1584,109,9,8.99,2020Q3
1584,109,12,11.85,2020Q4
1584,110,3,12.15,2021Q1
1584,110,6,16.05,2021Q2
1584,110,9,18.35,2021Q3
1584,110,12,17.65,2021Q4
1584,111,3,17.3,2022Q1
1584,111,6,18.0,2022Q2
1584,111,9,17.1,2022Q3
1584,111,12,22.35,2022Q4
1584,112,3,31.05,2023Q1
1584,112,6,38.1,2023Q2
1584,112,9,37.55,2023Q3
1584,112,12,35.7,2023Q4
1584,113,3,35.25,2024Q1
1584,113,6,33.1,2024Q2
1584,113,9,38.1,2024Q3
1584,113,12,28.85,2024Q4
1584,114,3,28.0,2025Q1
1586,105,3,31.5,2016Q1
1586,105,6,32.15,2016Q2
1586,105,9,22.6,2016Q3
1586,105,12,23.5,2016Q4
1586,106,3,29.2,2017Q1
1586,106,6,29.2,2017Q2
1586,106,9,44.7,2017Q3
1586,106,12,48.45,2017Q4
1586,107,3,46.4,2018Q1
1586,107,6,41.0,2018Q2
