公司代號,年度,月份,日期,本益比,殖利率(%),股利年度,股價淨值比,西元季度
1259,105,3,105/03/31,19.59,3.94,104,1.45,2016Q1
1259,105,6,105/06/30,16.61,3.94,104,1.41,2016Q2
1259,105,9,105/09/30,16.77,3.19,104,1.76,2016Q3
1259,105,12,105/12/30,14.49,3.66,104,1.49,2016Q4
1259,106,3,106/03/31,14.43,3.87,105,1.49,2017Q1
1259,106,6,106/06/30,17.45,3.10,105,1.82,2017Q2
1259,106,9,106/09/30,16.42,3.62,105,1.61,2017Q3
1259,106,12,106/12/29,17.53,3.36,105,1.68,2017Q4
1259,107,3,107/03/31,15.51,3.70,106,1.51,2018Q1
1259,107,6,107/06/29,15.86,4.59,106,1.40,2018Q2
1259,107,9,107/09/28,15.45,5.00,106,1.34,2018Q3
1259,107,12,107/12/28,14.83,5.40,106,1.20,2018Q4
1259,108,3,108/03/29,15.53,4.43,107,1.24,2019Q1
1259,108,6,108/06/28,15.65,4.35,107,1.24,2019Q2
1259,108,9,108/09/27,15.15,4.36,107,1.27,2019Q3
1259,108,12,108/12/31,15.28,3.90,107,1.37,2019Q4
1259,109,3,109/03/31,12.59,5.06,108,1.12,2020Q1
1259,109,6,109/06/30,16.17,4.64,108,1.23,2020Q2
1259,109,9,109/09/30,15.19,4.82,108,1.19,2020Q3
1259,109,12,109/12/31,15.73,4.57,108,1.20,2020Q4
1259,110,3,110/03/31,14.07,4.30,109,1.18,2021Q1
1259,110,6,110/06/30,12.27,4.48,109,1.07,2021Q2
1259,110,9,110/09/30,17.61,4.28,109,1.02,2021Q3
1259,110,12,110/12/30,30.86,4.36,109,1.11,2021Q4
1259,111,3,111/03/31,21.99,3.41,110,1.06,2022Q1
1259,111,6,111/06/30,24.03,3.38,110,1.10,2022Q2
1259,111,9,111/09/30,20.48,3.16,110,1.22,2022Q3
1259,111,12,111/12/30,14.43,3.13,110,1.23,2022Q4
1259,112,3,112/03/31,18.51,3.49,111,1.21,2023Q1
1259,112,6,112/06/30,16.06,3.49,111,1.11,2023Q2
1259,112,9,112/09/28,13.25,3.49,111,1.00,2023Q3
1259,112,12,112/12/29,14.01,3.39,111,1.02,2023Q4
1259,113,3,113/03/29,14.49,2.40,112,1.03,2024Q1
1259,113,6,113/06/28,13.97,2.51,112,0.92,2024Q2
1259,113,9,113/09/30,15.17,2.63,112,0.89,2024Q3
1259,113,12,113/12/31,22.60,2.83,112,0.84,2024Q4
1259,114,3,114/03/31,29.27,2.00,113,0.78,2025Q1
